"COUNTRY","Country","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","HealthExpenditure","Internet","Physicians","country","region","happiness","gdp","social_support","perceived_freedom","generosity","perception_of_corruption"
"1","AFG","Afghanistan","Asia","South Asia",63.2099,46.51282,35530.081,55.14,13.29011,3.9,8.18227,5.45455,0.295,"Afghanistan","South Asia",2.566900015,7.462860584,0.470366955,0.396573007,-0.0964294,0.933686554
"2","ALB","Albania","Europe","Europe & Central Asia",78.00018,8.61428,2873.457,18.07,4.96622,28.893,5.88311,54.65596,1.286,"Albania","Central and Eastern Europe",4.882699966,9.417930603,0.671070457,0.781994224,-0.042309489,0.896303713
"3","ARE","United Arab Emirates","Asia","Middle East & North Africa",76.07952,6.40489,9400.145,44.87,0.71851,13.8,3.64399,85,1.558,"United Arab Emirates","Middle East and North Africa",6.790800095,11.1099987,0.849181116,0.941345513,0.123450845,0.594502211
"4","ARG","Argentina","Americas","Latin America & Caribbean",76.57514,8.23805,44271.041,12.58,6.05589,49.92,4.78592,55.8,3.907,"Argentina","Latin America and Caribbean",5.974699974,9.810955048,0.900567949,0.831132412,-0.194913864,0.842009842
"5","ARM","Armenia","Asia","Europe & Central Asia",76.02519,10.50872,2930.45,33.84,1.50173,41.628,4.48015,39.16079,2.803,"Armenia","Commonwealth of Independent States",4.676799774,9.100476265,0.757479429,0.712017834,-0.13877961,0.773544788
"6","AUS","Australia","Oceania","East Asia & Pacific",83.04064,3.05182,24598.933,7.14,0.66419,38.4,9.4223,82.34955,3.496,"Australia","North America and ANZ",7.222799778,10.72059631,0.944854617,0.915431738,0.19046016,0.41516912
"7","AUT","Austria","Europe","Europe & Central Asia",81.64519,2.8452,8809.212,12.15,0.52207,72.7,11.20547,81,5.23,"Austria","Western Europe",7.294199944,10.7428236,0.928045869,0.899989486,0.085429221,0.499954879
"8","AZE","Azerbaijan","Asia","Europe & Central Asia",71.42894,18.23758,9862.429,20.99,2.50388,48.217,6.03686,54.2,3.402,"Azerbaijan","Commonwealth of Independent States",5.164800167,9.687726974,0.819308281,0.786824107,-0.240255281,0.55253756
"9","BDI","Burundi","Africa","Sub-Saharan Africa",63.83847,39.85036,10864.245,36.81,3.12379,7.9,7.53557,1.22,0.026,"Burundi","Sub-Saharan Africa",3.775300026,6.492642403,0.490325719,0.626350224,-0.017551597,0.606934547
"10","BEL","Belgium","Europe","Europe & Central Asia",81.42305,2.7352,11372.068,12.68,1.13584,55.8,10.59475,82,3.011,"Belgium","Western Europe",6.863500118,10.6736393,0.911632538,0.813582063,-0.078691199,0.612297952
"11","BEN","Benin","Africa","Sub-Saharan Africa",63.42606,59.00127,11175.692,42.17,9.428,5,4.5943,3.7977,0.153,"Benin","Sub-Saharan Africa",5.21600008,7.674319744,0.468671143,0.735182583,-0.003537213,0.740532577
"12","BFA","Burkina Faso","Africa","Sub-Saharan Africa",62.7035,53.93724,19193.382,55.96,5.6334,4,4.96026,3.72503,0.047,"Burkina Faso","Sub-Saharan Africa",4.768700123,7.46854496,0.712943614,0.665563583,-0.019080516,0.739795029
"13","BGD","Bangladesh","Asia","South Asia",74.25471,25.58966,164669.751,62.79,4.09436,7.95,2.819,6.3,0.472,"Bangladesh","South Asia",4.832799911,8.287063599,0.687292993,0.90062499,-0.033664726,0.661843538
"14","BGR","Bulgaria","Europe","Europe & Central Asia",75.07156,5.6288,7075.991,19.04,0.68653,74.54,8.44291,55.1481,3.999,"Bulgaria","Central and Eastern Europe",5.101500034,9.869318962,0.937840343,0.745178163,-0.143908441,0.935585141
"15","BHR","Bahrain","Asia","Middle East & North Africa",75.81459,5.90178,1492.584,63.21,0.28159,17.4,4.9808,88,0.922,"Bahrain","Middle East and North Africa",6.227300167,10.67638016,0.876342118,0.905855775,0.13372919,0.7393471
"16","BIH","Bosnia and Herzegovina","Europe","Europe & Central Asia",76.75007,5.05814,3507.017,28.14,2.22739,34.933,9.57202,65.35609,1.886,"Bosnia and Herzegovina","Central and Eastern Europe",5.674099922,9.455817223,0.829204142,0.651352704,0.098274559,0.933769107
"17","BLR","Belarus","Europe","Europe & Central Asia",74.80977,2.42192,9507.875,16.36,3.83284,108.329,5.68772,46.90601,4.07,"Belarus","Commonwealth of Independent States",5.539899826,9.779945374,0.90674746,0.639163077,-0.164926544,0.63571167
"18","BOL","Bolivia (Plurinational State of)","Americas","Latin America & Caribbean",72.13765,21.19451,11051.6,26.06,3.08692,12.93026,6.33483,34.18843,0.473,"Bolivia","Latin America and Caribbean",5.747499943,8.851115227,0.803108692,0.875873327,-0.09168113,0.822606206
"19","BRA","Brazil","Americas","Latin America & Caribbean",75.90331,12.44784,209288.278,11.62,60.27932,20.87131,8.32283,49.848,1.852,"Brazil","Latin America and Caribbean",6.375599861,9.56643486,0.896723807,0.799804807,-0.101812392,0.770601273
"20","BWA","Botswana","Africa","Sub-Saharan Africa",62.24785,32.25554,2291.661,25.16,16.89481,18,5.412,11.5,0.384,"Botswana","Sub-Saharan Africa",3.478899956,9.711203575,0.779121757,0.821328104,-0.250394493,0.777930915
"21","CAF","Central African Republic","Africa","Sub-Saharan Africa",53.09729,81.00322,4659.08,43.27,34.7064,10,4.20022,3,0.047,"Central African Republic","Sub-Saharan Africa",3.475899935,6.625160217,0.319459856,0.640880644,0.082410358,0.891806662
"22","CAN","Canada","Americas","North America",82.23827,4.24552,36708.083,6.41,1.61726,25.2,10.44958,86.76586,2.539,"Canada","North America and ANZ",7.23210001,10.69236851,0.927176654,0.933913231,0.124770768,0.390843362
"23","CHE","Switzerland","Europe","Europe & Central Asia",83.44616,3.5661,8466.017,10.11,0.44113,46.3,11.65927,85.2,4.248,"Switzerland","Western Europe",7.559899807,10.97993279,0.942846596,0.921336651,0.105911039,0.303728431
"24","CHL","Chile","Americas","Latin America & Caribbean",80.73621,5.96644,18054.726,23.92,6.90683,20.6,7.78586,61.41816,1.033,"Chile","Latin America and Caribbean",6.228499889,10.0320549,0.879713595,0.744896293,-0.065668367,0.838239431
"25","CHN","China","Asia","East Asia & Pacific",77.43322,6.75893,1386395,45.76,0.69985,43.1,5.54823,42.30012,1.812,"China","East Asia",5.123899937,9.688568115,0.798760593,0.898517907,-0.18142575,0.7539711
"26","CIV","Côte d'Ivoire","Africa","Sub-Saharan Africa",62.91527,58.59967,24294.75,57.65,13.61824,4,5.71627,2.37896,0.143,"Ivory Coast","Sub-Saharan Africa",5.233300209,8.225561142,0.658048689,0.727909327,-0.043991156,0.790771961
"27","CMR","Cameroon","Africa","Sub-Saharan Africa",62.35601,50.17328,24053.727,65.42,10.14818,13,4.10367,5.69899,0.083,"Cameroon","Sub-Saharan Africa",5.084899902,8.118647575,0.700386405,0.763051808,-0.00149645,0.851336598
"28","COD","Democratic Republic of the Congo","Africa","Sub-Saharan Africa",62.35105,66.10814,81339.988,42.5,12.81288,8,4.32823,1.67996,0.091,"Congo (Kinshasa)","Sub-Saharan Africa",4.31099987,6.694256306,0.672159016,0.700793564,0.083637655,0.809403598
"29","COG","Congo","Africa","Sub-Saharan Africa",64.73853,34.85063,5260.75,42.88,15.95209,16,5.15141,6.1067,0.108,"Congo (Brazzaville)","Sub-Saharan Africa",5.194399834,8.536987305,0.640228093,0.719058514,-0.123674095,0.751779079
"30","COL","Colombia","Americas","Latin America & Caribbean",79.31356,11.83797,49065.615,18.45,38.27661,17.1,7.2013,48.98432,1.821,"Colombia","Latin America and Caribbean",6.163400173,9.500369072,0.884440243,0.836179912,-0.161235645,0.86457181
"31","COM","Comoros","Africa","Sub-Saharan Africa",67.3913,48.28005,813.912,15.34,10.99022,21.6,6.74764,5.9753,0.19,"Comoros","Sub-Saharan Africa",4.288599968,7.833630085,0.625662446,0.547612607,0.090008408,0.780622602
"32","CRI","Costa Rica","Americas","Latin America & Caribbean",80.84692,7.54357,4905.769,18.69,12.58593,11,9.31311,47.50092,1.15,"Costa Rica","Latin America and Caribbean",7.121399879,9.658156395,0.901545942,0.934738934,-0.10242971,0.786332428
"33","CYP","Cyprus","Asia","Europe & Central Asia",83.14104,1.83956,1179.551,14.72,1.27559,33.996,7.36761,61,2.496,"North Cyprus","Western Europe",5.53550005,10.40570259,0.820356607,0.79529351,0.000227159,0.62611568
"34","CYP","Cyprus","Asia","Europe & Central Asia",83.14104,1.83956,1179.551,14.72,1.27559,33.996,7.36761,61,2.496,"Cyprus","Western Europe",6.15899992,10.40570259,0.805996239,0.779858291,0.043731496,0.856271744
"35","CZE","Czechia","Europe","Europe & Central Asia",79.1303,2.52872,10591.323,15.41,0.61984,66.2,7.41091,75,3.677,"Czech Republic","Central and Eastern Europe",6.910900116,10.40416336,0.914430678,0.818537354,-0.230861515,0.85844624
"36","DEU","Germany","Europe","Europe & Central Asia",81.72252,3.21893,82695,11.51,0.85955,80,11.297,84,4.191,"Germany","Western Europe",7.075799942,10.7328186,0.898874462,0.867371082,0.080179386,0.456422031
"37","DNK","Denmark","Europe","Europe & Central Asia",81.31571,3.24069,5769.603,9.85,1.09173,26,10.80496,93,3.655,"Denmark","Western Europe",7.645599842,10.77400112,0.955990791,0.951444268,0.066201776,0.168489456
"38","DOM","Dominican Republic","Americas","Latin America & Caribbean",72.84367,23.45183,10766.998,16.04,4.97074,15.56,4.37578,45,1.494,"Dominican Republic","Latin America and Caribbean",5.689199924,9.664880753,0.882085383,0.866202772,-0.131263286,0.755999923
"39","DZA","Algeria","Africa","Middle East & North Africa",77.13415,19.95487,41318.142,35.18,1.65664,19,7.20718,15.22803,1.192,"Algeria","Middle East and North Africa",5.005099773,9.537964821,0.803385139,0.466610909,-0.121105164,0.735485137
