id,game_id,player_id,player,player_position,team_name,team_city,points,assists,rebounds,steals,blocks,personal_foul,turnovers,field_goals_made,field_goals_attempted,date,salary
2848769,127502,140,Kevin Durant,F,Nets,Brooklyn,22,3,5,3,1,3,1,7,16,2020-12-22T00:00:00.000Z,40108950
2848775,127502,188,Jeff Green,F,Nets,Brooklyn,7,1,0,1,0,3,1,3,4,2020-12-22T00:00:00.000Z,2564753
2848770,127502,250,DeAndre Jordan,C,Nets,Brooklyn,4,1,11,1,1,2,3,2,3,2020-12-22T00:00:00.000Z,10375678
2848759,127502,115,Stephen Curry,G,Warriors,Golden State,20,10,4,2,0,1,3,7,21,2020-12-22T00:00:00.000Z,43006362
2848772,127502,228,Kyrie Irving,G,Nets,Brooklyn,26,4,4,0,0,3,1,10,16,2020-12-22T00:00:00.000Z,33722850
2848766,127502,468,Brad Wanamaker,G,Warriors,Golden State,3,3,1,0,0,2,1,0,2,2020-12-22T00:00:00.000Z,2250000
2848760,127502,36,Kent Bazemore,G,Warriors,Golden State,2,2,2,1,0,3,2,1,2,2020-12-22T00:00:00.000Z,2320044
2848771,127502,130,Spencer Dinwiddie,G,Nets,Brooklyn,9,4,5,0,0,1,3,2,6,2020-12-22T00:00:00.000Z,11454048
2848768,127502,197,Joe Harris,F-G,Nets,Brooklyn,10,2,7,0,1,2,2,4,8,2020-12-22T00:00:00.000Z,16071429
2848755,127502,475,Andrew Wiggins,F-G,Warriors,Golden State,13,1,2,0,1,4,4,4,16,2020-12-22T00:00:00.000Z,29542010
2848776,127502,244,Tyler Johnson,G,Nets,Brooklyn,0,0,1,1,0,0,0,0,1,2020-12-22T00:00:00.000Z,2028594
2848758,127502,360,Kelly Oubre Jr,F,Warriors,Golden State,6,2,7,1,2,1,3,3,14,2020-12-22T00:00:00.000Z,
2848757,127502,282,Kevon Looney,F,Warriors,Golden State,4,0,2,0,0,3,2,2,4,2020-12-22T00:00:00.000Z,4821429
