var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
1;hombre;Indefinido;B;Tiempo completo;De cinco a diez años;25187.63096;13.06
1;hombre;Indefinido;B;Tiempo completo;De dos a cinco años;42303.70677;28.43
1;hombre;Indefinido;B;Tiempo completo;Más de diez años;28077.23214;80.58
1;hombre;Indefinido;B;Tiempo completo;Menos de dos años;19666.13974;14.06
1;hombre;Indefinido;B;Tiempo parcial;Más de diez años;25743.1413;29.29
1;hombre;Indefinido;C;Tiempo completo;De cinco a diez años;30978.80683;4187.42
1;hombre;Indefinido;C;Tiempo completo;De dos a cinco años;33510.44912;1846.48
1;hombre;Indefinido;C;Tiempo completo;Más de diez años;36843.72027;16250.47
1;hombre;Indefinido;C;Tiempo completo;Menos de dos años;29237.39037;2246.19
1;hombre;Indefinido;C;Tiempo parcial;De cinco a diez años;22992.27627;115.4
1;hombre;Indefinido;C;Tiempo parcial;De dos a cinco años;5388.825109;34.13
1;hombre;Indefinido;C;Tiempo parcial;Más de diez años;24537.27148;365.03
1;hombre;Indefinido;C;Tiempo parcial;Menos de dos años;8786.827771;39.87
1;hombre;Indefinido;D;Tiempo completo;De cinco a diez años;48425.2239;36.87
1;hombre;Indefinido;D;Tiempo completo;Más de diez años;73972.65391;141.92
1;hombre;Indefinido;E;Tiempo completo;De cinco a diez años;21520.32546;331.76
1;hombre;Indefinido;E;Tiempo completo;De dos a cinco años;18803.70447;162.33
1;hombre;Indefinido;E;Tiempo completo;Más de diez años;34182.46906;336.79
1;hombre;Indefinido;E;Tiempo completo;Menos de dos años;22216.82183;140.07
1;hombre;Indefinido;E;Tiempo parcial;De cinco a diez años;26810.33;26.52
1;hombre;Indefinido;E;Tiempo parcial;De dos a cinco años;28695.09;26.52
1;hombre;Indefinido;E;Tiempo parcial;Menos de dos años;26739.9525;80.93
1;hombre;Indefinido;F;Tiempo completo;De cinco a diez años;29929.6441;340.89
1;hombre;Indefinido;F;Tiempo completo;De dos a cinco años;22521.06048;476.23
1;hombre;Indefinido;F;Tiempo completo;Más de diez años;26666.33578;1044.68
1;hombre;Indefinido;F;Tiempo completo;Menos de dos años;24232.62054;245.9
1;hombre;Indefinido;F;Tiempo parcial;De cinco a diez años;29371.99588;91.17
1;hombre;Indefinido;F;Tiempo parcial;Menos de dos años;15704.04247;94
1;hombre;Indefinido;G;Tiempo completo;De cinco a diez años;32762.98112;1182.06
1;hombre;Indefinido;G;Tiempo completo;De dos a cinco años;16729.8636;240.82
1;hombre;Indefinido;G;Tiempo completo;Más de diez años;33985.17655;2180.18
1;hombre;Indefinido;G;Tiempo completo;Menos de dos años;28992.22166;1361.18
1;hombre;Indefinido;G;Tiempo parcial;De dos a cinco años;3623.28;84
1;hombre;Indefinido;G;Tiempo parcial;Menos de dos años;11560.73395;26.47
1;hombre;Indefinido;H;Tiempo completo;De cinco a diez años;23962.424;1344.65
1;hombre;Indefinido;H;Tiempo completo;De dos a cinco años;28405.30217;140.91
1;hombre;Indefinido;H;Tiempo completo;Más de diez años;30045.51155;1651.91
1;hombre;Indefinido;H;Tiempo completo;Menos de dos años;23904.87002;344.17
1;hombre;Indefinido;H;Tiempo parcial;De cinco a diez años;11578.35667;10.08
1;hombre;Indefinido;H;Tiempo parcial;Más de diez años;12700.11177;7.09
1;hombre;Indefinido;H;Tiempo parcial;Menos de dos años;8401.675;34.96
1;hombre;Indefinido;I;Tiempo completo;De cinco a diez años;25025.31777;317.19
1;hombre;Indefinido;I;Tiempo completo;De dos a cinco años;25450.88414;401.23
1;hombre;Indefinido;I;Tiempo parcial;De cinco a diez años;7675.04;29.83
1;hombre;Indefinido;I;Tiempo parcial;De dos a cinco años;4832.147187;87.98
1;hombre;Indefinido;I;Tiempo parcial;Más de diez años;18252.54164;28.32
1;hombre;Indefinido;I;Tiempo parcial;Menos de dos años;11977.48326;430.31
1;hombre;Indefinido;J;Tiempo completo;De cinco a diez años;39871.76292;179.23
