"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"CL BRAVO MURILLO 8, MADRID, SPAIN";11;2015;12.47;12;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4345308;-3.7041483
"GONZALO DE CORDOBA 3, MADRID, SPAIN";9;2015;12.36;12;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4322991;-3.7032386
"HUESCA 30, MADRID, SPAIN";8;2015;9.5;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4163087;-3.7222342
"CL VELAZQUEZ 35, MADRID, SPAIN";12;2015;17.15;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4256219;-3.6844109
"M-30 XC K 19,06 CR4, MADRID, SPAIN";8;2015;21.49;21;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;98;40.4167754;-3.7037902
"PZ SANTA ANA 8, MADRID, SPAIN";5;2015;12.18;12;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.3414313;-3.3815818
"SAN NICOLAS 3, MADRID, SPAIN";12;2015;6.45;6;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4154647;-3.7121789
"TRIBULETE 1, MADRID, SPAIN";12;2015;16.16;16;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4082016;-3.7015031
"HERNANI 36, MADRID, SPAIN";5;2015;10.5;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4481618;-3.7003528
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";5;2015;15.28;15;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;100;40.4167754;-3.7037902
"HERMANOS GARCIA NOBLEJAS 25, MADRID, SPAIN";10;2015;19.07;19;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN DOBLE FILA.";NA;NA;40.4335817;-3.6343675
"AGUSTIN QUEROL 6, MADRID, SPAIN";5;2015;10.03;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4074716;-3.6828733
"EMBAJADORES 184, MADRID, SPAIN";2;2015;11.18;11;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.3933891;-3.6943962
"VALLE 23, MADRID, SPAIN";1;2016;13.56;13;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4434393;-3.7181738
"EMBAJADORES 186, MADRID, SPAIN";2;2015;11.23;11;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.3932165;-3.6942975
"MANUEL SILVELA 12, MADRID, SPAIN";3;2015;17.32;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4297394;-3.6987194
"NARDO 2, MADRID, SPAIN";3;2015;17.08;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4656904;-3.6928475
"MENORCA 29, MADRID, SPAIN";4;2015;11.25;11;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4195032;-3.675617
"A5 KM 4.0 SALIDA, MADRID, SPAIN";3;2015;10.48;10;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;89;40.4529615;-3.5772417
"GENERAL PARDIÑAS 13, MADRID, SPAIN";9;2015;13.45;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4251403;-3.678923
"CL ABADA 2, MADRID, SPAIN";1;2016;9.58;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4190231;-3.7037326
"A5 KM 4.0 SALIDA, MADRID, SPAIN";5;2015;11.53;11;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;96;40.4529615;-3.5772417
"RABIDA 15, MADRID, SPAIN";1;2016;20.42;20;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4531378;-3.7117566
"ESPALTER 2, MADRID, SPAIN";9;2015;10.24;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4126183;-3.690024
"BRAVO MURILLO 293, MADRID, SPAIN";10;2015;15.23;15;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL RESERVADO PARA USO, PARADA O ESTACIONAMIENTO EXCLUSIVO DEL TRANSPORTE PÚBLICO URBANO.";NA;NA;40.4609705;-3.6984031
"PRINCIPE DE VERGARA 110, MADRID, SPAIN";4;2015;17.03;17;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN DOBLE FILA.";NA;NA;40.4393349;-3.6789168
"PEDRO TEIXEIRA 8, MADRID, SPAIN";10;2015;17.52;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4548351;-3.6941898
"JOSE ABASCAL 34, MADRID, SPAIN";2;2015;17.36;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4381144;-3.6957349
"INFANTAS 44, MADRID, SPAIN";3;2015;14.58;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4199663;-3.6969408
"JUAN BRAVO 3, MADRID, SPAIN";2;2015;14.52;14;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4330964;-3.684839
"HERMOSILLA 32, MADRID, SPAIN";6;2015;9.34;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4262253;-3.683678
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";2;2015;10.34;10;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;95;40.4167754;-3.7037902
"AV PIO XII 5, MADRID, SPAIN";6;2015;17.01;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4611004;-3.6766316
"PLANETA TIERRA 2, MADRID, SPAIN";2;2015;9.41;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.3928862;-3.6784651
"M-30 FT K 04,150 CR4, MADRID, SPAIN";1;2016;19.14;19;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;78;40.4167754;-3.7037902
"M-30 FT K 04,150 CR4, MADRID, SPAIN";2;2015;11.22;11;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;75;40.4167754;-3.7037902
"JOSE GUTIERREZ ABASCAL 3, MADRID, SPAIN";4;2015;17.47;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.441011;-3.6905947
"AV VALLADOLID 81, MADRID, SPAIN";9;2015;12.35;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4327051;-3.7336081
"RAMIRO MAEZTU-D.R.MDEZ PIDAL, MADRID, SPAIN";8;2015;17.56;17;200;0;"AGENTES DE MOVILIDAD";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR SOBRE O JUNTO A REFUGIO, ISLETA, MEDIANA DE PROTECCIÓN O ELEMENTOS CANALIZADORES DEL TRÁFICO.";NA;NA;40.4167754;-3.7037902
