season,episode,title,rating
1,1,Pilot,8.1
1,2,Seeds,7.9
1,3,Fun Town,8.2
1,4,Patch Over,8.1
1,5,Giving Back,8.3
1,6,AK-51,8.1
1,7,Old Bones,8.2
1,8,The Pull,8.8
1,9,Hell Followed,8.3
1,10,Better Half,8.3
1,11,Capybara,8.4
1,12,The Sleep of Babies,9.2
1,13,The Revelator,9.2
2,1,Albification,8.7
2,2,Small Tears,8.2
2,3,Fix,8.1
2,4,Eureka,8.2
2,5,Smite,8.6
2,6,Falx Cerebri,8.7
2,7,Gilead,8.9
2,8,Potlatch,8.6
2,9,Fa Guan,8.2
2,10,Balm,9.2
2,11,Service,8.8
2,12,The Culling,9.2
2,13,Na Triobloidi,9.4
3,1,So,9.1
3,2,Oiled,8
3,3,Caregiver,8.1
3,4,Home,8.2
3,5,Turning and Turning,8.2
3,6,The Push,8.1
3,7,Widening Gyre,8.1
3,8,Lochan Mor,8
3,9,Turas,8.2
3,10,Fírinne,8.8
3,11,Bainne,8.8
3,12,June Wedding,8.6
3,13,NS,9.7
4,1,Out,9
4,2,Booster,8.4
4,3,Dorylus,8.4
4,4,Una Venta,8.1
4,5,Brick,8.2
4,6,With an X,8.9
4,7,Fruit for the Crows,8.7
4,8,Family Recipe,9.1
4,9,Kiss,8.6
4,10,Hands,9.3
4,11,Call of Duty,9.1
4,12,Burnt and Purged Away,9.2
4,13,"To Be, Act 1",9.1
4,14,"To Be, Act 2",9.2
5,1,Sovereign,9
5,2,Authority Vested,8.5
5,3,Laying Pipe,9.5
5,4,Stolen Huffy,8.6
5,5,Orca Shrugged,8.3
5,6,Small World,8.5
5,7,Toad's Wild Ride,8.5
5,8,Ablation,8.7
5,9,Andare Pescare,8.1
5,10,Crucifixed,8.5
5,11,To Thine Own Self,8.8
5,12,Darthy,9
5,13,J'ai Obtenu Cette,9.4
6,1,Straw,8.3
6,2,One One Six,7.9
6,3,Poenitentia,8.1
6,4,Wolfsangel,9.2
6,5,The Mad King,8.9
6,6,Salvage,8.6
6,7,Sweet and Vaded,8.2
6,8,Los Fantasmas,8
6,9,John 8:32,8.8
6,10,Huang Wu,8.3
6,11,Aon Rud Persanta,9.4
6,12,You Are My Sunshine,8.9
6,13,A Mother's Work,9.5
7,1,Black Widower,8.2
7,2,Toil and Till,8.2
7,3,Playing with Monsters,8
7,4,Poor Little Lambs,8.7
7,5,Some Strange Eruption,8.7
7,6,Smoke 'em If You Got 'em,8.1
7,7,Greensleeves,8.5
7,8,The Separation of Crows,8.1
7,9,What a Piece of Work Is Man,8.6
7,10,Faith and Despondency,9.2
7,11,Suits of Woe,9.5
7,12,Red Rose,9.4
7,13,Papa's Goods,9.6
