FECHA;DEMANDA_GAS;TMAX;TMIN
07/01/1996;4114.00;28.1;19
07/02/1996;4538.00;26.7;21
07/03/1996;4481.00;27.9;20
07/04/1996;4432.00;29;20.4
07/05/1996;4395.00;36.7;20.4
07/06/1996;4005.00;27.8;22.3
07/07/1996;3678.00;33.8;20.6
07/08/1996;4410.00;29.1;16.6
07/09/1996;4630.00;26.8;16.2
07/10/1996;4750.00;28;17
07/11/1996;4706.00;28.2;17.6
07/12/1996;4501.00;28.6;19.4
07/13/1996;3982.00;28.5;18.4
07/14/1996;3647.00;29.4;20.3
07/15/1996;4295.00;31.2;17.2
07/16/1996;4503.00;31.8;17.8
07/17/1996;4541.00;32.3;19.2
07/18/1996;4469.00;32.8;18.6
07/19/1996;4455.00;33.5;20.5
07/20/1996;4010.00;29.8;22.6
07/21/1996;3681.00;30.5;20.6
07/22/1996;4262.00;30.2;19.2
07/23/1996;4443.00;29.6;20.6
07/24/1996;4457.00;34.8;21.4
07/25/1996;4359.00;33;23.3
07/26/1996;4309.00;30.6;21
07/27/1996;3805.00;30.5;21.2
07/28/1996;3346.00;29.8;20.4
07/29/1996;3910.00;30.6;19.8
07/30/1996;4165.00;30.8;22.4
07/31/1996;4182.00;29.6;22
08/01/1996;4182.00;30.3;21
08/02/1996;4035.00;30.6;21.6
08/03/1996;3407.00;29.6;22.4
08/04/1996;3038.00;30.6;21.8
08/05/1996;3268.00;31.4;21.4
08/06/1996;3312.00;31.2;20.2
08/07/1996;3370.00;31;22.4
08/08/1996;3377.00;30.8;21.4
08/09/1996;3349.00;31.2;21.2
08/10/1996;2798.00;33;20.7
08/11/1996;2458.00;31.8;21.4
08/12/1996;2517.00;30;22
08/13/1996;2486.00;28.8;24.8
08/14/1996;2545.00;27.2;23
08/15/1996;2194.00;28.3;21.8
08/16/1996;2152.00;30;21.8
08/17/1996;1930.00;32;20
08/18/1996;1732.00;34.6;20.2
08/19/1996;1991.00;31.2;20.4
08/20/1996;2073.00;30.4;23
08/21/1996;2109.00;32.4;22
08/22/1996;2110.00;30;20.4
08/23/1996;2171.00;36.8;20.4
08/24/1996;1944.00;30.4;22.2
08/25/1996;1804.00;29;20.6
08/26/1996;2278.00;29.8;21.6
08/27/1996;2530.00;29;21.4
08/28/1996;2555.00;26.6;20
08/29/1996;2663.00;24.5;18
08/30/1996;2779.00;25.6;18.3
08/31/1996;2519.00;27;16.6
09/01/1996;2331.00;27;17.1
09/02/1996;3353.00;29;17.6
09/03/1996;4010.00;24;17.3
09/04/1996;4265.00;26.5;19
09/05/1996;4207.00;32.5;19.7
09/06/1996;4225.00;31.9;19.6
09/07/1996;3819.00;31.8;17.8
09/08/1996;3481.00;28;16.8
09/09/1996;4250.00;24.2;16.2
09/10/1996;4670.00;22.4;15.5
09/11/1996;4540.00;18.8;15.4
09/12/1996;4552.00;25;15
09/13/1996;4455.00;26.2;13.4
09/14/1996;3893.00;25;17
09/15/1996;3687.00;27.3;18.8
09/16/1996;4421.00;26.5;16.3
09/17/1996;4464.00;29.5;17.2
09/18/1996;4526.00;26.5;15.2
09/19/1996;4691.00;28;17.4
09/20/1996;4700.00;25.5;18.4
09/21/1996;4116.00;26;15.6
09/22/1996;3797.00;26;12.4
09/23/1996;4541.00;28;15.5
09/24/1996;4823.00;26.8;16.4
09/25/1996;4844.00;27.4;15.4
09/26/1996;4748.00;24.8;15.5
09/27/1996;4601.00;30;13.4
09/28/1996;4052.00;26.3;16.2
09/29/1996;3776.00;26;16.4
09/30/1996;4494.00;25.4;18.4
10/01/1996;4590.00;28.4;15.8
10/02/1996;4612.00;27.4;13.2
10/03/1996;4697.00;24.6;13
10/04/1996;4568.00;24.8;11
10/05/1996;4170.00;23.6;12.2
10/06/1996;3896.00;21;12.6
10/07/1996;4524.00;23.8;9.4
10/08/1996;4833.00;25.4;9.5
10/09/1996;4542.00;24.4;10
10/10/1996;4777.00;23;13.6
10/11/1996;4798.00;23.8;14.2
10/12/1996;4144.00;22.6;15
10/13/1996;3883.00;22.6;14.8
10/14/1996;4608.00;18.5;15.2
10/15/1996;4884.00;24.5;13
10/16/1996;4763.00;25.2;14.2
10/17/1996;4758.00;24.5;13
10/18/1996;4699.00;29.2;15.8
10/19/1996;4021.00;28.2;15.6
10/20/1996;3738.00;27.5;13.2
10/21/1996;4204.00;27.5;14.6
10/22/1996;4483.00;27.2;12.6
10/23/1996;4651.00;22.5;12.2
10/24/1996;4582.00;22.5;16.4
10/25/1996;4613.00;21.6;13.8
10/26/1996;4094.00;22.6;17.2
10/27/1996;3762.00;24;13.4
10/28/1996;4526.00;24.6;10.6
10/29/1996;4751.00;28;13
10/30/1996;4749.00;20.8;11.2
10/31/1996;4744.00;24;8.8
11/01/1996;4245.00;24.6;8.6
11/02/1996;3905.00;23.4;9
11/03/1996;3713.00;22.8;8.8
11/04/1996;4650.00;25;8.6
11/05/1996;4868.00;22.6;12.2
11/06/1996;4904.00;22;8.4
11/07/1996;4914.00;25.4;7
11/08/1996;4894.00;22;8.4
11/09/1996;4259.00;20.5;12.2
11/10/1996;3958.00;23.2;9.2
11/11/1996;4733.00;18.6;13.2
11/12/1996;5033.00;18;12
11/13/1996;5097.00;14.4;11
11/14/1996;5228.00;13.6;10.6
11/15/1996;5314.00;12;7.8
11/16/1996;4733.00;8.7;6.4
11/17/1996;4252.00;14;5.4
11/18/1996;4805.00;16.4;7.4
11/19/1996;5114.00;15;6.2
11/20/1996;5031.00;19.4;13.2
11/21/1996;4997.00;21.5;14.4
11/22/1996;4888.00;20.5;14.8
11/23/1996;4550.00;20.7;11.4
11/24/1996;4243.00;19;7.2
11/25/1996;5124.00;21.5;7.4
11/26/1996;5057.00;23.5;16.4
11/27/1996;4843.00;23.4;14.5
11/28/1996;4713.00;18.2;10
11/29/1996;4652.00;18.5;7.4
11/30/1996;4193.00;20.8;7.3
12/01/1996;3620.00;22.7;10.2
12/02/1996;4580.00;23;8
12/03/1996;4845.00;19;8.2
12/04/1996;4919.00;18;6.4
12/05/1996;5078.00;13.8;6.2
12/06/1996;4544.00;15;4.8
12/07/1996;4267.00;13;6.6
12/08/1996;4086.00;10.2;5.8
12/09/1996;5147.00;16.8;4.8
