FECHA,TARGET
01/01/2003,932
01/02/2003,602
01/03/2003,611
01/04/2003,606
01/05/2003,561
01/06/2003,503
01/07/2003,675
01/08/2003,547
01/09/2003,699
01/10/2003,878
01/11/2003,616
01/12/2003,539
01/01/2004,978
01/02/2004,665
01/03/2004,653
01/04/2004,973
01/05/2004,603
01/06/2004,523
01/07/2004,643
01/08/2004,685
01/09/2004,424
01/10/2004,454
01/11/2004,609
01/12/2004,513
01/01/2005,627
01/02/2005,525
01/03/2005,600
01/04/2005,653
01/05/2005,733
01/06/2005,545
01/07/2005,564
01/08/2005,522
01/09/2005,634
01/10/2005,575
01/11/2005,690
01/12/2005,672
01/01/2006,767
01/02/2006,741
01/03/2006,648
01/04/2006,716
01/05/2006,638
01/06/2006,561
01/07/2006,547
01/08/2006,848
01/09/2006,732
01/10/2006,825
01/11/2006,616
01/12/2006,540
01/01/2007,866
01/02/2007,785
01/03/2007,704
01/04/2007,708
01/05/2007,773
01/06/2007,651
01/07/2007,628
01/08/2007,690
01/09/2007,610
01/10/2007,855
01/11/2007,683
01/12/2007,619
01/01/2008,820
01/02/2008,464
01/03/2008,495
01/04/2008,714
01/05/2008,564
01/06/2008,794
01/07/2008,625
01/08/2008,887
01/09/2008,570
01/10/2008,598
01/11/2008,448
01/12/2008,514
01/01/2009,628
01/02/2009,392
01/03/2009,652
01/04/2009,705
01/05/2009,513
01/06/2009,869
01/07/2009,695
01/08/2009,390
01/09/2009,451
01/10/2009,448
01/11/2009,418
01/12/2009,382
01/01/2010,570
01/02/2010,345
01/03/2010,526
01/04/2010,369
01/05/2010,498
01/06/2010,433
01/07/2010,384
01/08/2010,562
01/09/2010,492
01/10/2010,324
01/11/2010,366
01/12/2010,419
01/01/2011,460
01/02/2011,428
01/03/2011,496
01/04/2011,194
01/05/2011,282
01/06/2011,285
01/07/2011,196
01/08/2011,277
01/09/2011,386
01/10/2011,197
01/11/2011,154
01/12/2011,135
01/01/2012,251
01/02/2012,231
01/03/2012,281
01/04/2012,278
01/05/2012,354
01/06/2012,176
01/07/2012,158
01/08/2012,183
01/09/2012,166
01/10/2012,102
01/11/2012,93
01/12/2012,198
01/01/2013,261
01/02/2013,268
01/03/2013,169
01/04/2013,99
01/05/2013,130
01/06/2013,76
01/07/2013,132
01/08/2013,68
01/09/2013,96
01/10/2013,111
01/11/2013,84
01/12/2013,97
01/01/2014,130
01/02/2014,109
01/03/2014,208
01/04/2014,111
01/05/2014,174
01/06/2014,119
01/07/2014,132
01/08/2014,199
01/09/2014,289
01/10/2014,115
01/11/2014,100
01/12/2014,110
01/01/2015,217
01/02/2015,143
01/03/2015,157
01/04/2015,153
01/05/2015,161
01/06/2015,137
01/07/2015,187
01/08/2015,139
01/09/2015,162
01/10/2015,184
01/11/2015,117
01/12/2015,138
01/01/2016,260
01/02/2016,177
01/03/2016,169
01/04/2016,153
01/05/2016,182
01/06/2016,185
01/07/2016,156
01/08/2016,157
01/09/2016,189
01/10/2016,142
01/11/2016,165
01/12/2016,115
01/01/2017,195
01/02/2017,148
01/03/2017,229
01/04/2017,182
01/05/2017,239
01/06/2017,217
01/07/2017,153
01/08/2017,202
01/09/2017,211
01/10/2017,278
01/11/2017,130
01/12/2017,129
01/01/2018,214
01/02/2018,168
01/03/2018,182
01/04/2018,154
01/05/2018,242
01/06/2018,258
01/07/2018,186
01/08/2018,240
01/09/2018,207
01/10/2018,213
01/11/2018,182
01/12/2018,157
01/01/2019,264
01/02/2019,175
01/03/2019,197
01/04/2019,169
01/05/2019,341
01/06/2019,173
01/07/2019,223
01/08/2019,167
01/09/2019,187
01/10/2019,183
01/11/2019,165
01/12/2019,120
