FECHA,TARGET
01/01/2003,2854
01/02/2003,3114
01/03/2003,2127
01/04/2003,2106
01/05/2003,1899
01/06/2003,2222
01/07/2003,1688
01/08/2003,1567
01/09/2003,1775
01/10/2003,2376
01/11/2003,2508
01/12/2003,1888
01/01/2004,2475
01/02/2004,2839
01/03/2004,2304
01/04/2004,1928
01/05/2004,2477
01/06/2004,2330
01/07/2004,2160
01/08/2004,2383
01/09/2004,2359
01/10/2004,2489
01/11/2004,2477
01/12/2004,2098
01/01/2005,3229
01/02/2005,2640
01/03/2005,2351
01/04/2005,3156
01/05/2005,3389
01/06/2005,3531
01/07/2005,2504
01/08/2005,2245
01/09/2005,4332
01/10/2005,2471
01/11/2005,2826
01/12/2005,3191
01/01/2006,3903
01/02/2006,2974
01/03/2006,4517
01/04/2006,2743
01/05/2006,4422
01/06/2006,3303
01/07/2006,3585
01/08/2006,2354
01/09/2006,3133
01/10/2006,2931
01/11/2006,3197
01/12/2006,2543
01/01/2007,3684
01/02/2007,3138
01/03/2007,3347
01/04/2007,2860
01/05/2007,3220
01/06/2007,2802
01/07/2007,3001
01/08/2007,2540
01/09/2007,3331
01/10/2007,3572
01/11/2007,2319
01/12/2007,1820
01/01/2008,2643
01/02/2008,2573
01/03/2008,1613
01/04/2008,1985
01/05/2008,1749
01/06/2008,1915
01/07/2008,1783
01/08/2008,1599
01/09/2008,1672
01/10/2008,1994
01/11/2008,1374
01/12/2008,1019
01/01/2009,1386
01/02/2009,1239
01/03/2009,1753
01/04/2009,1315
01/05/2009,1342
01/06/2009,1642
01/07/2009,1468
01/08/2009,1727
01/09/2009,1528
01/10/2009,1648
01/11/2009,1301
01/12/2009,1795
01/01/2010,1316
01/02/2010,1505
01/03/2010,1568
01/04/2010,1454
01/05/2010,1129
01/06/2010,1799
01/07/2010,1339
01/08/2010,1232
01/09/2010,1281
01/10/2010,980
01/11/2010,1017
01/12/2010,890
01/01/2011,1334
01/02/2011,1297
01/03/2011,1389
01/04/2011,971
01/05/2011,986
01/06/2011,887
01/07/2011,790
01/08/2011,796
01/09/2011,882
01/10/2011,626
01/11/2011,966
01/12/2011,1162
01/01/2012,964
01/02/2012,738
01/03/2012,768
01/04/2012,574
01/05/2012,692
01/06/2012,620
01/07/2012,842
01/08/2012,482
01/09/2012,572
01/10/2012,569
01/11/2012,580
01/12/2012,510
01/01/2013,821
01/02/2013,675
01/03/2013,517
01/04/2013,472
01/05/2013,586
01/06/2013,404
01/07/2013,359
01/08/2013,300
01/09/2013,362
01/10/2013,337
01/11/2013,307
01/12/2013,325
01/01/2014,480
01/02/2014,527
01/03/2014,430
01/04/2014,420
01/05/2014,488
01/06/2014,432
01/07/2014,409
01/08/2014,427
01/09/2014,479
01/10/2014,413
01/11/2014,418
01/12/2014,393
01/01/2015,494
01/02/2015,537
01/03/2015,479
01/04/2015,487
01/05/2015,514
01/06/2015,618
01/07/2015,525
01/08/2015,548
01/09/2015,605
01/10/2015,583
01/11/2015,582
01/12/2015,478
01/01/2016,651
01/02/2016,893
01/03/2016,644
01/04/2016,666
01/05/2016,749
01/06/2016,661
01/07/2016,599
01/08/2016,731
01/09/2016,629
01/10/2016,581
01/11/2016,692
01/12/2016,462
01/01/2017,840
01/02/2017,561
01/03/2017,696
01/04/2017,585
01/05/2017,775
01/06/2017,773
01/07/2017,578
01/08/2017,931
01/09/2017,758
01/10/2017,719
01/11/2017,733
01/12/2017,578
01/01/2018,812
01/02/2018,659
01/03/2018,672
01/04/2018,722
01/05/2018,759
01/06/2018,962
01/07/2018,778
01/08/2018,973
01/09/2018,737
01/10/2018,808
01/11/2018,688
01/12/2018,597
01/01/2019,937
01/02/2019,732
01/03/2019,759
01/04/2019,787
01/05/2019,891
01/06/2019,831
01/07/2019,870
01/08/2019,783
01/09/2019,531
01/10/2019,807
01/11/2019,758
01/12/2019,758
