FECHA,TARGET
01/01/2003,1634
01/02/2003,1266
01/03/2003,1025
01/04/2003,1415
01/05/2003,1647
01/06/2003,1535
01/07/2003,1028
01/08/2003,1032
01/09/2003,1517
01/10/2003,1205
01/11/2003,1775
01/12/2003,1567
01/01/2004,1585
01/02/2004,1000
01/03/2004,1631
01/04/2004,1105
01/05/2004,1635
01/06/2004,1597
01/07/2004,1268
01/08/2004,1264
01/09/2004,1738
01/10/2004,1858
01/11/2004,1571
01/12/2004,1415
01/01/2005,1457
01/02/2005,1613
01/03/2005,1183
01/04/2005,1438
01/05/2005,1503
01/06/2005,2334
01/07/2005,1608
01/08/2005,1560
01/09/2005,2029
01/10/2005,1715
01/11/2005,1554
01/12/2005,2139
01/01/2006,1788
01/02/2006,1480
01/03/2006,1998
01/04/2006,1788
01/05/2006,1859
01/06/2006,1785
01/07/2006,1801
01/08/2006,1661
01/09/2006,2273
01/10/2006,1846
01/11/2006,1821
01/12/2006,1479
01/01/2007,2104
01/02/2007,1587
01/03/2007,2637
01/04/2007,2359
01/05/2007,1939
01/06/2007,2084
01/07/2007,2176
01/08/2007,2030
01/09/2007,2934
01/10/2007,2148
01/11/2007,2429
01/12/2007,1483
01/01/2008,2374
01/02/2008,1591
01/03/2008,1691
01/04/2008,1546
01/05/2008,1475
01/06/2008,1344
01/07/2008,1200
01/08/2008,1236
01/09/2008,1050
01/10/2008,912
01/11/2008,762
01/12/2008,559
01/01/2009,985
01/02/2009,1062
01/03/2009,636
01/04/2009,1047
01/05/2009,839
01/06/2009,917
01/07/2009,1285
01/08/2009,914
01/09/2009,1076
01/10/2009,1268
01/11/2009,875
01/12/2009,628
01/01/2010,797
01/02/2010,1027
01/03/2010,702
01/04/2010,643
01/05/2010,844
01/06/2010,629
01/07/2010,784
01/08/2010,541
01/09/2010,737
01/10/2010,586
01/11/2010,586
01/12/2010,415
01/01/2011,695
01/02/2011,713
01/03/2011,477
01/04/2011,403
01/05/2011,535
01/06/2011,467
01/07/2011,492
01/08/2011,459
01/09/2011,483
01/10/2011,304
01/11/2011,298
01/12/2011,342
01/01/2012,392
01/02/2012,313
01/03/2012,323
01/04/2012,390
01/05/2012,293
01/06/2012,395
01/07/2012,312
01/08/2012,377
01/09/2012,278
01/10/2012,294
01/11/2012,362
01/12/2012,237
01/01/2013,304
01/02/2013,269
01/03/2013,181
01/04/2013,237
01/05/2013,261
01/06/2013,273
01/07/2013,200
01/08/2013,146
01/09/2013,219
01/10/2013,177
01/11/2013,180
01/12/2013,165
01/01/2014,260
01/02/2014,257
01/03/2014,176
01/04/2014,302
01/05/2014,278
01/06/2014,207
01/07/2014,275
01/08/2014,197
01/09/2014,212
01/10/2014,201
01/11/2014,195
01/12/2014,215
01/01/2015,254
01/02/2015,235
01/03/2015,208
01/04/2015,220
01/05/2015,259
01/06/2015,306
01/07/2015,333
01/08/2015,301
01/09/2015,366
01/10/2015,219
01/11/2015,217
01/12/2015,221
01/01/2016,297
01/02/2016,354
01/03/2016,257
01/04/2016,295
01/05/2016,293
01/06/2016,325
01/07/2016,212
01/08/2016,267
01/09/2016,312
01/10/2016,238
01/11/2016,339
01/12/2016,252
01/01/2017,276
01/02/2017,293
01/03/2017,350
01/04/2017,203
01/05/2017,294
01/06/2017,319
01/07/2017,296
01/08/2017,303
01/09/2017,425
01/10/2017,278
01/11/2017,303
01/12/2017,194
01/01/2018,375
01/02/2018,305
01/03/2018,269
01/04/2018,261
01/05/2018,334
01/06/2018,374
01/07/2018,337
01/08/2018,330
01/09/2018,416
01/10/2018,313
01/11/2018,334
01/12/2018,341
01/01/2019,406
01/02/2019,332
01/03/2019,315
01/04/2019,320
01/05/2019,550
01/06/2019,397
01/07/2019,466
01/08/2019,212
01/09/2019,243
01/10/2019,303
01/11/2019,306
01/12/2019,357
