FECHA,TARGET
01/01/2003,70
01/02/2003,47
01/03/2003,56
01/04/2003,54
01/05/2003,100
01/06/2003,32
01/07/2003,70
01/08/2003,54
01/09/2003,77
01/10/2003,84
01/11/2003,140
01/12/2003,78
01/01/2004,128
01/02/2004,55
01/03/2004,72
01/04/2004,67
01/05/2004,194
01/06/2004,115
01/07/2004,202
01/08/2004,34
01/09/2004,84
01/10/2004,98
01/11/2004,47
01/12/2004,48
01/01/2005,54
01/02/2005,86
01/03/2005,98
01/04/2005,140
01/05/2005,69
01/06/2005,102
01/07/2005,70
01/08/2005,77
01/09/2005,69
01/10/2005,27
01/11/2005,126
01/12/2005,35
01/01/2006,211
01/02/2006,173
01/03/2006,124
01/04/2006,38
01/05/2006,241
01/06/2006,76
01/07/2006,32
01/08/2006,57
01/09/2006,68
01/10/2006,78
01/11/2006,103
01/12/2006,1
01/01/2007,209
01/02/2007,203
01/03/2007,129
01/04/2007,287
01/05/2007,89
01/06/2007,53
01/07/2007,13
01/08/2007,5
01/09/2007,81
01/10/2007,107
01/11/2007,61
01/12/2007,24
01/01/2008,66
01/02/2008,98
01/03/2008,98
01/04/2008,80
01/05/2008,100
01/06/2008,35
01/07/2008,133
01/08/2008,63
01/09/2008,221
01/10/2008,25
01/11/2008,27
01/12/2008,12
01/01/2009,65
01/02/2009,27
01/03/2009,58
01/04/2009,24
01/05/2009,67
01/06/2009,83
01/07/2009,25
01/08/2009,76
01/09/2009,8
01/10/2009,48
01/11/2009,39
01/12/2009,89
01/01/2010,65
01/02/2010,68
01/03/2010,176
01/04/2010,113
01/05/2010,78
01/06/2010,70
01/07/2010,49
01/08/2010,24
01/09/2010,175
01/10/2010,54
01/11/2010,49
01/12/2010,28
01/01/2011,51
01/02/2011,53
01/03/2011,59
01/04/2011,60
01/05/2011,73
01/06/2011,38
01/07/2011,51
01/08/2011,33
01/09/2011,24
01/10/2011,22
01/11/2011,36
01/12/2011,41
01/01/2012,19
01/02/2012,80
01/03/2012,35
01/04/2012,18
01/05/2012,18
01/06/2012,24
01/07/2012,14
01/08/2012,21
01/09/2012,12
01/10/2012,21
01/11/2012,26
01/12/2012,10
01/01/2013,63
01/02/2013,22
01/03/2013,12
01/04/2013,13
01/05/2013,7
01/06/2013,10
01/07/2013,10
01/08/2013,4
01/09/2013,6
01/10/2013,68
01/11/2013,19
01/12/2013,4
01/01/2014,20
01/02/2014,16
01/03/2014,27
01/04/2014,16
01/05/2014,65
01/06/2014,40
01/07/2014,9
01/08/2014,17
01/09/2014,23
01/10/2014,25
01/11/2014,13
01/12/2014,5
01/01/2015,39
01/02/2015,24
01/03/2015,24
01/04/2015,30
01/05/2015,31
01/06/2015,18
01/07/2015,1
01/08/2015,9
01/09/2015,24
01/10/2015,26
01/11/2015,23
01/12/2015,17
01/01/2016,39
01/02/2016,25
01/03/2016,12
01/04/2016,52
01/05/2016,25
01/06/2016,40
01/07/2016,38
01/08/2016,27
01/09/2016,9
01/10/2016,44
01/11/2016,15
01/12/2016,9
01/01/2017,56
01/02/2017,30
01/03/2017,25
01/04/2017,38
01/05/2017,42
01/06/2017,35
01/07/2017,23
01/08/2017,28
01/09/2017,23
01/10/2017,36
01/11/2017,17
01/12/2017,21
01/01/2018,31
01/02/2018,36
01/03/2018,22
01/04/2018,28
01/05/2018,30
01/06/2018,43
01/07/2018,33
01/08/2018,20
01/09/2018,12
01/10/2018,22
01/11/2018,36
01/12/2018,22
01/01/2019,33
01/02/2019,35
01/03/2019,27
01/04/2019,17
01/05/2019,50
01/06/2019,31
01/07/2019,6
01/08/2019,29
01/09/2019,29
01/10/2019,13
01/11/2019,19
01/12/2019,26
