FECHA,TARGET
01/01/2003,563
01/02/2003,538
01/03/2003,533
01/04/2003,526
01/05/2003,596
01/06/2003,691
01/07/2003,606
01/08/2003,433
01/09/2003,486
01/10/2003,643
01/11/2003,470
01/12/2003,591
01/01/2004,563
01/02/2004,599
01/03/2004,483
01/04/2004,610
01/05/2004,735
01/06/2004,635
01/07/2004,693
01/08/2004,697
01/09/2004,661
01/10/2004,504
01/11/2004,727
01/12/2004,524
01/01/2005,460
01/02/2005,618
01/03/2005,624
01/04/2005,822
01/05/2005,712
01/06/2005,695
01/07/2005,644
01/08/2005,732
01/09/2005,1055
01/10/2005,820
01/11/2005,862
01/12/2005,674
01/01/2006,920
01/02/2006,716
01/03/2006,1354
01/04/2006,957
01/05/2006,1029
01/06/2006,949
01/07/2006,920
01/08/2006,671
01/09/2006,979
01/10/2006,989
01/11/2006,1327
01/12/2006,1129
01/01/2007,1138
01/02/2007,1143
01/03/2007,844
01/04/2007,821
01/05/2007,1165
01/06/2007,892
01/07/2007,846
01/08/2007,750
01/09/2007,1147
01/10/2007,1054
01/11/2007,1071
01/12/2007,604
01/01/2008,1161
01/02/2008,986
01/03/2008,546
01/04/2008,994
01/05/2008,821
01/06/2008,752
01/07/2008,1263
01/08/2008,569
01/09/2008,746
01/10/2008,831
01/11/2008,333
01/12/2008,344
01/01/2009,369
01/02/2009,399
01/03/2009,322
01/04/2009,331
01/05/2009,572
01/06/2009,412
01/07/2009,389
01/08/2009,586
01/09/2009,574
01/10/2009,524
01/11/2009,343
01/12/2009,339
01/01/2010,360
01/02/2010,374
01/03/2010,513
01/04/2010,409
01/05/2010,431
01/06/2010,335
01/07/2010,399
01/08/2010,325
01/09/2010,310
01/10/2010,425
01/11/2010,431
01/12/2010,249
01/01/2011,394
01/02/2011,309
01/03/2011,396
01/04/2011,243
01/05/2011,241
01/06/2011,190
01/07/2011,263
01/08/2011,177
01/09/2011,141
01/10/2011,124
01/11/2011,193
01/12/2011,149
01/01/2012,159
01/02/2012,321
01/03/2012,170
01/04/2012,200
01/05/2012,133
01/06/2012,151
01/07/2012,151
01/08/2012,195
01/09/2012,145
01/10/2012,146
01/11/2012,132
01/12/2012,92
01/01/2013,181
01/02/2013,143
01/03/2013,119
01/04/2013,148
01/05/2013,159
01/06/2013,109
01/07/2013,131
01/08/2013,59
01/09/2013,105
01/10/2013,116
01/11/2013,110
01/12/2013,76
01/01/2014,131
01/02/2014,119
01/03/2014,119
01/04/2014,119
01/05/2014,134
01/06/2014,111
01/07/2014,124
01/08/2014,83
01/09/2014,134
01/10/2014,129
01/11/2014,138
01/12/2014,106
01/01/2015,204
01/02/2015,132
01/03/2015,123
01/04/2015,105
01/05/2015,137
01/06/2015,120
01/07/2015,144
01/08/2015,115
01/09/2015,140
01/10/2015,116
01/11/2015,112
01/12/2015,120
01/01/2016,150
01/02/2016,109
01/03/2016,136
01/04/2016,153
01/05/2016,205
01/06/2016,142
01/07/2016,67
01/08/2016,116
01/09/2016,161
01/10/2016,115
01/11/2016,209
01/12/2016,115
01/01/2017,153
01/02/2017,145
01/03/2017,160
01/04/2017,134
01/05/2017,195
01/06/2017,138
01/07/2017,156
01/08/2017,145
01/09/2017,181
01/10/2017,129
01/11/2017,144
01/12/2017,135
01/01/2018,187
01/02/2018,119
01/03/2018,132
01/04/2018,165
01/05/2018,136
01/06/2018,179
01/07/2018,166
01/08/2018,145
01/09/2018,192
01/10/2018,182
01/11/2018,162
01/12/2018,178
01/01/2019,222
01/02/2019,180
01/03/2019,175
01/04/2019,179
01/05/2019,256
01/06/2019,208
01/07/2019,217
01/08/2019,214
01/09/2019,139
01/10/2019,199
01/11/2019,142
01/12/2019,156
