FECHA,TARGET
01/01/2003,1249
01/02/2003,1114
01/03/2003,1249
01/04/2003,872
01/05/2003,831
01/06/2003,1046
01/07/2003,979
01/08/2003,937
01/09/2003,1031
01/10/2003,1173
01/11/2003,635
01/12/2003,616
01/01/2004,1117
01/02/2004,689
01/03/2004,1180
01/04/2004,865
01/05/2004,1209
01/06/2004,1272
01/07/2004,1019
01/08/2004,957
01/09/2004,1493
01/10/2004,860
01/11/2004,1295
01/12/2004,848
01/01/2005,1699
01/02/2005,1126
01/03/2005,1046
01/04/2005,1413
01/05/2005,1350
01/06/2005,1208
01/07/2005,1309
01/08/2005,974
01/09/2005,1902
01/10/2005,1255
01/11/2005,1392
01/12/2005,1315
01/01/2006,1593
01/02/2006,1626
01/03/2006,1710
01/04/2006,1496
01/05/2006,1761
01/06/2006,1845
01/07/2006,1301
01/08/2006,1451
01/09/2006,1560
01/10/2006,1626
01/11/2006,1524
01/12/2006,1378
01/01/2007,1681
01/02/2007,1335
01/03/2007,1685
01/04/2007,1401
01/05/2007,1803
01/06/2007,1673
01/07/2007,1588
01/08/2007,1462
01/09/2007,1483
01/10/2007,1322
01/11/2007,1148
01/12/2007,745
01/01/2008,1013
01/02/2008,1278
01/03/2008,828
01/04/2008,1104
01/05/2008,1060
01/06/2008,1056
01/07/2008,841
01/08/2008,683
01/09/2008,851
01/10/2008,666
01/11/2008,588
01/12/2008,547
01/01/2009,521
01/02/2009,705
01/03/2009,892
01/04/2009,653
01/05/2009,690
01/06/2009,1075
01/07/2009,898
01/08/2009,624
01/09/2009,768
01/10/2009,700
01/11/2009,543
01/12/2009,629
01/01/2010,791
01/02/2010,604
01/03/2010,586
01/04/2010,619
01/05/2010,776
01/06/2010,814
01/07/2010,555
01/08/2010,919
01/09/2010,696
01/10/2010,480
01/11/2010,766
01/12/2010,508
01/01/2011,821
01/02/2011,843
01/03/2011,560
01/04/2011,349
01/05/2011,520
01/06/2011,545
01/07/2011,392
01/08/2011,391
01/09/2011,381
01/10/2011,362
01/11/2011,491
01/12/2011,292
01/01/2012,331
01/02/2012,405
01/03/2012,443
01/04/2012,522
01/05/2012,339
01/06/2012,291
01/07/2012,307
01/08/2012,319
01/09/2012,289
01/10/2012,258
01/11/2012,270
01/12/2012,344
01/01/2013,475
01/02/2013,421
01/03/2013,304
01/04/2013,323
01/05/2013,516
01/06/2013,299
01/07/2013,164
01/08/2013,225
01/09/2013,229
01/10/2013,197
01/11/2013,167
01/12/2013,162
01/01/2014,233
01/02/2014,232
01/03/2014,339
01/04/2014,217
01/05/2014,244
01/06/2014,232
01/07/2014,206
01/08/2014,206
01/09/2014,257
01/10/2014,313
01/11/2014,231
01/12/2014,215
01/01/2015,300
01/02/2015,307
01/03/2015,242
01/04/2015,320
01/05/2015,269
01/06/2015,310
01/07/2015,302
01/08/2015,267
01/09/2015,383
01/10/2015,267
01/11/2015,401
01/12/2015,282
01/01/2016,304
01/02/2016,434
01/03/2016,364
01/04/2016,377
01/05/2016,427
01/06/2016,418
01/07/2016,471
01/08/2016,307
01/09/2016,387
01/10/2016,344
01/11/2016,377
01/12/2016,311
01/01/2017,501
01/02/2017,345
01/03/2017,394
01/04/2017,420
01/05/2017,436
01/06/2017,427
01/07/2017,342
01/08/2017,380
01/09/2017,397
01/10/2017,311
01/11/2017,369
01/12/2017,349
01/01/2018,413
01/02/2018,443
01/03/2018,387
01/04/2018,344
01/05/2018,600
01/06/2018,412
01/07/2018,515
01/08/2018,427
01/09/2018,445
01/10/2018,423
01/11/2018,335
01/12/2018,285
01/01/2019,396
01/02/2019,352
01/03/2019,529
01/04/2019,425
01/05/2019,732
01/06/2019,475
01/07/2019,473
01/08/2019,253
01/09/2019,297
01/10/2019,386
01/11/2019,483
01/12/2019,402
