FECHA,TARGET
01/01/2003,163
01/02/2003,384
01/03/2003,348
01/04/2003,165
01/05/2003,167
01/06/2003,184
01/07/2003,172
01/08/2003,142
01/09/2003,398
01/10/2003,307
01/11/2003,162
01/12/2003,305
01/01/2004,377
01/02/2004,215
01/03/2004,158
01/04/2004,151
01/05/2004,218
01/06/2004,493
01/07/2004,522
01/08/2004,220
01/09/2004,279
01/10/2004,283
01/11/2004,367
01/12/2004,203
01/01/2005,383
01/02/2005,357
01/03/2005,249
01/04/2005,194
01/05/2005,258
01/06/2005,195
01/07/2005,208
01/08/2005,343
01/09/2005,311
01/10/2005,298
01/11/2005,537
01/12/2005,234
01/01/2006,450
01/02/2006,247
01/03/2006,293
01/04/2006,191
01/05/2006,238
01/06/2006,287
01/07/2006,387
01/08/2006,503
01/09/2006,246
01/10/2006,429
01/11/2006,323
01/12/2006,519
01/01/2007,344
01/02/2007,206
01/03/2007,446
01/04/2007,396
01/05/2007,537
01/06/2007,347
01/07/2007,439
01/08/2007,381
01/09/2007,410
01/10/2007,386
01/11/2007,548
01/12/2007,936
01/01/2008,457
01/02/2008,377
01/03/2008,361
01/04/2008,437
01/05/2008,388
01/06/2008,284
01/07/2008,471
01/08/2008,104
01/09/2008,204
01/10/2008,141
01/11/2008,114
01/12/2008,180
01/01/2009,111
01/02/2009,162
01/03/2009,201
01/04/2009,118
01/05/2009,153
01/06/2009,261
01/07/2009,189
01/08/2009,212
01/09/2009,343
01/10/2009,114
01/11/2009,236
01/12/2009,324
01/01/2010,124
01/02/2010,89
01/03/2010,163
01/04/2010,133
01/05/2010,172
01/06/2010,160
01/07/2010,149
01/08/2010,224
01/09/2010,128
01/10/2010,76
01/11/2010,121
01/12/2010,95
01/01/2011,113
01/02/2011,166
01/03/2011,77
01/04/2011,104
01/05/2011,86
01/06/2011,165
01/07/2011,74
01/08/2011,71
01/09/2011,157
01/10/2011,45
01/11/2011,52
01/12/2011,79
01/01/2012,79
01/02/2012,72
01/03/2012,47
01/04/2012,79
01/05/2012,65
01/06/2012,51
01/07/2012,40
01/08/2012,48
01/09/2012,55
01/10/2012,48
01/11/2012,45
01/12/2012,54
01/01/2013,85
01/02/2013,61
01/03/2013,40
01/04/2013,55
01/05/2013,53
01/06/2013,56
01/07/2013,50
01/08/2013,28
01/09/2013,49
01/10/2013,34
01/11/2013,43
01/12/2013,37
01/01/2014,49
01/02/2014,42
01/03/2014,38
01/04/2014,55
01/05/2014,43
01/06/2014,35
01/07/2014,65
01/08/2014,35
01/09/2014,39
01/10/2014,66
01/11/2014,44
01/12/2014,48
01/01/2015,66
01/02/2015,46
01/03/2015,52
01/04/2015,57
01/05/2015,43
01/06/2015,58
01/07/2015,77
01/08/2015,33
01/09/2015,69
01/10/2015,72
01/11/2015,33
01/12/2015,59
01/01/2016,51
01/02/2016,72
01/03/2016,67
01/04/2016,103
01/05/2016,51
01/06/2016,56
01/07/2016,71
01/08/2016,40
01/09/2016,52
01/10/2016,66
01/11/2016,57
01/12/2016,49
01/01/2017,69
01/02/2017,51
01/03/2017,88
01/04/2017,66
01/05/2017,77
01/06/2017,84
01/07/2017,74
01/08/2017,70
01/09/2017,69
01/10/2017,60
01/11/2017,73
01/12/2017,65
01/01/2018,80
01/02/2018,82
01/03/2018,68
01/04/2018,60
01/05/2018,70
01/06/2018,72
01/07/2018,71
01/08/2018,76
01/09/2018,74
01/10/2018,64
01/11/2018,83
01/12/2018,46
01/01/2019,78
01/02/2019,75
01/03/2019,85
01/04/2019,69
01/05/2019,91
01/06/2019,71
01/07/2019,102
01/08/2019,39
01/09/2019,60
01/10/2019,55
01/11/2019,76
01/12/2019,70
