FECHA,TARGET
01/01/2003,1139
01/02/2003,1094
01/03/2003,1113
01/04/2003,1177
01/05/2003,1027
01/06/2003,1072
01/07/2003,926
01/08/2003,795
01/09/2003,1154
01/10/2003,1093
01/11/2003,725
01/12/2003,1029
01/01/2004,893
01/02/2004,1129
01/03/2004,1154
01/04/2004,1002
01/05/2004,1157
01/06/2004,949
01/07/2004,950
01/08/2004,965
01/09/2004,1273
01/10/2004,844
01/11/2004,857
01/12/2004,780
01/01/2005,963
01/02/2005,835
01/03/2005,1007
01/04/2005,966
01/05/2005,1027
01/06/2005,978
01/07/2005,988
01/08/2005,1048
01/09/2005,1291
01/10/2005,932
01/11/2005,975
01/12/2005,945
01/01/2006,1076
01/02/2006,1342
01/03/2006,1293
01/04/2006,898
01/05/2006,1503
01/06/2006,1027
01/07/2006,968
01/08/2006,1069
01/09/2006,1134
01/10/2006,959
01/11/2006,1004
01/12/2006,752
01/01/2007,1256
01/02/2007,1159
01/03/2007,1034
01/04/2007,860
01/05/2007,1023
01/06/2007,1020
01/07/2007,866
01/08/2007,829
01/09/2007,1052
01/10/2007,760
01/11/2007,781
01/12/2007,625
01/01/2008,992
01/02/2008,902
01/03/2008,776
01/04/2008,898
01/05/2008,927
01/06/2008,755
01/07/2008,659
01/08/2008,762
01/09/2008,1066
01/10/2008,830
01/11/2008,536
01/12/2008,491
01/01/2009,633
01/02/2009,668
01/03/2009,580
01/04/2009,579
01/05/2009,652
01/06/2009,687
01/07/2009,829
01/08/2009,664
01/09/2009,797
01/10/2009,846
01/11/2009,672
01/12/2009,575
01/01/2010,636
01/02/2010,794
01/03/2010,688
01/04/2010,677
01/05/2010,664
01/06/2010,602
01/07/2010,844
01/08/2010,753
01/09/2010,801
01/10/2010,849
01/11/2010,610
01/12/2010,538
01/01/2011,686
01/02/2011,738
01/03/2011,644
01/04/2011,404
01/05/2011,638
01/06/2011,486
01/07/2011,418
01/08/2011,582
01/09/2011,616
01/10/2011,379
01/11/2011,656
01/12/2011,423
01/01/2012,761
01/02/2012,755
01/03/2012,548
01/04/2012,554
01/05/2012,508
01/06/2012,468
01/07/2012,389
01/08/2012,391
01/09/2012,315
01/10/2012,271
01/11/2012,401
01/12/2012,305
01/01/2013,491
01/02/2013,659
01/03/2013,502
01/04/2013,273
01/05/2013,303
01/06/2013,201
01/07/2013,141
01/08/2013,276
01/09/2013,334
01/10/2013,249
01/11/2013,224
01/12/2013,210
01/01/2014,282
01/02/2014,404
01/03/2014,347
01/04/2014,290
01/05/2014,335
01/06/2014,292
01/07/2014,353
01/08/2014,353
01/09/2014,361
01/10/2014,338
01/11/2014,338
01/12/2014,343
01/01/2015,336
01/02/2015,673
01/03/2015,390
01/04/2015,321
01/05/2015,344
01/06/2015,334
01/07/2015,368
01/08/2015,399
01/09/2015,478
01/10/2015,367
01/11/2015,391
01/12/2015,484
01/01/2016,437
01/02/2016,486
01/03/2016,361
01/04/2016,484
01/05/2016,529
01/06/2016,467
01/07/2016,309
01/08/2016,337
01/09/2016,447
01/10/2016,389
01/11/2016,451
01/12/2016,445
01/01/2017,492
01/02/2017,379
01/03/2017,521
01/04/2017,356
01/05/2017,513
01/06/2017,546
01/07/2017,386
01/08/2017,469
01/09/2017,462
01/10/2017,358
01/11/2017,470
01/12/2017,309
01/01/2018,610
01/02/2018,514
01/03/2018,437
01/04/2018,410
01/05/2018,591
01/06/2018,423
01/07/2018,488
01/08/2018,481
01/09/2018,502
01/10/2018,423
01/11/2018,465
01/12/2018,610
01/01/2019,572
01/02/2019,561
01/03/2019,526
01/04/2019,486
01/05/2019,544
01/06/2019,725
01/07/2019,458
01/08/2019,355
01/09/2019,373
01/10/2019,578
01/11/2019,509
01/12/2019,556
