FECHA,TARGET
01/01/2003,2197
01/02/2003,2061
01/03/2003,2167
01/04/2003,1594
01/05/2003,2336
01/06/2003,2196
01/07/2003,2384
01/08/2003,1763
01/09/2003,2195
01/10/2003,2349
01/11/2003,1748
01/12/2003,1805
01/01/2004,2114
01/02/2004,2308
01/03/2004,2622
01/04/2004,2099
01/05/2004,2604
01/06/2004,2391
01/07/2004,2581
01/08/2004,1810
01/09/2004,2501
01/10/2004,2118
01/11/2004,2334
01/12/2004,1991
01/01/2005,2142
01/02/2005,2700
01/03/2005,2566
01/04/2005,2814
01/05/2005,2577
01/06/2005,2507
01/07/2005,2166
01/08/2005,2479
01/09/2005,2802
01/10/2005,2302
01/11/2005,2536
01/12/2005,2324
01/01/2006,2910
01/02/2006,2949
01/03/2006,3271
01/04/2006,2198
01/05/2006,2985
01/06/2006,2536
01/07/2006,2813
01/08/2006,2529
01/09/2006,3058
01/10/2006,2658
01/11/2006,2512
01/12/2006,2101
01/01/2007,2798
01/02/2007,3240
01/03/2007,2715
01/04/2007,2339
01/05/2007,2903
01/06/2007,2282
01/07/2007,2167
01/08/2007,2062
01/09/2007,1882
01/10/2007,2108
01/11/2007,1872
01/12/2007,1346
01/01/2008,2057
01/02/2008,1678
01/03/2008,1468
01/04/2008,1535
01/05/2008,1481
01/06/2008,969
01/07/2008,1273
01/08/2008,1124
01/09/2008,1005
01/10/2008,1155
01/11/2008,908
01/12/2008,1066
01/01/2009,1106
01/02/2009,1255
01/03/2009,1192
01/04/2009,1129
01/05/2009,1586
01/06/2009,1393
01/07/2009,1210
01/08/2009,1151
01/09/2009,1381
01/10/2009,1138
01/11/2009,986
01/12/2009,950
01/01/2010,1192
01/02/2010,1215
01/03/2010,1144
01/04/2010,1060
01/05/2010,1234
01/06/2010,1285
01/07/2010,1251
01/08/2010,1163
01/09/2010,966
01/10/2010,669
01/11/2010,877
01/12/2010,654
01/01/2011,874
01/02/2011,881
01/03/2011,918
01/04/2011,674
01/05/2011,821
01/06/2011,611
01/07/2011,830
01/08/2011,746
01/09/2011,691
01/10/2011,418
01/11/2011,533
01/12/2011,455
01/01/2012,689
01/02/2012,642
01/03/2012,611
01/04/2012,388
01/05/2012,631
01/06/2012,584
01/07/2012,524
01/08/2012,434
01/09/2012,503
01/10/2012,514
01/11/2012,344
01/12/2012,348
01/01/2013,524
01/02/2013,492
01/03/2013,354
01/04/2013,448
01/05/2013,372
01/06/2013,335
01/07/2013,357
01/08/2013,285
01/09/2013,375
01/10/2013,315
01/11/2013,283
01/12/2013,198
01/01/2014,511
01/02/2014,306
01/03/2014,327
01/04/2014,288
01/05/2014,327
01/06/2014,318
01/07/2014,410
01/08/2014,267
01/09/2014,313
01/10/2014,318
01/11/2014,333
01/12/2014,271
01/01/2015,391
01/02/2015,385
01/03/2015,399
01/04/2015,395
01/05/2015,381
01/06/2015,358
01/07/2015,416
01/08/2015,318
01/09/2015,454
01/10/2015,353
01/11/2015,372
01/12/2015,416
01/01/2016,466
01/02/2016,584
01/03/2016,411
01/04/2016,471
01/05/2016,804
01/06/2016,642
01/07/2016,393
01/08/2016,425
01/09/2016,544
01/10/2016,394
01/11/2016,380
01/12/2016,386
01/01/2017,474
01/02/2017,462
01/03/2017,537
01/04/2017,357
01/05/2017,541
01/06/2017,516
01/07/2017,473
01/08/2017,534
01/09/2017,463
01/10/2017,463
01/11/2017,425
01/12/2017,293
01/01/2018,465
01/02/2018,445
01/03/2018,513
01/04/2018,454
01/05/2018,499
01/06/2018,502
01/07/2018,507
01/08/2018,452
01/09/2018,513
01/10/2018,603
01/11/2018,534
01/12/2018,358
01/01/2019,525
01/02/2019,521
01/03/2019,472
01/04/2019,506
01/05/2019,627
01/06/2019,564
01/07/2019,597
01/08/2019,579
01/09/2019,358
01/10/2019,565
01/11/2019,488
01/12/2019,434
