FECHA,TARGET
01/01/2003,397
01/02/2003,386
01/03/2003,353
01/04/2003,393
01/05/2003,469
01/06/2003,474
01/07/2003,477
01/08/2003,227
01/09/2003,294
01/10/2003,316
01/11/2003,390
01/12/2003,428
01/01/2004,282
01/02/2004,502
01/03/2004,468
01/04/2004,382
01/05/2004,507
01/06/2004,476
01/07/2004,421
01/08/2004,298
01/09/2004,449
01/10/2004,323
01/11/2004,290
01/12/2004,306
01/01/2005,781
01/02/2005,320
01/03/2005,497
01/04/2005,433
01/05/2005,499
01/06/2005,523
01/07/2005,536
01/08/2005,272
01/09/2005,625
01/10/2005,555
01/11/2005,494
01/12/2005,435
01/01/2006,644
01/02/2006,535
01/03/2006,589
01/04/2006,451
01/05/2006,686
01/06/2006,559
01/07/2006,389
01/08/2006,418
01/09/2006,635
01/10/2006,540
01/11/2006,726
01/12/2006,385
01/01/2007,626
01/02/2007,668
01/03/2007,617
01/04/2007,445
01/05/2007,554
01/06/2007,1157
01/07/2007,754
01/08/2007,295
01/09/2007,465
01/10/2007,809
01/11/2007,619
01/12/2007,477
01/01/2008,483
01/02/2008,367
01/03/2008,341
01/04/2008,564
01/05/2008,506
01/06/2008,518
01/07/2008,489
01/08/2008,335
01/09/2008,674
01/10/2008,678
01/11/2008,492
01/12/2008,342
01/01/2009,454
01/02/2009,546
01/03/2009,381
01/04/2009,593
01/05/2009,681
01/06/2009,416
01/07/2009,447
01/08/2009,323
01/09/2009,665
01/10/2009,498
01/11/2009,689
01/12/2009,420
01/01/2010,622
01/02/2010,831
01/03/2010,644
01/04/2010,351
01/05/2010,704
01/06/2010,1020
01/07/2010,745
01/08/2010,251
01/09/2010,776
01/10/2010,596
01/11/2010,739
01/12/2010,464
01/01/2011,1021
01/02/2011,814
01/03/2011,950
01/04/2011,351
01/05/2011,421
01/06/2011,406
01/07/2011,292
01/08/2011,186
01/09/2011,190
01/10/2011,362
01/11/2011,499
01/12/2011,372
01/01/2012,382
01/02/2012,643
01/03/2012,686
01/04/2012,267
01/05/2012,485
01/06/2012,267
01/07/2012,393
01/08/2012,197
01/09/2012,424
01/10/2012,405
01/11/2012,306
01/12/2012,370
01/01/2013,657
01/02/2013,328
01/03/2013,433
01/04/2013,395
01/05/2013,403
01/06/2013,197
01/07/2013,284
01/08/2013,65
01/09/2013,146
01/10/2013,119
01/11/2013,174
01/12/2013,92
01/01/2014,103
01/02/2014,99
01/03/2014,158
01/04/2014,89
01/05/2014,159
01/06/2014,138
01/07/2014,147
01/08/2014,84
01/09/2014,174
01/10/2014,127
01/11/2014,203
01/12/2014,115
01/01/2015,170
01/02/2015,450
01/03/2015,174
01/04/2015,111
01/05/2015,163
01/06/2015,114
01/07/2015,162
01/08/2015,99
01/09/2015,191
01/10/2015,135
01/11/2015,138
01/12/2015,132
01/01/2016,151
01/02/2016,168
01/03/2016,150
01/04/2016,158
01/05/2016,184
01/06/2016,211
01/07/2016,113
01/08/2016,41
01/09/2016,203
01/10/2016,122
01/11/2016,185
01/12/2016,150
01/01/2017,258
01/02/2017,204
01/03/2017,472
01/04/2017,166
01/05/2017,221
01/06/2017,196
01/07/2017,244
01/08/2017,143
01/09/2017,231
01/10/2017,222
01/11/2017,234
01/12/2017,324
01/01/2018,236
01/02/2018,202
01/03/2018,212
01/04/2018,193
01/05/2018,296
01/06/2018,291
01/07/2018,220
01/08/2018,163
01/09/2018,270
01/10/2018,164
01/11/2018,209
01/12/2018,189
01/01/2019,251
01/02/2019,297
01/03/2019,263
01/04/2019,253
01/05/2019,339
01/06/2019,244
01/07/2019,328
01/08/2019,145
01/09/2019,230
01/10/2019,205
01/11/2019,185
01/12/2019,221
