FECHA,TARGET
01/01/2003,1396
01/02/2003,1176
01/03/2003,1245
01/04/2003,1157
01/05/2003,1343
01/06/2003,1058
01/07/2003,1176
01/08/2003,860
01/09/2003,965
01/10/2003,1303
01/11/2003,1120
01/12/2003,970
01/01/2004,1134
01/02/2004,1324
01/03/2004,1385
01/04/2004,1543
01/05/2004,1710
01/06/2004,1659
01/07/2004,1885
01/08/2004,1237
01/09/2004,1807
01/10/2004,1330
01/11/2004,1479
01/12/2004,1445
01/01/2005,1659
01/02/2005,1719
01/03/2005,1356
01/04/2005,1803
01/05/2005,1471
01/06/2005,1850
01/07/2005,1906
01/08/2005,1949
01/09/2005,2210
01/10/2005,1445
01/11/2005,2183
01/12/2005,1547
01/01/2006,1984
01/02/2006,1808
01/03/2006,1933
01/04/2006,1392
01/05/2006,1817
01/06/2006,2411
01/07/2006,1771
01/08/2006,1988
01/09/2006,1855
01/10/2006,2360
01/11/2006,2108
01/12/2006,1692
01/01/2007,2454
01/02/2007,2126
01/03/2007,2558
01/04/2007,1618
01/05/2007,1953
01/06/2007,1961
01/07/2007,2379
01/08/2007,1459
01/09/2007,1790
01/10/2007,2333
01/11/2007,1703
01/12/2007,1374
01/01/2008,1905
01/02/2008,1395
01/03/2008,1293
01/04/2008,1320
01/05/2008,1597
01/06/2008,1427
01/07/2008,1201
01/08/2008,743
01/09/2008,1077
01/10/2008,1236
01/11/2008,1073
01/12/2008,953
01/01/2009,840
01/02/2009,986
01/03/2009,1069
01/04/2009,833
01/05/2009,960
01/06/2009,1207
01/07/2009,1207
01/08/2009,1104
01/09/2009,1137
01/10/2009,870
01/11/2009,848
01/12/2009,933
01/01/2010,936
01/02/2010,918
01/03/2010,837
01/04/2010,832
01/05/2010,1291
01/06/2010,863
01/07/2010,1122
01/08/2010,846
01/09/2010,904
01/10/2010,738
01/11/2010,1047
01/12/2010,715
01/01/2011,1010
01/02/2011,733
01/03/2011,853
01/04/2011,608
01/05/2011,640
01/06/2011,617
01/07/2011,697
01/08/2011,799
01/09/2011,471
01/10/2011,437
01/11/2011,475
01/12/2011,441
01/01/2012,515
01/02/2012,465
01/03/2012,591
01/04/2012,394
01/05/2012,641
01/06/2012,474
01/07/2012,439
01/08/2012,334
01/09/2012,366
01/10/2012,322
01/11/2012,390
01/12/2012,279
01/01/2013,616
01/02/2013,350
01/03/2013,259
01/04/2013,335
01/05/2013,332
01/06/2013,276
01/07/2013,252
01/08/2013,266
01/09/2013,244
01/10/2013,310
01/11/2013,321
01/12/2013,235
01/01/2014,282
01/02/2014,235
01/03/2014,272
01/04/2014,295
01/05/2014,331
01/06/2014,306
01/07/2014,330
01/08/2014,285
01/09/2014,338
01/10/2014,294
01/11/2014,314
01/12/2014,276
01/01/2015,356
01/02/2015,365
01/03/2015,341
01/04/2015,368
01/05/2015,413
01/06/2015,423
01/07/2015,465
01/08/2015,421
01/09/2015,462
01/10/2015,364
01/11/2015,399
01/12/2015,422
01/01/2016,539
01/02/2016,459
01/03/2016,486
01/04/2016,508
01/05/2016,540
01/06/2016,524
01/07/2016,348
01/08/2016,434
01/09/2016,567
01/10/2016,442
01/11/2016,499
01/12/2016,439
01/01/2017,491
01/02/2017,515
01/03/2017,645
01/04/2017,553
01/05/2017,602
01/06/2017,757
01/07/2017,532
01/08/2017,564
01/09/2017,556
01/10/2017,610
01/11/2017,482
01/12/2017,489
01/01/2018,639
01/02/2018,524
01/03/2018,594
01/04/2018,575
01/05/2018,558
01/06/2018,716
01/07/2018,519
01/08/2018,612
01/09/2018,618
01/10/2018,643
01/11/2018,501
01/12/2018,375
01/01/2019,618
01/02/2019,634
01/03/2019,619
01/04/2019,628
01/05/2019,645
01/06/2019,752
01/07/2019,826
01/08/2019,372
01/09/2019,331
01/10/2019,572
01/11/2019,652
01/12/2019,501
