FECHA,TARGET
01/01/2003,532
01/02/2003,566
01/03/2003,652
01/04/2003,488
01/05/2003,481
01/06/2003,454
01/07/2003,438
01/08/2003,410
01/09/2003,636
01/10/2003,748
01/11/2003,589
01/12/2003,566
01/01/2004,591
01/02/2004,509
01/03/2004,557
01/04/2004,593
01/05/2004,588
01/06/2004,836
01/07/2004,683
01/08/2004,631
01/09/2004,639
01/10/2004,565
01/11/2004,562
01/12/2004,551
01/01/2005,508
01/02/2005,632
01/03/2005,595
01/04/2005,752
01/05/2005,711
01/06/2005,874
01/07/2005,703
01/08/2005,549
01/09/2005,1353
01/10/2005,745
01/11/2005,645
01/12/2005,760
01/01/2006,700
01/02/2006,874
01/03/2006,785
01/04/2006,781
01/05/2006,941
01/06/2006,903
01/07/2006,644
01/08/2006,817
01/09/2006,618
01/10/2006,731
01/11/2006,750
01/12/2006,477
01/01/2007,792
01/02/2007,562
01/03/2007,616
01/04/2007,1004
01/05/2007,1264
01/06/2007,1256
01/07/2007,666
01/08/2007,561
01/09/2007,772
01/10/2007,907
01/11/2007,929
01/12/2007,477
01/01/2008,1046
01/02/2008,504
01/03/2008,366
01/04/2008,616
01/05/2008,545
01/06/2008,612
01/07/2008,514
01/08/2008,366
01/09/2008,316
01/10/2008,547
01/11/2008,397
01/12/2008,293
01/01/2009,235
01/02/2009,311
01/03/2009,398
01/04/2009,222
01/05/2009,298
01/06/2009,277
01/07/2009,665
01/08/2009,297
01/09/2009,523
01/10/2009,365
01/11/2009,293
01/12/2009,237
01/01/2010,387
01/02/2010,292
01/03/2010,236
01/04/2010,277
01/05/2010,299
01/06/2010,259
01/07/2010,224
01/08/2010,282
01/09/2010,335
01/10/2010,251
01/11/2010,271
01/12/2010,147
01/01/2011,298
01/02/2011,354
01/03/2011,272
01/04/2011,127
01/05/2011,175
01/06/2011,219
01/07/2011,135
01/08/2011,164
01/09/2011,161
01/10/2011,120
01/11/2011,134
01/12/2011,327
01/01/2012,187
01/02/2012,213
01/03/2012,334
01/04/2012,93
01/05/2012,241
01/06/2012,129
01/07/2012,243
01/08/2012,89
01/09/2012,107
01/10/2012,103
01/11/2012,124
01/12/2012,61
01/01/2013,100
01/02/2013,106
01/03/2013,59
01/04/2013,92
01/05/2013,103
01/06/2013,81
01/07/2013,75
01/08/2013,54
01/09/2013,80
01/10/2013,63
01/11/2013,84
01/12/2013,85
01/01/2014,97
01/02/2014,99
01/03/2014,95
01/04/2014,78
01/05/2014,93
01/06/2014,88
01/07/2014,105
01/08/2014,88
01/09/2014,131
01/10/2014,114
01/11/2014,104
01/12/2014,130
01/01/2015,105
01/02/2015,147
01/03/2015,121
01/04/2015,86
01/05/2015,102
01/06/2015,135
01/07/2015,138
01/08/2015,106
01/09/2015,108
01/10/2015,95
01/11/2015,140
01/12/2015,98
01/01/2016,159
01/02/2016,191
01/03/2016,117
01/04/2016,164
01/05/2016,136
01/06/2016,174
01/07/2016,121
01/08/2016,145
01/09/2016,133
01/10/2016,144
01/11/2016,143
01/12/2016,101
01/01/2017,180
01/02/2017,139
01/03/2017,167
01/04/2017,125
01/05/2017,157
01/06/2017,243
01/07/2017,178
01/08/2017,179
01/09/2017,220
01/10/2017,171
01/11/2017,142
01/12/2017,139
01/01/2018,243
01/02/2018,175
01/03/2018,256
01/04/2018,323
01/05/2018,353
01/06/2018,199
01/07/2018,258
01/08/2018,184
01/09/2018,259
01/10/2018,186
01/11/2018,211
01/12/2018,115
01/01/2019,268
01/02/2019,242
01/03/2019,262
01/04/2019,217
01/05/2019,221
01/06/2019,204
01/07/2019,286
01/08/2019,92
01/09/2019,165
01/10/2019,257
01/11/2019,181
01/12/2019,399
