FECHA,TARGET
01/01/2003,1419
01/02/2003,1250
01/03/2003,1348
01/04/2003,1426
01/05/2003,1285
01/06/2003,1121
01/07/2003,1052
01/08/2003,1017
01/09/2003,802
01/10/2003,1399
01/11/2003,1172
01/12/2003,1020
01/01/2004,1323
01/02/2004,1211
01/03/2004,1145
01/04/2004,994
01/05/2004,1165
01/06/2004,2366
01/07/2004,1118
01/08/2004,1064
01/09/2004,1354
01/10/2004,1534
01/11/2004,1528
01/12/2004,1379
01/01/2005,1865
01/02/2005,1575
01/03/2005,1177
01/04/2005,1544
01/05/2005,1428
01/06/2005,1647
01/07/2005,1155
01/08/2005,1297
01/09/2005,1445
01/10/2005,1760
01/11/2005,1347
01/12/2005,1275
01/01/2006,1675
01/02/2006,1779
01/03/2006,2171
01/04/2006,1290
01/05/2006,1619
01/06/2006,1929
01/07/2006,1235
01/08/2006,1081
01/09/2006,1675
01/10/2006,1546
01/11/2006,1737
01/12/2006,1240
01/01/2007,1975
01/02/2007,1406
01/03/2007,1529
01/04/2007,1224
01/05/2007,1713
01/06/2007,1742
01/07/2007,1580
01/08/2007,1742
01/09/2007,1696
01/10/2007,1660
01/11/2007,2186
01/12/2007,1235
01/01/2008,1207
01/02/2008,1384
01/03/2008,1099
01/04/2008,1373
01/05/2008,1036
01/06/2008,1181
01/07/2008,1076
01/08/2008,563
01/09/2008,878
01/10/2008,795
01/11/2008,821
01/12/2008,532
01/01/2009,713
01/02/2009,607
01/03/2009,630
01/04/2009,588
01/05/2009,752
01/06/2009,715
01/07/2009,510
01/08/2009,721
01/09/2009,743
01/10/2009,613
01/11/2009,691
01/12/2009,801
01/01/2010,1045
01/02/2010,633
01/03/2010,604
01/04/2010,478
01/05/2010,624
01/06/2010,733
01/07/2010,427
01/08/2010,687
01/09/2010,698
01/10/2010,631
01/11/2010,675
01/12/2010,576
01/01/2011,753
01/02/2011,616
01/03/2011,579
01/04/2011,538
01/05/2011,463
01/06/2011,450
01/07/2011,438
01/08/2011,378
01/09/2011,325
01/10/2011,503
01/11/2011,323
01/12/2011,280
01/01/2012,450
01/02/2012,336
01/03/2012,360
01/04/2012,265
01/05/2012,300
01/06/2012,723
01/07/2012,406
01/08/2012,289
01/09/2012,232
01/10/2012,230
01/11/2012,277
01/12/2012,227
01/01/2013,467
01/02/2013,323
01/03/2013,210
01/04/2013,422
01/05/2013,231
01/06/2013,179
01/07/2013,168
01/08/2013,177
01/09/2013,140
01/10/2013,174
01/11/2013,173
01/12/2013,159
01/01/2014,184
01/02/2014,146
01/03/2014,224
01/04/2014,196
01/05/2014,217
01/06/2014,200
01/07/2014,276
01/08/2014,190
01/09/2014,224
01/10/2014,267
01/11/2014,212
01/12/2014,227
01/01/2015,234
01/02/2015,235
01/03/2015,218
01/04/2015,208
01/05/2015,246
01/06/2015,430
01/07/2015,259
01/08/2015,241
01/09/2015,283
01/10/2015,226
01/11/2015,250
01/12/2015,268
01/01/2016,360
01/02/2016,268
01/03/2016,363
01/04/2016,308
01/05/2016,286
01/06/2016,320
01/07/2016,169
01/08/2016,217
01/09/2016,293
01/10/2016,255
01/11/2016,279
01/12/2016,298
01/01/2017,271
01/02/2017,290
01/03/2017,292
01/04/2017,269
01/05/2017,339
01/06/2017,320
01/07/2017,245
01/08/2017,279
01/09/2017,291
01/10/2017,248
01/11/2017,313
01/12/2017,209
01/01/2018,353
01/02/2018,244
01/03/2018,280
01/04/2018,278
01/05/2018,325
01/06/2018,412
01/07/2018,326
01/08/2018,285
01/09/2018,345
01/10/2018,323
01/11/2018,298
01/12/2018,250
01/01/2019,497
01/02/2019,331
01/03/2019,415
01/04/2019,343
01/05/2019,383
01/06/2019,464
01/07/2019,446
01/08/2019,326
01/09/2019,197
01/10/2019,382
01/11/2019,417
01/12/2019,335
