FECHA,TARGET
01/01/2003,347
01/02/2003,274
01/03/2003,378
01/04/2003,426
01/05/2003,522
01/06/2003,296
01/07/2003,424
01/08/2003,255
01/09/2003,488
01/10/2003,361
01/11/2003,280
01/12/2003,311
01/01/2004,325
01/02/2004,533
01/03/2004,410
01/04/2004,264
01/05/2004,470
01/06/2004,404
01/07/2004,406
01/08/2004,450
01/09/2004,587
01/10/2004,591
01/11/2004,319
01/12/2004,452
01/01/2005,436
01/02/2005,462
01/03/2005,474
01/04/2005,464
01/05/2005,366
01/06/2005,567
01/07/2005,593
01/08/2005,338
01/09/2005,507
01/10/2005,661
01/11/2005,639
01/12/2005,768
01/01/2006,735
01/02/2006,852
01/03/2006,695
01/04/2006,656
01/05/2006,537
01/06/2006,490
01/07/2006,480
01/08/2006,507
01/09/2006,574
01/10/2006,520
01/11/2006,335
01/12/2006,380
01/01/2007,696
01/02/2007,613
01/03/2007,679
01/04/2007,650
01/05/2007,560
01/06/2007,488
01/07/2007,726
01/08/2007,444
01/09/2007,480
01/10/2007,475
01/11/2007,614
01/12/2007,401
01/01/2008,456
01/02/2008,412
01/03/2008,228
01/04/2008,460
01/05/2008,312
01/06/2008,382
01/07/2008,430
01/08/2008,373
01/09/2008,562
01/10/2008,441
01/11/2008,372
01/12/2008,577
01/01/2009,423
01/02/2009,241
01/03/2009,327
01/04/2009,194
01/05/2009,308
01/06/2009,246
01/07/2009,346
01/08/2009,354
01/09/2009,367
01/10/2009,337
01/11/2009,338
01/12/2009,215
01/01/2010,237
01/02/2010,230
01/03/2010,357
01/04/2010,229
01/05/2010,221
01/06/2010,254
01/07/2010,313
01/08/2010,166
01/09/2010,174
01/10/2010,199
01/11/2010,207
01/12/2010,230
01/01/2011,243
01/02/2011,335
01/03/2011,122
01/04/2011,115
01/05/2011,227
01/06/2011,190
01/07/2011,219
01/08/2011,138
01/09/2011,143
01/10/2011,78
01/11/2011,149
01/12/2011,60
01/01/2012,146
01/02/2012,164
01/03/2012,136
01/04/2012,88
01/05/2012,114
01/06/2012,106
01/07/2012,130
01/08/2012,68
01/09/2012,102
01/10/2012,129
01/11/2012,278
01/12/2012,84
01/01/2013,208
01/02/2013,148
01/03/2013,108
01/04/2013,85
01/05/2013,114
01/06/2013,63
01/07/2013,80
01/08/2013,180
01/09/2013,55
01/10/2013,53
01/11/2013,69
01/12/2013,82
01/01/2014,74
01/02/2014,49
01/03/2014,65
01/04/2014,48
01/05/2014,97
01/06/2014,67
01/07/2014,59
01/08/2014,49
01/09/2014,131
01/10/2014,78
01/11/2014,73
01/12/2014,57
01/01/2015,141
01/02/2015,88
01/03/2015,96
01/04/2015,98
01/05/2015,84
01/06/2015,95
01/07/2015,112
01/08/2015,94
01/09/2015,178
01/10/2015,77
01/11/2015,104
01/12/2015,89
01/01/2016,104
01/02/2016,131
01/03/2016,108
01/04/2016,126
01/05/2016,197
01/06/2016,136
01/07/2016,94
01/08/2016,109
01/09/2016,90
01/10/2016,91
01/11/2016,131
01/12/2016,134
01/01/2017,120
01/02/2017,144
01/03/2017,115
01/04/2017,94
01/05/2017,157
01/06/2017,132
01/07/2017,105
01/08/2017,128
01/09/2017,112
01/10/2017,80
01/11/2017,151
01/12/2017,84
01/01/2018,129
01/02/2018,105
01/03/2018,115
01/04/2018,101
01/05/2018,143
01/06/2018,135
01/07/2018,140
01/08/2018,119
01/09/2018,126
01/10/2018,115
01/11/2018,140
01/12/2018,111
01/01/2019,148
01/02/2019,135
01/03/2019,104
01/04/2019,122
01/05/2019,134
01/06/2019,96
01/07/2019,116
01/08/2019,110
01/09/2019,66
01/10/2019,113
01/11/2019,131
01/12/2019,131
