FECHA,TARGET
01/01/2003,993
01/02/2003,883
01/03/2003,953
01/04/2003,936
01/05/2003,950
01/06/2003,756
01/07/2003,489
01/08/2003,428
01/09/2003,532
01/10/2003,325
01/11/2003,445
01/12/2003,497
01/01/2004,645
01/02/2004,488
01/03/2004,540
01/04/2004,585
01/05/2004,1034
01/06/2004,779
01/07/2004,783
01/08/2004,685
01/09/2004,811
01/10/2004,703
01/11/2004,864
01/12/2004,757
01/01/2005,1051
01/02/2005,745
01/03/2005,903
01/04/2005,1650
01/05/2005,1209
01/06/2005,1477
01/07/2005,830
01/08/2005,782
01/09/2005,1055
01/10/2005,735
01/11/2005,1123
01/12/2005,903
01/01/2006,1051
01/02/2006,1105
01/03/2006,1312
01/04/2006,867
01/05/2006,1061
01/06/2006,1231
01/07/2006,972
01/08/2006,956
01/09/2006,1117
01/10/2006,1138
01/11/2006,1285
01/12/2006,928
01/01/2007,1353
01/02/2007,1300
01/03/2007,1367
01/04/2007,1197
01/05/2007,1584
01/06/2007,1445
01/07/2007,1195
01/08/2007,1020
01/09/2007,1235
01/10/2007,1298
01/11/2007,1348
01/12/2007,876
01/01/2008,1001
01/02/2008,1029
01/03/2008,776
01/04/2008,903
01/05/2008,812
01/06/2008,771
01/07/2008,656
01/08/2008,664
01/09/2008,661
01/10/2008,706
01/11/2008,464
01/12/2008,384
01/01/2009,579
01/02/2009,430
01/03/2009,554
01/04/2009,564
01/05/2009,531
01/06/2009,599
01/07/2009,652
01/08/2009,443
01/09/2009,559
01/10/2009,646
01/11/2009,374
01/12/2009,479
01/01/2010,468
01/02/2010,486
01/03/2010,428
01/04/2010,621
01/05/2010,528
01/06/2010,546
01/07/2010,503
01/08/2010,526
01/09/2010,633
01/10/2010,392
01/11/2010,585
01/12/2010,624
01/01/2011,683
01/02/2011,573
01/03/2011,434
01/04/2011,389
01/05/2011,511
01/06/2011,407
01/07/2011,375
01/08/2011,322
01/09/2011,416
01/10/2011,217
01/11/2011,272
01/12/2011,235
01/01/2012,321
01/02/2012,248
01/03/2012,288
01/04/2012,202
01/05/2012,289
01/06/2012,234
01/07/2012,231
01/08/2012,202
01/09/2012,242
01/10/2012,194
01/11/2012,203
01/12/2012,163
01/01/2013,274
01/02/2013,230
01/03/2013,203
01/04/2013,207
01/05/2013,211
01/06/2013,183
01/07/2013,111
01/08/2013,187
01/09/2013,175
01/10/2013,149
01/11/2013,125
01/12/2013,122
01/01/2014,155
01/02/2014,133
01/03/2014,147
01/04/2014,152
01/05/2014,168
01/06/2014,157
01/07/2014,199
01/08/2014,187
01/09/2014,232
01/10/2014,178
01/11/2014,150
01/12/2014,166
01/01/2015,198
01/02/2015,219
01/03/2015,219
01/04/2015,202
01/05/2015,244
01/06/2015,218
01/07/2015,205
01/08/2015,200
01/09/2015,222
01/10/2015,217
01/11/2015,218
01/12/2015,214
01/01/2016,196
01/02/2016,237
01/03/2016,268
01/04/2016,251
01/05/2016,256
01/06/2016,272
01/07/2016,214
01/08/2016,231
01/09/2016,270
01/10/2016,281
01/11/2016,254
01/12/2016,225
01/01/2017,269
01/02/2017,234
01/03/2017,262
01/04/2017,272
01/05/2017,354
01/06/2017,316
01/07/2017,209
01/08/2017,289
01/09/2017,309
01/10/2017,287
01/11/2017,280
01/12/2017,213
01/01/2018,284
01/02/2018,269
01/03/2018,225
01/04/2018,301
01/05/2018,332
01/06/2018,321
01/07/2018,319
01/08/2018,349
01/09/2018,313
01/10/2018,317
01/11/2018,248
01/12/2018,174
01/01/2019,246
01/02/2019,272
01/03/2019,344
01/04/2019,254
01/05/2019,341
01/06/2019,271
01/07/2019,400
01/08/2019,227
01/09/2019,143
01/10/2019,250
01/11/2019,264
01/12/2019,260
