FECHA,TARGET
01/01/2003,2039
01/02/2003,2571
01/03/2003,2445
01/04/2003,1721
01/05/2003,2126
01/06/2003,1718
01/07/2003,1482
01/08/2003,1365
01/09/2003,1503
01/10/2003,1866
01/11/2003,1652
01/12/2003,1452
01/01/2004,2461
01/02/2004,2075
01/03/2004,2393
01/04/2004,2070
01/05/2004,2239
01/06/2004,2649
01/07/2004,2491
01/08/2004,2047
01/09/2004,2579
01/10/2004,2541
01/11/2004,3133
01/12/2004,2737
01/01/2005,3358
01/02/2005,2875
01/03/2005,2165
01/04/2005,3105
01/05/2005,2705
01/06/2005,2751
01/07/2005,2670
01/08/2005,2967
01/09/2005,3687
01/10/2005,3096
01/11/2005,3044
01/12/2005,3664
01/01/2006,3764
01/02/2006,2973
01/03/2006,3201
01/04/2006,2481
01/05/2006,3424
01/06/2006,3479
01/07/2006,3447
01/08/2006,2860
01/09/2006,3489
01/10/2006,2313
01/11/2006,3557
01/12/2006,2210
01/01/2007,3693
01/02/2007,3015
01/03/2007,2887
01/04/2007,2239
01/05/2007,2592
01/06/2007,3287
01/07/2007,2307
01/08/2007,2825
01/09/2007,2541
01/10/2007,2585
01/11/2007,3047
01/12/2007,1815
01/01/2008,2408
01/02/2008,2098
01/03/2008,1648
01/04/2008,2477
01/05/2008,1875
01/06/2008,2032
01/07/2008,2628
01/08/2008,1857
01/09/2008,1314
01/10/2008,1509
01/11/2008,1153
01/12/2008,1292
01/01/2009,1449
01/02/2009,1365
01/03/2009,1610
01/04/2009,1246
01/05/2009,1692
01/06/2009,1700
01/07/2009,1849
01/08/2009,1337
01/09/2009,1577
01/10/2009,1413
01/11/2009,1344
01/12/2009,1177
01/01/2010,1521
01/02/2010,1268
01/03/2010,1121
01/04/2010,1219
01/05/2010,1453
01/06/2010,1228
01/07/2010,1184
01/08/2010,1030
01/09/2010,1260
01/10/2010,921
01/11/2010,910
01/12/2010,1055
01/01/2011,1166
01/02/2011,940
01/03/2011,662
01/04/2011,845
01/05/2011,639
01/06/2011,862
01/07/2011,580
01/08/2011,749
01/09/2011,616
01/10/2011,648
01/11/2011,611
01/12/2011,511
01/01/2012,846
01/02/2012,620
01/03/2012,640
01/04/2012,527
01/05/2012,527
01/06/2012,405
01/07/2012,806
01/08/2012,460
01/09/2012,336
01/10/2012,450
01/11/2012,418
01/12/2012,440
01/01/2013,393
01/02/2013,864
01/03/2013,393
01/04/2013,382
01/05/2013,423
01/06/2013,424
01/07/2013,249
01/08/2013,469
01/09/2013,574
01/10/2013,346
01/11/2013,242
01/12/2013,289
01/01/2014,332
01/02/2014,519
01/03/2014,681
01/04/2014,569
01/05/2014,421
01/06/2014,444
01/07/2014,433
01/08/2014,308
01/09/2014,399
01/10/2014,396
01/11/2014,466
01/12/2014,393
01/01/2015,912
01/02/2015,351
01/03/2015,471
01/04/2015,424
01/05/2015,464
01/06/2015,647
01/07/2015,764
01/08/2015,421
01/09/2015,429
01/10/2015,573
01/11/2015,643
01/12/2015,476
01/01/2016,554
01/02/2016,547
01/03/2016,1306
01/04/2016,470
01/05/2016,588
01/06/2016,513
01/07/2016,375
01/08/2016,461
01/09/2016,492
01/10/2016,688
01/11/2016,746
01/12/2016,478
01/01/2017,575
01/02/2017,505
01/03/2017,551
01/04/2017,416
01/05/2017,731
01/06/2017,957
01/07/2017,586
01/08/2017,577
01/09/2017,550
01/10/2017,459
01/11/2017,544
01/12/2017,522
01/01/2018,661
01/02/2018,584
01/03/2018,513
01/04/2018,671
01/05/2018,618
01/06/2018,602
01/07/2018,534
01/08/2018,834
01/09/2018,599
01/10/2018,499
01/11/2018,687
01/12/2018,374
01/01/2019,692
01/02/2019,553
01/03/2019,513
01/04/2019,506
01/05/2019,630
01/06/2019,568
01/07/2019,732
01/08/2019,369
01/09/2019,437
01/10/2019,860
01/11/2019,722
01/12/2019,1402
