FECHA,TARGET
01/01/2003,529
01/02/2003,630
01/03/2003,750
01/04/2003,380
01/05/2003,769
01/06/2003,631
01/07/2003,496
01/08/2003,472
01/09/2003,555
01/10/2003,975
01/11/2003,665
01/12/2003,856
01/01/2004,866
01/02/2004,762
01/03/2004,792
01/04/2004,512
01/05/2004,661
01/06/2004,502
01/07/2004,545
01/08/2004,561
01/09/2004,491
01/10/2004,376
01/11/2004,618
01/12/2004,634
01/01/2005,639
01/02/2005,845
01/03/2005,681
01/04/2005,544
01/05/2005,796
01/06/2005,485
01/07/2005,532
01/08/2005,743
01/09/2005,489
01/10/2005,732
01/11/2005,643
01/12/2005,755
01/01/2006,929
01/02/2006,711
01/03/2006,1001
01/04/2006,611
01/05/2006,735
01/06/2006,822
01/07/2006,1029
01/08/2006,833
01/09/2006,833
01/10/2006,719
01/11/2006,659
01/12/2006,691
01/01/2007,851
01/02/2007,612
01/03/2007,728
01/04/2007,699
01/05/2007,933
01/06/2007,853
01/07/2007,774
01/08/2007,821
01/09/2007,401
01/10/2007,1062
01/11/2007,826
01/12/2007,708
01/01/2008,717
01/02/2008,477
01/03/2008,789
01/04/2008,823
01/05/2008,656
01/06/2008,404
01/07/2008,668
01/08/2008,494
01/09/2008,716
01/10/2008,654
01/11/2008,719
01/12/2008,470
01/01/2009,646
01/02/2009,543
01/03/2009,394
01/04/2009,927
01/05/2009,599
01/06/2009,372
01/07/2009,640
01/08/2009,598
01/09/2009,494
01/10/2009,512
01/11/2009,409
01/12/2009,376
01/01/2010,655
01/02/2010,581
01/03/2010,460
01/04/2010,284
01/05/2010,407
01/06/2010,767
01/07/2010,730
01/08/2010,441
01/09/2010,485
01/10/2010,253
01/11/2010,739
01/12/2010,304
01/01/2011,372
01/02/2011,550
01/03/2011,336
01/04/2011,220
01/05/2011,414
01/06/2011,157
01/07/2011,247
01/08/2011,268
01/09/2011,178
01/10/2011,390
01/11/2011,211
01/12/2011,192
01/01/2012,213
01/02/2012,145
01/03/2012,108
01/04/2012,185
01/05/2012,187
01/06/2012,124
01/07/2012,197
01/08/2012,122
01/09/2012,116
01/10/2012,124
01/11/2012,162
01/12/2012,131
01/01/2013,211
01/02/2013,207
01/03/2013,254
01/04/2013,81
01/05/2013,150
01/06/2013,104
01/07/2013,112
01/08/2013,149
01/09/2013,96
01/10/2013,90
01/11/2013,79
01/12/2013,161
01/01/2014,116
01/02/2014,107
01/03/2014,105
01/04/2014,146
01/05/2014,106
01/06/2014,91
01/07/2014,169
01/08/2014,88
01/09/2014,91
01/10/2014,119
01/11/2014,163
01/12/2014,105
01/01/2015,166
01/02/2015,126
01/03/2015,139
01/04/2015,120
01/05/2015,152
01/06/2015,133
01/07/2015,132
01/08/2015,146
01/09/2015,89
01/10/2015,106
01/11/2015,165
01/12/2015,108
01/01/2016,155
01/02/2016,149
01/03/2016,134
01/04/2016,172
01/05/2016,202
01/06/2016,103
01/07/2016,101
01/08/2016,173
01/09/2016,142
01/10/2016,123
01/11/2016,148
01/12/2016,133
01/01/2017,181
01/02/2017,159
01/03/2017,178
01/04/2017,124
01/05/2017,191
01/06/2017,171
01/07/2017,221
01/08/2017,171
01/09/2017,135
01/10/2017,230
01/11/2017,154
01/12/2017,139
01/01/2018,222
01/02/2018,173
01/03/2018,195
01/04/2018,166
01/05/2018,200
01/06/2018,180
01/07/2018,283
01/08/2018,192
01/09/2018,226
01/10/2018,182
01/11/2018,179
01/12/2018,134
01/01/2019,253
01/02/2019,241
01/03/2019,201
01/04/2019,191
01/05/2019,211
01/06/2019,150
01/07/2019,269
01/08/2019,74
01/09/2019,82
01/10/2019,186
01/11/2019,209
01/12/2019,122
