FECHA,TARGET
01/01/2003,840
01/02/2003,800
01/03/2003,837
01/04/2003,702
01/05/2003,857
01/06/2003,598
01/07/2003,835
01/08/2003,765
01/09/2003,1119
01/10/2003,850
01/11/2003,981
01/12/2003,554
01/01/2004,972
01/02/2004,1090
01/03/2004,921
01/04/2004,901
01/05/2004,966
01/06/2004,801
01/07/2004,771
01/08/2004,1010
01/09/2004,738
01/10/2004,762
01/11/2004,861
01/12/2004,723
01/01/2005,809
01/02/2005,931
01/03/2005,794
01/04/2005,1074
01/05/2005,737
01/06/2005,729
01/07/2005,609
01/08/2005,868
01/09/2005,981
01/10/2005,902
01/11/2005,785
01/12/2005,636
01/01/2006,1275
01/02/2006,815
01/03/2006,906
01/04/2006,788
01/05/2006,1076
01/06/2006,914
01/07/2006,662
01/08/2006,923
01/09/2006,1274
01/10/2006,911
01/11/2006,1134
01/12/2006,923
01/01/2007,1090
01/02/2007,1055
01/03/2007,984
01/04/2007,964
01/05/2007,1185
01/06/2007,1185
01/07/2007,1178
01/08/2007,947
01/09/2007,702
01/10/2007,810
01/11/2007,1069
01/12/2007,747
01/01/2008,968
01/02/2008,830
01/03/2008,809
01/04/2008,788
01/05/2008,736
01/06/2008,496
01/07/2008,809
01/08/2008,667
01/09/2008,439
01/10/2008,557
01/11/2008,422
01/12/2008,692
01/01/2009,770
01/02/2009,887
01/03/2009,525
01/04/2009,556
01/05/2009,508
01/06/2009,609
01/07/2009,465
01/08/2009,538
01/09/2009,394
01/10/2009,565
01/11/2009,480
01/12/2009,723
01/01/2010,686
01/02/2010,528
01/03/2010,599
01/04/2010,497
01/05/2010,424
01/06/2010,494
01/07/2010,526
01/08/2010,472
01/09/2010,465
01/10/2010,333
01/11/2010,477
01/12/2010,286
01/01/2011,447
01/02/2011,740
01/03/2011,490
01/04/2011,278
01/05/2011,218
01/06/2011,320
01/07/2011,228
01/08/2011,230
01/09/2011,241
01/10/2011,221
01/11/2011,237
01/12/2011,282
01/01/2012,254
01/02/2012,203
01/03/2012,237
01/04/2012,178
01/05/2012,213
01/06/2012,229
01/07/2012,160
01/08/2012,186
01/09/2012,198
01/10/2012,192
01/11/2012,155
01/12/2012,138
01/01/2013,192
01/02/2013,153
01/03/2013,115
01/04/2013,112
01/05/2013,133
01/06/2013,102
01/07/2013,211
01/08/2013,82
01/09/2013,108
01/10/2013,117
01/11/2013,107
01/12/2013,105
01/01/2014,137
01/02/2014,97
01/03/2014,118
01/04/2014,104
01/05/2014,133
01/06/2014,115
01/07/2014,126
01/08/2014,92
01/09/2014,119
01/10/2014,137
01/11/2014,106
01/12/2014,77
01/01/2015,120
01/02/2015,107
01/03/2015,116
01/04/2015,110
01/05/2015,139
01/06/2015,136
01/07/2015,158
01/08/2015,158
01/09/2015,143
01/10/2015,128
01/11/2015,122
01/12/2015,117
01/01/2016,182
01/02/2016,178
01/03/2016,111
01/04/2016,144
01/05/2016,235
01/06/2016,141
01/07/2016,68
01/08/2016,130
01/09/2016,157
01/10/2016,165
01/11/2016,192
01/12/2016,129
01/01/2017,196
01/02/2017,179
01/03/2017,190
01/04/2017,133
01/05/2017,208
01/06/2017,175
01/07/2017,142
01/08/2017,170
01/09/2017,169
01/10/2017,155
01/11/2017,147
01/12/2017,82
01/01/2018,162
01/02/2018,158
01/03/2018,138
01/04/2018,191
01/05/2018,201
01/06/2018,170
01/07/2018,193
01/08/2018,178
01/09/2018,184
01/10/2018,169
01/11/2018,170
01/12/2018,107
01/01/2019,164
01/02/2019,169
01/03/2019,184
01/04/2019,180
01/05/2019,280
01/06/2019,189
01/07/2019,243
01/08/2019,96
01/09/2019,106
01/10/2019,162
01/11/2019,135
01/12/2019,146
