FECHA,TARGET
01/01/2003,752
01/02/2003,734
01/03/2003,842
01/04/2003,630
01/05/2003,395
01/06/2003,751
01/07/2003,709
01/08/2003,581
01/09/2003,707
01/10/2003,834
01/11/2003,701
01/12/2003,503
01/01/2004,613
01/02/2004,523
01/03/2004,980
01/04/2004,494
01/05/2004,561
01/06/2004,755
01/07/2004,752
01/08/2004,866
01/09/2004,728
01/10/2004,947
01/11/2004,804
01/12/2004,871
01/01/2005,844
01/02/2005,1039
01/03/2005,963
01/04/2005,1079
01/05/2005,1067
01/06/2005,952
01/07/2005,789
01/08/2005,763
01/09/2005,943
01/10/2005,986
01/11/2005,1087
01/12/2005,1077
01/01/2006,1045
01/02/2006,1026
01/03/2006,1280
01/04/2006,952
01/05/2006,1206
01/06/2006,1203
01/07/2006,1207
01/08/2006,1112
01/09/2006,1112
01/10/2006,1184
01/11/2006,1159
01/12/2006,1092
01/01/2007,1451
01/02/2007,1143
01/03/2007,1438
01/04/2007,998
01/05/2007,1378
01/06/2007,1229
01/07/2007,1116
01/08/2007,978
01/09/2007,1152
01/10/2007,872
01/11/2007,1005
01/12/2007,728
01/01/2008,857
01/02/2008,881
01/03/2008,749
01/04/2008,699
01/05/2008,731
01/06/2008,594
01/07/2008,710
01/08/2008,538
01/09/2008,592
01/10/2008,422
01/11/2008,437
01/12/2008,600
01/01/2009,462
01/02/2009,503
01/03/2009,529
01/04/2009,451
01/05/2009,610
01/06/2009,624
01/07/2009,563
01/08/2009,596
01/09/2009,490
01/10/2009,336
01/11/2009,495
01/12/2009,491
01/01/2010,470
01/02/2010,550
01/03/2010,457
01/04/2010,408
01/05/2010,400
01/06/2010,389
01/07/2010,828
01/08/2010,472
01/09/2010,406
01/10/2010,380
01/11/2010,294
01/12/2010,403
01/01/2011,355
01/02/2011,446
01/03/2011,373
01/04/2011,315
01/05/2011,364
01/06/2011,199
01/07/2011,301
01/08/2011,247
01/09/2011,245
01/10/2011,200
01/11/2011,219
01/12/2011,155
01/01/2012,200
01/02/2012,255
01/03/2012,232
01/04/2012,192
01/05/2012,208
01/06/2012,230
01/07/2012,212
01/08/2012,153
01/09/2012,158
01/10/2012,177
01/11/2012,110
01/12/2012,137
01/01/2013,181
01/02/2013,222
01/03/2013,147
01/04/2013,130
01/05/2013,148
01/06/2013,98
01/07/2013,106
01/08/2013,102
01/09/2013,99
01/10/2013,70
01/11/2013,90
01/12/2013,91
01/01/2014,122
01/02/2014,109
01/03/2014,108
01/04/2014,94
01/05/2014,102
01/06/2014,98
01/07/2014,108
01/08/2014,86
01/09/2014,98
01/10/2014,110
01/11/2014,85
01/12/2014,107
01/01/2015,114
01/02/2015,150
01/03/2015,190
01/04/2015,182
01/05/2015,143
01/06/2015,104
01/07/2015,111
01/08/2015,101
01/09/2015,227
01/10/2015,166
01/11/2015,164
01/12/2015,122
01/01/2016,174
01/02/2016,206
01/03/2016,177
01/04/2016,213
01/05/2016,256
01/06/2016,150
01/07/2016,154
01/08/2016,154
01/09/2016,167
01/10/2016,137
01/11/2016,146
01/12/2016,149
01/01/2017,172
01/02/2017,169
01/03/2017,171
01/04/2017,110
01/05/2017,153
01/06/2017,200
01/07/2017,156
01/08/2017,136
01/09/2017,150
01/10/2017,143
01/11/2017,146
01/12/2017,135
01/01/2018,193
01/02/2018,137
01/03/2018,138
01/04/2018,154
01/05/2018,158
01/06/2018,178
01/07/2018,164
01/08/2018,205
01/09/2018,176
01/10/2018,230
01/11/2018,176
01/12/2018,142
01/01/2019,186
01/02/2019,203
01/03/2019,197
01/04/2019,170
01/05/2019,213
01/06/2019,155
01/07/2019,218
01/08/2019,154
01/09/2019,201
01/10/2019,137
01/11/2019,137
01/12/2019,171
