FECHA,TARGET
01/01/2003,310
01/02/2003,355
01/03/2003,253
01/04/2003,265
01/05/2003,238
01/06/2003,273
01/07/2003,319
01/08/2003,292
01/09/2003,266
01/10/2003,437
01/11/2003,322
01/12/2003,362
01/01/2004,558
01/02/2004,470
01/03/2004,496
01/04/2004,321
01/05/2004,257
01/06/2004,291
01/07/2004,140
01/08/2004,437
01/09/2004,368
01/10/2004,321
01/11/2004,392
01/12/2004,428
01/01/2005,236
01/02/2005,333
01/03/2005,555
01/04/2005,403
01/05/2005,456
01/06/2005,361
01/07/2005,361
01/08/2005,334
01/09/2005,722
01/10/2005,330
01/11/2005,422
01/12/2005,450
01/01/2006,442
01/02/2006,280
01/03/2006,311
01/04/2006,218
01/05/2006,382
01/06/2006,355
01/07/2006,144
01/08/2006,465
01/09/2006,443
01/10/2006,279
01/11/2006,286
01/12/2006,290
01/01/2007,585
01/02/2007,301
01/03/2007,304
01/04/2007,243
01/05/2007,459
01/06/2007,569
01/07/2007,256
01/08/2007,482
01/09/2007,193
01/10/2007,336
01/11/2007,371
01/12/2007,243
01/01/2008,253
01/02/2008,215
01/03/2008,287
01/04/2008,363
01/05/2008,276
01/06/2008,331
01/07/2008,230
01/08/2008,567
01/09/2008,345
01/10/2008,279
01/11/2008,210
01/12/2008,380
01/01/2009,350
01/02/2009,227
01/03/2009,201
01/04/2009,377
01/05/2009,479
01/06/2009,405
01/07/2009,213
01/08/2009,353
01/09/2009,471
01/10/2009,326
01/11/2009,346
01/12/2009,193
01/01/2010,564
01/02/2010,237
01/03/2010,287
01/04/2010,289
01/05/2010,268
01/06/2010,315
01/07/2010,359
01/08/2010,376
01/09/2010,221
01/10/2010,157
01/11/2010,694
01/12/2010,184
01/01/2011,391
01/02/2011,373
01/03/2011,230
01/04/2011,306
01/05/2011,351
01/06/2011,205
01/07/2011,85
01/08/2011,123
01/09/2011,223
01/10/2011,158
01/11/2011,208
01/12/2011,120
01/01/2012,119
01/02/2012,133
01/03/2012,125
01/04/2012,104
01/05/2012,110
01/06/2012,77
01/07/2012,304
01/08/2012,71
01/09/2012,56
01/10/2012,108
01/11/2012,76
01/12/2012,87
01/01/2013,178
01/02/2013,114
01/03/2013,74
01/04/2013,53
01/05/2013,118
01/06/2013,39
01/07/2013,137
01/08/2013,40
01/09/2013,63
01/10/2013,58
01/11/2013,102
01/12/2013,60
01/01/2014,73
01/02/2014,45
01/03/2014,61
01/04/2014,60
01/05/2014,55
01/06/2014,96
01/07/2014,62
01/08/2014,58
01/09/2014,93
01/10/2014,91
01/11/2014,90
01/12/2014,82
01/01/2015,78
01/02/2015,70
01/03/2015,75
01/04/2015,73
01/05/2015,84
01/06/2015,112
01/07/2015,82
01/08/2015,102
01/09/2015,87
01/10/2015,82
01/11/2015,85
01/12/2015,85
01/01/2016,74
01/02/2016,122
01/03/2016,78
01/04/2016,97
01/05/2016,201
01/06/2016,130
01/07/2016,90
01/08/2016,99
01/09/2016,95
01/10/2016,74
01/11/2016,90
01/12/2016,56
01/01/2017,98
01/02/2017,112
01/03/2017,105
01/04/2017,87
01/05/2017,89
01/06/2017,162
01/07/2017,65
01/08/2017,99
01/09/2017,77
01/10/2017,83
01/11/2017,73
01/12/2017,60
01/01/2018,106
01/02/2018,96
01/03/2018,91
01/04/2018,92
01/05/2018,93
01/06/2018,94
01/07/2018,76
01/08/2018,107
01/09/2018,97
01/10/2018,74
01/11/2018,76
01/12/2018,68
01/01/2019,106
01/02/2019,93
01/03/2019,76
01/04/2019,79
01/05/2019,79
01/06/2019,108
01/07/2019,80
01/08/2019,84
01/09/2019,42
01/10/2019,71
01/11/2019,134
01/12/2019,76
