FECHA,TARGET
01/01/2003,521
01/02/2003,449
01/03/2003,595
01/04/2003,511
01/05/2003,483
01/06/2003,577
01/07/2003,602
01/08/2003,530
01/09/2003,408
01/10/2003,405
01/11/2003,441
01/12/2003,353
01/01/2004,627
01/02/2004,625
01/03/2004,645
01/04/2004,572
01/05/2004,534
01/06/2004,571
01/07/2004,583
01/08/2004,549
01/09/2004,555
01/10/2004,401
01/11/2004,611
01/12/2004,498
01/01/2005,556
01/02/2005,854
01/03/2005,710
01/04/2005,600
01/05/2005,672
01/06/2005,766
01/07/2005,648
01/08/2005,692
01/09/2005,838
01/10/2005,538
01/11/2005,643
01/12/2005,542
01/01/2006,918
01/02/2006,605
01/03/2006,887
01/04/2006,685
01/05/2006,910
01/06/2006,639
01/07/2006,798
01/08/2006,706
01/09/2006,914
01/10/2006,1008
01/11/2006,916
01/12/2006,547
01/01/2007,899
01/02/2007,749
01/03/2007,851
01/04/2007,919
01/05/2007,923
01/06/2007,937
01/07/2007,904
01/08/2007,773
01/09/2007,752
01/10/2007,624
01/11/2007,725
01/12/2007,644
01/01/2008,774
01/02/2008,577
01/03/2008,572
01/04/2008,606
01/05/2008,512
01/06/2008,643
01/07/2008,646
01/08/2008,642
01/09/2008,390
01/10/2008,545
01/11/2008,386
01/12/2008,344
01/01/2009,267
01/02/2009,306
01/03/2009,330
01/04/2009,288
01/05/2009,528
01/06/2009,328
01/07/2009,365
01/08/2009,340
01/09/2009,433
01/10/2009,384
01/11/2009,398
01/12/2009,267
01/01/2010,385
01/02/2010,412
01/03/2010,349
01/04/2010,291
01/05/2010,559
01/06/2010,514
01/07/2010,522
01/08/2010,426
01/09/2010,374
01/10/2010,316
01/11/2010,379
01/12/2010,309
01/01/2011,339
01/02/2011,381
01/03/2011,236
01/04/2011,157
01/05/2011,277
01/06/2011,218
01/07/2011,202
01/08/2011,131
01/09/2011,161
01/10/2011,134
01/11/2011,150
01/12/2011,148
01/01/2012,183
01/02/2012,156
01/03/2012,122
01/04/2012,100
01/05/2012,224
01/06/2012,162
01/07/2012,131
01/08/2012,151
01/09/2012,92
01/10/2012,109
01/11/2012,87
01/12/2012,210
01/01/2013,133
01/02/2013,152
01/03/2013,118
01/04/2013,112
01/05/2013,93
01/06/2013,82
01/07/2013,101
01/08/2013,65
01/09/2013,82
01/10/2013,76
01/11/2013,105
01/12/2013,122
01/01/2014,80
01/02/2014,105
01/03/2014,107
01/04/2014,103
01/05/2014,85
01/06/2014,97
01/07/2014,124
01/08/2014,108
01/09/2014,128
01/10/2014,98
01/11/2014,94
01/12/2014,97
01/01/2015,107
01/02/2015,110
01/03/2015,110
01/04/2015,114
01/05/2015,97
01/06/2015,129
01/07/2015,159
01/08/2015,143
01/09/2015,148
01/10/2015,114
01/11/2015,110
01/12/2015,142
01/01/2016,162
01/02/2016,161
01/03/2016,151
01/04/2016,238
01/05/2016,178
01/06/2016,190
01/07/2016,134
01/08/2016,117
01/09/2016,163
01/10/2016,118
01/11/2016,137
01/12/2016,175
01/01/2017,145
01/02/2017,155
01/03/2017,204
01/04/2017,167
01/05/2017,187
01/06/2017,201
01/07/2017,291
01/08/2017,215
01/09/2017,242
01/10/2017,162
01/11/2017,125
01/12/2017,158
01/01/2018,222
01/02/2018,173
01/03/2018,169
01/04/2018,220
01/05/2018,191
01/06/2018,178
01/07/2018,174
01/08/2018,249
01/09/2018,177
01/10/2018,183
01/11/2018,168
01/12/2018,81
01/01/2019,438
01/02/2019,187
01/03/2019,247
01/04/2019,178
01/05/2019,222
01/06/2019,150
01/07/2019,306
01/08/2019,129
01/09/2019,147
01/10/2019,174
01/11/2019,210
01/12/2019,246
