FECHA,TARGET
01/01/2003,11079
01/02/2003,11403
01/03/2003,10143
01/04/2003,9797
01/05/2003,10544
01/06/2003,13145
01/07/2003,11493
01/08/2003,8621
01/09/2003,12854
01/10/2003,12641
01/11/2003,11668
01/12/2003,9582
01/01/2004,13707
01/02/2004,13865
01/03/2004,14537
01/04/2004,12440
01/05/2004,14249
01/06/2004,13303
01/07/2004,13407
01/08/2004,10701
01/09/2004,14233
01/10/2004,11410
01/11/2004,11648
01/12/2004,10166
01/01/2005,13826
01/02/2005,14088
01/03/2005,13348
01/04/2005,14708
01/05/2005,14306
01/06/2005,15727
01/07/2005,11455
01/08/2005,10372
01/09/2005,16099
01/10/2005,13396
01/11/2005,13817
01/12/2005,12942
01/01/2006,14355
01/02/2006,15453
01/03/2006,14795
01/04/2006,12439
01/05/2006,15482
01/06/2006,15422
01/07/2006,12297
01/08/2006,11018
01/09/2006,13714
01/10/2006,13459
01/11/2006,11367
01/12/2006,9763
01/01/2007,13809
01/02/2007,12398
01/03/2007,13575
01/04/2007,10843
01/05/2007,12833
01/06/2007,12089
01/07/2007,12091
01/08/2007,10110
01/09/2007,13230
01/10/2007,9750
01/11/2007,9699
01/12/2007,6917
01/01/2008,9241
01/02/2008,9269
01/03/2008,8954
01/04/2008,10532
01/05/2008,9167
01/06/2008,8258
01/07/2008,10606
01/08/2008,7803
01/09/2008,8911
01/10/2008,7755
01/11/2008,5241
01/12/2008,6021
01/01/2009,6031
01/02/2009,6085
01/03/2009,5764
01/04/2009,6642
01/05/2009,7542
01/06/2009,7493
01/07/2009,6994
01/08/2009,6075
01/09/2009,8586
01/10/2009,6848
01/11/2009,7071
01/12/2009,6378
01/01/2010,7077
01/02/2010,7927
01/03/2010,7399
01/04/2010,7299
01/05/2010,8613
01/06/2010,8286
01/07/2010,7074
01/08/2010,6946
01/09/2010,8128
01/10/2010,5763
01/11/2010,5263
01/12/2010,5313
01/01/2011,6137
01/02/2011,7666
01/03/2011,5927
01/04/2011,3584
01/05/2011,5238
01/06/2011,4324
01/07/2011,4457
01/08/2011,3483
01/09/2011,5149
01/10/2011,2742
01/11/2011,4170
01/12/2011,3878
01/01/2012,3724
01/02/2012,3776
01/03/2012,3293
01/04/2012,3134
01/05/2012,3351
01/06/2012,3725
01/07/2012,3029
01/08/2012,2946
01/09/2012,3472
01/10/2012,2545
01/11/2012,3278
01/12/2012,2729
01/01/2013,3783
01/02/2013,3962
01/03/2013,2296
01/04/2013,2692
01/05/2013,2980
01/06/2013,2499
01/07/2013,2182
01/08/2013,2090
01/09/2013,2491
01/10/2013,2573
01/11/2013,2383
01/12/2013,1912
01/01/2014,2586
01/02/2014,3378
01/03/2014,2738
01/04/2014,2323
01/05/2014,2689
01/06/2014,3280
01/07/2014,3155
01/08/2014,2534
01/09/2014,4051
01/10/2014,3137
01/11/2014,2690
01/12/2014,2883
01/01/2015,3236
01/02/2015,4226
01/03/2015,4038
01/04/2015,3292
01/05/2015,3470
01/06/2015,4426
01/07/2015,3522
01/08/2015,3372
01/09/2015,4924
01/10/2015,3039
01/11/2015,2845
01/12/2015,3004
01/01/2016,4102
01/02/2016,4641
01/03/2016,4065
01/04/2016,3705
01/05/2016,4401
01/06/2016,4110
01/07/2016,2926
01/08/2016,3128
01/09/2016,5288
01/10/2016,3938
01/11/2016,4657
01/12/2016,3610
01/01/2017,5099
01/02/2017,4585
01/03/2017,4784
01/04/2017,3706
01/05/2017,5016
01/06/2017,5699
01/07/2017,4481
01/08/2017,4391
01/09/2017,5698
01/10/2017,5136
01/11/2017,4668
01/12/2017,3726
01/01/2018,5116
01/02/2018,5657
01/03/2018,4808
01/04/2018,5996
01/05/2018,5281
01/06/2018,6226
01/07/2018,5526
01/08/2018,5140
01/09/2018,6798
01/10/2018,5884
01/11/2018,5705
01/12/2018,3969
01/01/2019,10552
01/02/2019,6373
01/03/2019,6102
01/04/2019,5380
01/05/2019,5816
01/06/2019,4928
01/07/2019,5130
01/08/2019,3208
01/09/2019,4708
01/10/2019,5205
01/11/2019,5501
01/12/2019,6787
