FECHA,TARGET
01/01/2003,3960
01/02/2003,4905
01/03/2003,4964
01/04/2003,3294
01/05/2003,4921
01/06/2003,3304
01/07/2003,3061
01/08/2003,3201
01/09/2003,3787
01/10/2003,3975
01/11/2003,2815
01/12/2003,1754
01/01/2004,2664
01/02/2004,3053
01/03/2004,3535
01/04/2004,2952
01/05/2004,2995
01/06/2004,3447
01/07/2004,4123
01/08/2004,3151
01/09/2004,3963
01/10/2004,3522
01/11/2004,4137
01/12/2004,3536
01/01/2005,3918
01/02/2005,3635
01/03/2005,3724
01/04/2005,4105
01/05/2005,3662
01/06/2005,4284
01/07/2005,3712
01/08/2005,4770
01/09/2005,4518
01/10/2005,4235
01/11/2005,4217
01/12/2005,4256
01/01/2006,5197
01/02/2006,5090
01/03/2006,5689
01/04/2006,4527
01/05/2006,5220
01/06/2006,6589
01/07/2006,4696
01/08/2006,4838
01/09/2006,4396
01/10/2006,4540
01/11/2006,5293
01/12/2006,3758
01/01/2007,5965
01/02/2007,4336
01/03/2007,5357
01/04/2007,4411
01/05/2007,5405
01/06/2007,4585
01/07/2007,4230
01/08/2007,4124
01/09/2007,4630
01/10/2007,4325
01/11/2007,4135
01/12/2007,3078
01/01/2008,4057
01/02/2008,3234
01/03/2008,2820
01/04/2008,3370
01/05/2008,2984
01/06/2008,2589
01/07/2008,3332
01/08/2008,2068
01/09/2008,2771
01/10/2008,2741
01/11/2008,2411
01/12/2008,1904
01/01/2009,1804
01/02/2009,1990
01/03/2009,1624
01/04/2009,1777
01/05/2009,2218
01/06/2009,2611
01/07/2009,2209
01/08/2009,2575
01/09/2009,2441
01/10/2009,1780
01/11/2009,2310
01/12/2009,1810
01/01/2010,1937
01/02/2010,2358
01/03/2010,2419
01/04/2010,1807
01/05/2010,1932
01/06/2010,2448
01/07/2010,2398
01/08/2010,2177
01/09/2010,2071
01/10/2010,1432
01/11/2010,1458
01/12/2010,1444
01/01/2011,2100
01/02/2011,1714
01/03/2011,1682
01/04/2011,1040
01/05/2011,1419
01/06/2011,1381
01/07/2011,967
01/08/2011,1255
01/09/2011,1069
01/10/2011,839
01/11/2011,1170
01/12/2011,970
01/01/2012,1153
01/02/2012,883
01/03/2012,896
01/04/2012,944
01/05/2012,1194
01/06/2012,1077
01/07/2012,1042
01/08/2012,1073
01/09/2012,1217
01/10/2012,939
01/11/2012,749
01/12/2012,611
01/01/2013,979
01/02/2013,1018
01/03/2013,563
01/04/2013,732
01/05/2013,967
01/06/2013,587
01/07/2013,580
01/08/2013,461
01/09/2013,684
01/10/2013,708
01/11/2013,580
01/12/2013,534
01/01/2014,855
01/02/2014,634
01/03/2014,739
01/04/2014,655
01/05/2014,760
01/06/2014,832
01/07/2014,781
01/08/2014,698
01/09/2014,1119
01/10/2014,773
01/11/2014,1219
01/12/2014,828
01/01/2015,1110
01/02/2015,1141
01/03/2015,868
01/04/2015,812
01/05/2015,878
01/06/2015,1105
01/07/2015,958
01/08/2015,990
01/09/2015,1199
01/10/2015,969
01/11/2015,881
01/12/2015,1292
01/01/2016,1187
01/02/2016,1227
01/03/2016,1255
01/04/2016,1165
01/05/2016,1252
01/06/2016,1444
01/07/2016,874
01/08/2016,919
01/09/2016,1228
01/10/2016,1161
01/11/2016,1266
01/12/2016,1112
01/01/2017,1227
01/02/2017,1247
01/03/2017,1259
01/04/2017,1231
01/05/2017,1391
01/06/2017,1501
01/07/2017,1416
01/08/2017,2124
01/09/2017,1487
01/10/2017,1420
01/11/2017,1386
01/12/2017,1098
01/01/2018,1599
01/02/2018,1591
01/03/2018,1288
01/04/2018,1572
01/05/2018,1588
01/06/2018,1605
01/07/2018,1428
01/08/2018,1742
01/09/2018,2073
01/10/2018,1513
01/11/2018,1577
01/12/2018,1092
01/01/2019,1731
01/02/2019,1261
01/03/2019,1564
01/04/2019,1778
01/05/2019,1671
01/06/2019,1498
01/07/2019,1766
01/08/2019,681
01/09/2019,1221
01/10/2019,1984
01/11/2019,1569
01/12/2019,1325
