FECHA,TARGET
01/01/2003,17
01/02/2003,8
01/03/2003,4
01/04/2003,4
01/05/2003,0
01/06/2003,82
01/07/2003,47
01/08/2003,24
01/09/2003,18
01/10/2003,45
01/11/2003,62
01/12/2003,21
01/01/2004,44
01/02/2004,42
01/03/2004,56
01/04/2004,118
01/05/2004,80
01/06/2004,438
01/07/2004,62
01/08/2004,29
01/09/2004,112
01/10/2004,140
01/11/2004,33
01/12/2004,30
01/01/2005,142
01/02/2005,102
01/03/2005,71
01/04/2005,95
01/05/2005,105
01/06/2005,109
01/07/2005,113
01/08/2005,84
01/09/2005,84
01/10/2005,60
01/11/2005,78
01/12/2005,87
01/01/2006,158
01/02/2006,78
01/03/2006,110
01/04/2006,68
01/05/2006,115
01/06/2006,112
01/07/2006,91
01/08/2006,89
01/09/2006,149
01/10/2006,167
01/11/2006,98
01/12/2006,73
01/01/2007,123
01/02/2007,160
01/03/2007,130
01/04/2007,91
01/05/2007,157
01/06/2007,107
01/07/2007,115
01/08/2007,93
01/09/2007,61
01/10/2007,192
01/11/2007,171
01/12/2007,51
01/01/2008,141
01/02/2008,40
01/03/2008,91
01/04/2008,113
01/05/2008,122
01/06/2008,77
01/07/2008,134
01/08/2008,58
01/09/2008,34
01/10/2008,97
01/11/2008,36
01/12/2008,58
01/01/2009,31
01/02/2009,24
01/03/2009,122
01/04/2009,42
01/05/2009,49
01/06/2009,86
01/07/2009,48
01/08/2009,35
01/09/2009,73
01/10/2009,60
01/11/2009,52
01/12/2009,37
01/01/2010,49
01/02/2010,120
01/03/2010,55
01/04/2010,55
01/05/2010,73
01/06/2010,74
01/07/2010,62
01/08/2010,53
01/09/2010,139
01/10/2010,50
01/11/2010,71
01/12/2010,79
01/01/2011,61
01/02/2011,57
01/03/2011,49
01/04/2011,48
01/05/2011,36
01/06/2011,70
01/07/2011,47
01/08/2011,24
01/09/2011,30
01/10/2011,109
01/11/2011,38
01/12/2011,15
01/01/2012,33
01/02/2012,31
01/03/2012,54
01/04/2012,103
01/05/2012,164
01/06/2012,22
01/07/2012,32
01/08/2012,29
01/09/2012,47
01/10/2012,22
01/11/2012,23
01/12/2012,29
01/01/2013,47
01/02/2013,19
01/03/2013,10
01/04/2013,32
01/05/2013,28
01/06/2013,10
01/07/2013,23
01/08/2013,25
01/09/2013,10
01/10/2013,20
01/11/2013,19
01/12/2013,16
01/01/2014,33
01/02/2014,18
01/03/2014,23
01/04/2014,33
01/05/2014,13
01/06/2014,25
01/07/2014,20
01/08/2014,66
01/09/2014,58
01/10/2014,40
01/11/2014,24
01/12/2014,39
01/01/2015,47
01/02/2015,34
01/03/2015,40
01/04/2015,103
01/05/2015,32
01/06/2015,76
01/07/2015,29
01/08/2015,26
01/09/2015,52
01/10/2015,23
01/11/2015,34
01/12/2015,32
01/01/2016,32
01/02/2016,25
01/03/2016,32
01/04/2016,48
01/05/2016,27
01/06/2016,61
01/07/2016,37
01/08/2016,25
01/09/2016,24
01/10/2016,73
01/11/2016,44
01/12/2016,30
01/01/2017,32
01/02/2017,29
01/03/2017,31
01/04/2017,28
01/05/2017,45
01/06/2017,42
01/07/2017,39
01/08/2017,31
01/09/2017,17
01/10/2017,48
01/11/2017,26
01/12/2017,32
01/01/2018,35
01/02/2018,62
01/03/2018,47
01/04/2018,50
01/05/2018,44
01/06/2018,41
01/07/2018,27
01/08/2018,36
01/09/2018,49
01/10/2018,43
01/11/2018,27
01/12/2018,30
01/01/2019,47
01/02/2019,24
01/03/2019,19
01/04/2019,47
01/05/2019,42
01/06/2019,19
01/07/2019,59
01/08/2019,20
01/09/2019,22
01/10/2019,47
01/11/2019,14
01/12/2019,19
