FECHA,TARGET
01/01/2003,3118
01/02/2003,3108
01/03/2003,2911
01/04/2003,2668
01/05/2003,3226
01/06/2003,2950
01/07/2003,3119
01/08/2003,2356
01/09/2003,2985
01/10/2003,3715
01/11/2003,2878
01/12/2003,2692
01/01/2004,3857
01/02/2004,4487
01/03/2004,3551
01/04/2004,3338
01/05/2004,3861
01/06/2004,3377
01/07/2004,3488
01/08/2004,2925
01/09/2004,4080
01/10/2004,3163
01/11/2004,3352
01/12/2004,2844
01/01/2005,4449
01/02/2005,3873
01/03/2005,3921
01/04/2005,4760
01/05/2005,4432
01/06/2005,4823
01/07/2005,3862
01/08/2005,4163
01/09/2005,4539
01/10/2005,4219
01/11/2005,3923
01/12/2005,3638
01/01/2006,4804
01/02/2006,4793
01/03/2006,4995
01/04/2006,3759
01/05/2006,4856
01/06/2006,4913
01/07/2006,3881
01/08/2006,4213
01/09/2006,5416
01/10/2006,4947
01/11/2006,4445
01/12/2006,3837
01/01/2007,4768
01/02/2007,4612
01/03/2007,3968
01/04/2007,4708
01/05/2007,5012
01/06/2007,4525
01/07/2007,3917
01/08/2007,2994
01/09/2007,4814
01/10/2007,4013
01/11/2007,3893
01/12/2007,4466
01/01/2008,6865
01/02/2008,3609
01/03/2008,3030
01/04/2008,5484
01/05/2008,2934
01/06/2008,2500
01/07/2008,2652
01/08/2008,1598
01/09/2008,2977
01/10/2008,2955
01/11/2008,2208
01/12/2008,1866
01/01/2009,3421
01/02/2009,1813
01/03/2009,1867
01/04/2009,1747
01/05/2009,2046
01/06/2009,2516
01/07/2009,2057
01/08/2009,1753
01/09/2009,2470
01/10/2009,1729
01/11/2009,1787
01/12/2009,1826
01/01/2010,1967
01/02/2010,1834
01/03/2010,1618
01/04/2010,1598
01/05/2010,1841
01/06/2010,1981
01/07/2010,1931
01/08/2010,1830
01/09/2010,2052
01/10/2010,1485
01/11/2010,1336
01/12/2010,1179
01/01/2011,1395
01/02/2011,1728
01/03/2011,1576
01/04/2011,1027
01/05/2011,1343
01/06/2011,1066
01/07/2011,1049
01/08/2011,834
01/09/2011,1134
01/10/2011,709
01/11/2011,701
01/12/2011,758
01/01/2012,915
01/02/2012,848
01/03/2012,762
01/04/2012,679
01/05/2012,871
01/06/2012,852
01/07/2012,762
01/08/2012,688
01/09/2012,592
01/10/2012,467
01/11/2012,485
01/12/2012,441
01/01/2013,684
01/02/2013,609
01/03/2013,442
01/04/2013,547
01/05/2013,523
01/06/2013,426
01/07/2013,443
01/08/2013,312
01/09/2013,396
01/10/2013,382
01/11/2013,349
01/12/2013,305
01/01/2014,468
01/02/2014,457
01/03/2014,426
01/04/2014,385
01/05/2014,540
01/06/2014,469
01/07/2014,470
01/08/2014,438
01/09/2014,537
01/10/2014,497
01/11/2014,420
01/12/2014,451
01/01/2015,610
01/02/2015,570
01/03/2015,519
01/04/2015,535
01/05/2015,614
01/06/2015,625
01/07/2015,636
01/08/2015,505
01/09/2015,652
01/10/2015,641
01/11/2015,494
01/12/2015,534
01/01/2016,585
01/02/2016,728
01/03/2016,512
01/04/2016,701
01/05/2016,797
01/06/2016,598
01/07/2016,552
01/08/2016,608
01/09/2016,702
01/10/2016,553
01/11/2016,670
01/12/2016,487
01/01/2017,701
01/02/2017,713
01/03/2017,655
01/04/2017,505
01/05/2017,773
01/06/2017,725
01/07/2017,650
01/08/2017,677
01/09/2017,787
01/10/2017,599
01/11/2017,604
01/12/2017,489
01/01/2018,793
01/02/2018,786
01/03/2018,559
01/04/2018,771
01/05/2018,696
01/06/2018,736
01/07/2018,735
01/08/2018,713
01/09/2018,866
01/10/2018,709
01/11/2018,605
01/12/2018,450
01/01/2019,779
01/02/2019,762
01/03/2019,733
01/04/2019,572
01/05/2019,846
01/06/2019,824
01/07/2019,907
01/08/2019,569
01/09/2019,591
01/10/2019,908
01/11/2019,778
01/12/2019,665
