FECHA,TARGET
01/01/2003,876
01/02/2003,767
01/03/2003,797
01/04/2003,711
01/05/2003,827
01/06/2003,800
01/07/2003,689
01/08/2003,771
01/09/2003,747
01/10/2003,785
01/11/2003,744
01/12/2003,700
01/01/2004,942
01/02/2004,893
01/03/2004,1112
01/04/2004,870
01/05/2004,984
01/06/2004,1362
01/07/2004,1196
01/08/2004,722
01/09/2004,976
01/10/2004,1115
01/11/2004,809
01/12/2004,667
01/01/2005,1393
01/02/2005,964
01/03/2005,961
01/04/2005,1038
01/05/2005,1096
01/06/2005,1138
01/07/2005,804
01/08/2005,911
01/09/2005,1180
01/10/2005,926
01/11/2005,1243
01/12/2005,960
01/01/2006,1298
01/02/2006,1128
01/03/2006,1251
01/04/2006,910
01/05/2006,1369
01/06/2006,1144
01/07/2006,858
01/08/2006,820
01/09/2006,1083
01/10/2006,1320
01/11/2006,1182
01/12/2006,929
01/01/2007,1349
01/02/2007,1235
01/03/2007,1256
01/04/2007,878
01/05/2007,1325
01/06/2007,1060
01/07/2007,920
01/08/2007,877
01/09/2007,962
01/10/2007,1014
01/11/2007,695
01/12/2007,675
01/01/2008,888
01/02/2008,689
01/03/2008,633
01/04/2008,994
01/05/2008,762
01/06/2008,676
01/07/2008,629
01/08/2008,689
01/09/2008,770
01/10/2008,694
01/11/2008,586
01/12/2008,593
01/01/2009,526
01/02/2009,571
01/03/2009,500
01/04/2009,509
01/05/2009,755
01/06/2009,761
01/07/2009,649
01/08/2009,653
01/09/2009,717
01/10/2009,525
01/11/2009,696
01/12/2009,495
01/01/2010,636
01/02/2010,701
01/03/2010,739
01/04/2010,592
01/05/2010,621
01/06/2010,627
01/07/2010,605
01/08/2010,702
01/09/2010,535
01/10/2010,475
01/11/2010,494
01/12/2010,349
01/01/2011,584
01/02/2011,558
01/03/2011,567
01/04/2011,308
01/05/2011,410
01/06/2011,514
01/07/2011,366
01/08/2011,403
01/09/2011,511
01/10/2011,425
01/11/2011,535
01/12/2011,339
01/01/2012,630
01/02/2012,494
01/03/2012,368
01/04/2012,294
01/05/2012,349
01/06/2012,288
01/07/2012,356
01/08/2012,310
01/09/2012,279
01/10/2012,252
01/11/2012,238
01/12/2012,237
01/01/2013,388
01/02/2013,399
01/03/2013,305
01/04/2013,226
01/05/2013,270
01/06/2013,185
01/07/2013,188
01/08/2013,182
01/09/2013,239
01/10/2013,366
01/11/2013,216
01/12/2013,206
01/01/2014,455
01/02/2014,345
01/03/2014,247
01/04/2014,379
01/05/2014,261
01/06/2014,305
01/07/2014,273
01/08/2014,203
01/09/2014,375
01/10/2014,380
01/11/2014,236
01/12/2014,251
01/01/2015,327
01/02/2015,276
01/03/2015,407
01/04/2015,315
01/05/2015,344
01/06/2015,328
01/07/2015,329
01/08/2015,277
01/09/2015,350
01/10/2015,238
01/11/2015,265
01/12/2015,313
01/01/2016,364
01/02/2016,349
01/03/2016,294
01/04/2016,348
01/05/2016,475
01/06/2016,387
01/07/2016,297
01/08/2016,312
01/09/2016,367
01/10/2016,251
01/11/2016,306
01/12/2016,240
01/01/2017,396
01/02/2017,306
01/03/2017,382
01/04/2017,281
01/05/2017,376
01/06/2017,396
01/07/2017,306
01/08/2017,435
01/09/2017,321
01/10/2017,307
01/11/2017,293
01/12/2017,270
01/01/2018,418
01/02/2018,360
01/03/2018,348
01/04/2018,346
01/05/2018,452
01/06/2018,440
01/07/2018,373
01/08/2018,463
01/09/2018,405
01/10/2018,487
01/11/2018,367
01/12/2018,280
01/01/2019,400
01/02/2019,322
01/03/2019,351
01/04/2019,510
01/05/2019,401
01/06/2019,383
01/07/2019,333
01/08/2019,218
01/09/2019,328
01/10/2019,409
01/11/2019,314
01/12/2019,327
