FECHA,TARGET
01/01/2003,278
01/02/2003,192
01/03/2003,238
01/04/2003,186
01/05/2003,206
01/06/2003,213
01/07/2003,279
01/08/2003,160
01/09/2003,162
01/10/2003,255
01/11/2003,180
01/12/2003,238
01/01/2004,204
01/02/2004,281
01/03/2004,242
01/04/2004,354
01/05/2004,366
01/06/2004,361
01/07/2004,273
01/08/2004,278
01/09/2004,320
01/10/2004,249
01/11/2004,358
01/12/2004,241
01/01/2005,317
01/02/2005,196
01/03/2005,335
01/04/2005,348
01/05/2005,286
01/06/2005,504
01/07/2005,239
01/08/2005,319
01/09/2005,283
01/10/2005,260
01/11/2005,348
01/12/2005,274
01/01/2006,342
01/02/2006,283
01/03/2006,314
01/04/2006,276
01/05/2006,302
01/06/2006,269
01/07/2006,313
01/08/2006,212
01/09/2006,346
01/10/2006,393
01/11/2006,296
01/12/2006,358
01/01/2007,280
01/02/2007,288
01/03/2007,447
01/04/2007,191
01/05/2007,291
01/06/2007,390
01/07/2007,264
01/08/2007,267
01/09/2007,246
01/10/2007,278
01/11/2007,308
01/12/2007,189
01/01/2008,386
01/02/2008,234
01/03/2008,319
01/04/2008,265
01/05/2008,300
01/06/2008,247
01/07/2008,200
01/08/2008,212
01/09/2008,255
01/10/2008,172
01/11/2008,277
01/12/2008,246
01/01/2009,165
01/02/2009,193
01/03/2009,224
01/04/2009,130
01/05/2009,170
01/06/2009,217
01/07/2009,232
01/08/2009,140
01/09/2009,221
01/10/2009,117
01/11/2009,185
01/12/2009,189
01/01/2010,232
01/02/2010,118
01/03/2010,223
01/04/2010,173
01/05/2010,229
01/06/2010,388
01/07/2010,243
01/08/2010,283
01/09/2010,323
01/10/2010,139
01/11/2010,189
01/12/2010,211
01/01/2011,201
01/02/2011,192
01/03/2011,193
01/04/2011,122
01/05/2011,91
01/06/2011,134
01/07/2011,97
01/08/2011,78
01/09/2011,79
01/10/2011,99
01/11/2011,70
01/12/2011,92
01/01/2012,92
01/02/2012,99
01/03/2012,82
01/04/2012,68
01/05/2012,75
01/06/2012,86
01/07/2012,86
01/08/2012,63
01/09/2012,52
01/10/2012,67
01/11/2012,80
01/12/2012,60
01/01/2013,98
01/02/2013,90
01/03/2013,41
01/04/2013,52
01/05/2013,85
01/06/2013,34
01/07/2013,52
01/08/2013,46
01/09/2013,41
01/10/2013,60
01/11/2013,68
01/12/2013,32
01/01/2014,56
01/02/2014,52
01/03/2014,78
01/04/2014,56
01/05/2014,45
01/06/2014,40
01/07/2014,42
01/08/2014,96
01/09/2014,37
01/10/2014,52
01/11/2014,57
01/12/2014,53
01/01/2015,73
01/02/2015,44
01/03/2015,85
01/04/2015,46
01/05/2015,63
01/06/2015,100
01/07/2015,93
01/08/2015,83
01/09/2015,63
01/10/2015,59
01/11/2015,48
01/12/2015,76
01/01/2016,52
01/02/2016,70
01/03/2016,77
01/04/2016,71
01/05/2016,106
01/06/2016,80
01/07/2016,77
01/08/2016,67
01/09/2016,63
01/10/2016,69
01/11/2016,71
01/12/2016,83
01/01/2017,82
01/02/2017,68
01/03/2017,77
01/04/2017,57
01/05/2017,93
01/06/2017,85
01/07/2017,58
01/08/2017,105
01/09/2017,78
01/10/2017,72
01/11/2017,56
01/12/2017,70
01/01/2018,83
01/02/2018,69
01/03/2018,66
01/04/2018,80
01/05/2018,76
01/06/2018,100
01/07/2018,76
01/08/2018,69
01/09/2018,83
01/10/2018,100
01/11/2018,63
01/12/2018,37
01/01/2019,86
01/02/2019,76
01/03/2019,75
01/04/2019,80
01/05/2019,102
01/06/2019,92
01/07/2019,71
01/08/2019,76
01/09/2019,32
01/10/2019,71
01/11/2019,77
01/12/2019,69
