FECHA,TARGET
01/01/2003,2116
01/02/2003,2440
01/03/2003,2070
01/04/2003,1574
01/05/2003,1809
01/06/2003,1299
01/07/2003,1715
01/08/2003,1266
01/09/2003,1767
01/10/2003,1851
01/11/2003,1507
01/12/2003,1403
01/01/2004,2109
01/02/2004,1946
01/03/2004,1740
01/04/2004,1603
01/05/2004,1992
01/06/2004,1751
01/07/2004,1959
01/08/2004,1799
01/09/2004,1635
01/10/2004,1633
01/11/2004,1705
01/12/2004,1364
01/01/2005,1872
01/02/2005,1552
01/03/2005,1633
01/04/2005,2147
01/05/2005,1674
01/06/2005,1695
01/07/2005,1587
01/08/2005,1485
01/09/2005,1753
01/10/2005,1418
01/11/2005,1539
01/12/2005,1687
01/01/2006,1881
01/02/2006,2112
01/03/2006,1957
01/04/2006,1785
01/05/2006,1959
01/06/2006,1745
01/07/2006,1881
01/08/2006,1637
01/09/2006,1902
01/10/2006,1578
01/11/2006,2115
01/12/2006,1382
01/01/2007,2326
01/02/2007,2185
01/03/2007,1692
01/04/2007,1686
01/05/2007,1904
01/06/2007,2074
01/07/2007,1608
01/08/2007,1930
01/09/2007,1721
01/10/2007,1837
01/11/2007,2098
01/12/2007,1103
01/01/2008,1418
01/02/2008,1588
01/03/2008,1354
01/04/2008,1770
01/05/2008,1474
01/06/2008,1239
01/07/2008,1352
01/08/2008,1343
01/09/2008,1391
01/10/2008,1512
01/11/2008,1081
01/12/2008,1273
01/01/2009,1365
01/02/2009,1279
01/03/2009,1206
01/04/2009,915
01/05/2009,1185
01/06/2009,913
01/07/2009,1225
01/08/2009,1156
01/09/2009,1541
01/10/2009,896
01/11/2009,1213
01/12/2009,916
01/01/2010,831
01/02/2010,1338
01/03/2010,1437
01/04/2010,1190
01/05/2010,1249
01/06/2010,1277
01/07/2010,1262
01/08/2010,1075
01/09/2010,1301
01/10/2010,706
01/11/2010,1009
01/12/2010,1094
01/01/2011,959
01/02/2011,1222
01/03/2011,1019
01/04/2011,673
01/05/2011,677
01/06/2011,602
01/07/2011,478
01/08/2011,450
01/09/2011,533
01/10/2011,408
01/11/2011,464
01/12/2011,422
01/01/2012,533
01/02/2012,386
01/03/2012,430
01/04/2012,342
01/05/2012,493
01/06/2012,345
01/07/2012,480
01/08/2012,372
01/09/2012,387
01/10/2012,540
01/11/2012,323
01/12/2012,488
01/01/2013,451
01/02/2013,493
01/03/2013,279
01/04/2013,347
01/05/2013,313
01/06/2013,194
01/07/2013,161
01/08/2013,271
01/09/2013,216
01/10/2013,374
01/11/2013,286
01/12/2013,302
01/01/2014,380
01/02/2014,263
01/03/2014,280
01/04/2014,293
01/05/2014,381
01/06/2014,280
01/07/2014,346
01/08/2014,303
01/09/2014,323
01/10/2014,349
01/11/2014,298
01/12/2014,269
01/01/2015,378
01/02/2015,326
01/03/2015,327
01/04/2015,435
01/05/2015,367
01/06/2015,333
01/07/2015,369
01/08/2015,392
01/09/2015,385
01/10/2015,308
01/11/2015,312
01/12/2015,382
01/01/2016,396
01/02/2016,411
01/03/2016,310
01/04/2016,505
01/05/2016,453
01/06/2016,341
01/07/2016,110
01/08/2016,363
01/09/2016,452
01/10/2016,509
01/11/2016,660
01/12/2016,439
01/01/2017,539
01/02/2017,482
01/03/2017,514
01/04/2017,369
01/05/2017,538
01/06/2017,570
01/07/2017,477
01/08/2017,482
01/09/2017,487
01/10/2017,452
01/11/2017,462
01/12/2017,361
01/01/2018,552
01/02/2018,468
01/03/2018,505
01/04/2018,563
01/05/2018,527
01/06/2018,495
01/07/2018,570
01/08/2018,538
01/09/2018,586
01/10/2018,508
01/11/2018,522
01/12/2018,364
01/01/2019,587
01/02/2019,728
01/03/2019,497
01/04/2019,556
01/05/2019,669
01/06/2019,489
01/07/2019,671
01/08/2019,383
01/09/2019,294
01/10/2019,440
01/11/2019,445
01/12/2019,478
