FECHA,TARGET
01/01/2003,192
01/02/2003,250
01/03/2003,371
01/04/2003,110
01/05/2003,286
01/06/2003,221
01/07/2003,257
01/08/2003,228
01/09/2003,289
01/10/2003,286
01/11/2003,275
01/12/2003,279
01/01/2004,292
01/02/2004,360
01/03/2004,230
01/04/2004,279
01/05/2004,252
01/06/2004,264
01/07/2004,161
01/08/2004,218
01/09/2004,265
01/10/2004,329
01/11/2004,220
01/12/2004,270
01/01/2005,144
01/02/2005,185
01/03/2005,407
01/04/2005,283
01/05/2005,213
01/06/2005,230
01/07/2005,195
01/08/2005,367
01/09/2005,294
01/10/2005,283
01/11/2005,263
01/12/2005,210
01/01/2006,287
01/02/2006,271
01/03/2006,431
01/04/2006,261
01/05/2006,279
01/06/2006,404
01/07/2006,305
01/08/2006,193
01/09/2006,427
01/10/2006,255
01/11/2006,275
01/12/2006,172
01/01/2007,202
01/02/2007,252
01/03/2007,429
01/04/2007,256
01/05/2007,374
01/06/2007,304
01/07/2007,338
01/08/2007,238
01/09/2007,349
01/10/2007,308
01/11/2007,236
01/12/2007,145
01/01/2008,151
01/02/2008,227
01/03/2008,186
01/04/2008,238
01/05/2008,164
01/06/2008,138
01/07/2008,142
01/08/2008,201
01/09/2008,215
01/10/2008,189
01/11/2008,136
01/12/2008,225
01/01/2009,100
01/02/2009,119
01/03/2009,103
01/04/2009,127
01/05/2009,135
01/06/2009,99
01/07/2009,278
01/08/2009,131
01/09/2009,115
01/10/2009,269
01/11/2009,177
01/12/2009,118
01/01/2010,137
01/02/2010,135
01/03/2010,138
01/04/2010,151
01/05/2010,218
01/06/2010,158
01/07/2010,212
01/08/2010,200
01/09/2010,131
01/10/2010,78
01/11/2010,212
01/12/2010,162
01/01/2011,137
01/02/2011,180
01/03/2011,103
01/04/2011,89
01/05/2011,146
01/06/2011,71
01/07/2011,54
01/08/2011,101
01/09/2011,72
01/10/2011,54
01/11/2011,72
01/12/2011,58
01/01/2012,59
01/02/2012,66
01/03/2012,51
01/04/2012,57
01/05/2012,108
01/06/2012,75
01/07/2012,36
01/08/2012,41
01/09/2012,51
01/10/2012,157
01/11/2012,92
01/12/2012,69
01/01/2013,73
01/02/2013,88
01/03/2013,45
01/04/2013,18
01/05/2013,36
01/06/2013,24
01/07/2013,72
01/08/2013,39
01/09/2013,80
01/10/2013,47
01/11/2013,34
01/12/2013,40
01/01/2014,37
01/02/2014,42
01/03/2014,51
01/04/2014,41
01/05/2014,40
01/06/2014,98
01/07/2014,43
01/08/2014,106
01/09/2014,39
01/10/2014,41
01/11/2014,41
01/12/2014,43
01/01/2015,58
01/02/2015,56
01/03/2015,70
01/04/2015,52
01/05/2015,79
01/06/2015,45
01/07/2015,58
01/08/2015,57
01/09/2015,66
01/10/2015,51
01/11/2015,50
01/12/2015,50
01/01/2016,63
01/02/2016,39
01/03/2016,50
01/04/2016,67
01/05/2016,72
01/06/2016,70
01/07/2016,50
01/08/2016,70
01/09/2016,53
01/10/2016,47
01/11/2016,69
01/12/2016,48
01/01/2017,58
01/02/2017,61
01/03/2017,56
01/04/2017,66
01/05/2017,87
01/06/2017,63
01/07/2017,60
01/08/2017,53
01/09/2017,44
01/10/2017,44
01/11/2017,65
01/12/2017,50
01/01/2018,61
01/02/2018,58
01/03/2018,84
01/04/2018,59
01/05/2018,64
01/06/2018,67
01/07/2018,64
01/08/2018,59
01/09/2018,62
01/10/2018,51
01/11/2018,64
01/12/2018,35
01/01/2019,79
01/02/2019,70
01/03/2019,71
01/04/2019,60
01/05/2019,87
01/06/2019,57
01/07/2019,106
01/08/2019,31
01/09/2019,55
01/10/2019,81
01/11/2019,71
01/12/2019,69
