FECHA,TARGET
01/01/2003,979
01/02/2003,894
01/03/2003,1233
01/04/2003,1192
01/05/2003,1379
01/06/2003,1119
01/07/2003,1113
01/08/2003,1106
01/09/2003,1194
01/10/2003,1356
01/11/2003,1205
01/12/2003,1329
01/01/2004,1548
01/02/2004,1503
01/03/2004,2153
01/04/2004,1239
01/05/2004,1484
01/06/2004,1681
01/07/2004,1461
01/08/2004,1261
01/09/2004,1167
01/10/2004,1527
01/11/2004,1376
01/12/2004,1430
01/01/2005,1391
01/02/2005,1341
01/03/2005,1299
01/04/2005,1388
01/05/2005,1422
01/06/2005,1468
01/07/2005,1291
01/08/2005,1291
01/09/2005,2010
01/10/2005,1303
01/11/2005,1485
01/12/2005,1422
01/01/2006,1785
01/02/2006,1224
01/03/2006,1431
01/04/2006,1259
01/05/2006,1527
01/06/2006,1509
01/07/2006,1266
01/08/2006,1363
01/09/2006,1432
01/10/2006,1247
01/11/2006,1719
01/12/2006,1335
01/01/2007,1522
01/02/2007,1448
01/03/2007,1482
01/04/2007,1325
01/05/2007,1571
01/06/2007,1796
01/07/2007,1515
01/08/2007,1425
01/09/2007,1392
01/10/2007,1575
01/11/2007,1173
01/12/2007,1276
01/01/2008,1375
01/02/2008,1273
01/03/2008,1166
01/04/2008,1317
01/05/2008,1338
01/06/2008,1326
01/07/2008,1151
01/08/2008,810
01/09/2008,1102
01/10/2008,1178
01/11/2008,999
01/12/2008,729
01/01/2009,1185
01/02/2009,900
01/03/2009,1270
01/04/2009,996
01/05/2009,1031
01/06/2009,1098
01/07/2009,1111
01/08/2009,1078
01/09/2009,1031
01/10/2009,964
01/11/2009,944
01/12/2009,823
01/01/2010,1195
01/02/2010,857
01/03/2010,996
01/04/2010,943
01/05/2010,946
01/06/2010,1001
01/07/2010,1031
01/08/2010,720
01/09/2010,845
01/10/2010,819
01/11/2010,915
01/12/2010,1084
01/01/2011,1220
01/02/2011,773
01/03/2011,889
01/04/2011,754
01/05/2011,659
01/06/2011,520
01/07/2011,569
01/08/2011,533
01/09/2011,502
01/10/2011,513
01/11/2011,644
01/12/2011,486
01/01/2012,405
01/02/2012,355
01/03/2012,354
01/04/2012,301
01/05/2012,439
01/06/2012,305
01/07/2012,344
01/08/2012,419
01/09/2012,349
01/10/2012,301
01/11/2012,338
01/12/2012,334
01/01/2013,360
01/02/2013,388
01/03/2013,212
01/04/2013,198
01/05/2013,217
01/06/2013,127
01/07/2013,201
01/08/2013,216
01/09/2013,216
01/10/2013,431
01/11/2013,393
01/12/2013,240
01/01/2014,272
01/02/2014,188
01/03/2014,204
01/04/2014,195
01/05/2014,240
01/06/2014,234
01/07/2014,228
01/08/2014,303
01/09/2014,239
01/10/2014,275
01/11/2014,291
01/12/2014,197
01/01/2015,252
01/02/2015,274
01/03/2015,298
01/04/2015,250
01/05/2015,250
01/06/2015,306
01/07/2015,290
01/08/2015,283
01/09/2015,275
01/10/2015,272
01/11/2015,277
01/12/2015,281
01/01/2016,266
01/02/2016,300
01/03/2016,293
01/04/2016,278
01/05/2016,311
01/06/2016,326
01/07/2016,213
01/08/2016,265
01/09/2016,327
01/10/2016,321
01/11/2016,384
01/12/2016,312
01/01/2017,376
01/02/2017,372
01/03/2017,374
01/04/2017,251
01/05/2017,382
01/06/2017,326
01/07/2017,314
01/08/2017,347
01/09/2017,343
01/10/2017,334
01/11/2017,328
01/12/2017,294
01/01/2018,389
01/02/2018,334
01/03/2018,321
01/04/2018,308
01/05/2018,451
01/06/2018,334
01/07/2018,381
01/08/2018,319
01/09/2018,368
01/10/2018,358
01/11/2018,324
01/12/2018,276
01/01/2019,343
01/02/2019,388
01/03/2019,334
01/04/2019,311
01/05/2019,391
01/06/2019,342
01/07/2019,397
01/08/2019,326
01/09/2019,227
01/10/2019,309
01/11/2019,281
01/12/2019,292
