FECHA,TARGET
01/01/2003,581
01/02/2003,574
01/03/2003,583
01/04/2003,424
01/05/2003,562
01/06/2003,422
01/07/2003,558
01/08/2003,318
01/09/2003,458
01/10/2003,463
01/11/2003,414
01/12/2003,510
01/01/2004,611
01/02/2004,565
01/03/2004,593
01/04/2004,468
01/05/2004,512
01/06/2004,562
01/07/2004,373
01/08/2004,464
01/09/2004,377
01/10/2004,371
01/11/2004,338
01/12/2004,389
01/01/2005,515
01/02/2005,400
01/03/2005,387
01/04/2005,463
01/05/2005,466
01/06/2005,501
01/07/2005,379
01/08/2005,551
01/09/2005,461
01/10/2005,417
01/11/2005,369
01/12/2005,544
01/01/2006,555
01/02/2006,619
01/03/2006,756
01/04/2006,836
01/05/2006,838
01/06/2006,884
01/07/2006,502
01/08/2006,578
01/09/2006,578
01/10/2006,576
01/11/2006,504
01/12/2006,445
01/01/2007,720
01/02/2007,486
01/03/2007,488
01/04/2007,502
01/05/2007,815
01/06/2007,599
01/07/2007,504
01/08/2007,387
01/09/2007,609
01/10/2007,514
01/11/2007,564
01/12/2007,319
01/01/2008,548
01/02/2008,627
01/03/2008,746
01/04/2008,475
01/05/2008,437
01/06/2008,431
01/07/2008,469
01/08/2008,327
01/09/2008,475
01/10/2008,442
01/11/2008,342
01/12/2008,487
01/01/2009,485
01/02/2009,361
01/03/2009,359
01/04/2009,301
01/05/2009,383
01/06/2009,247
01/07/2009,333
01/08/2009,320
01/09/2009,362
01/10/2009,472
01/11/2009,283
01/12/2009,292
01/01/2010,404
01/02/2010,339
01/03/2010,278
01/04/2010,292
01/05/2010,410
01/06/2010,507
01/07/2010,415
01/08/2010,426
01/09/2010,317
01/10/2010,263
01/11/2010,353
01/12/2010,230
01/01/2011,307
01/02/2011,369
01/03/2011,263
01/04/2011,180
01/05/2011,247
01/06/2011,429
01/07/2011,189
01/08/2011,196
01/09/2011,327
01/10/2011,184
01/11/2011,258
01/12/2011,378
01/01/2012,205
01/02/2012,269
01/03/2012,164
01/04/2012,126
01/05/2012,152
01/06/2012,174
01/07/2012,224
01/08/2012,108
01/09/2012,171
01/10/2012,109
01/11/2012,104
01/12/2012,119
01/01/2013,145
01/02/2013,188
01/03/2013,124
01/04/2013,106
01/05/2013,121
01/06/2013,84
01/07/2013,77
01/08/2013,51
01/09/2013,84
01/10/2013,64
01/11/2013,81
01/12/2013,96
01/01/2014,133
01/02/2014,116
01/03/2014,177
01/04/2014,89
01/05/2014,106
01/06/2014,89
01/07/2014,114
01/08/2014,69
01/09/2014,90
01/10/2014,108
01/11/2014,100
01/12/2014,139
01/01/2015,103
01/02/2015,130
01/03/2015,127
01/04/2015,103
01/05/2015,113
01/06/2015,125
01/07/2015,122
01/08/2015,110
01/09/2015,141
01/10/2015,95
01/11/2015,134
01/12/2015,107
01/01/2016,158
01/02/2016,140
01/03/2016,89
01/04/2016,135
01/05/2016,176
01/06/2016,103
01/07/2016,63
01/08/2016,98
01/09/2016,119
01/10/2016,281
01/11/2016,143
01/12/2016,121
01/01/2017,131
01/02/2017,144
01/03/2017,141
01/04/2017,124
01/05/2017,148
01/06/2017,129
01/07/2017,139
01/08/2017,118
01/09/2017,125
01/10/2017,146
01/11/2017,125
01/12/2017,121
01/01/2018,165
01/02/2018,138
01/03/2018,124
01/04/2018,136
01/05/2018,147
01/06/2018,118
01/07/2018,135
01/08/2018,131
01/09/2018,127
01/10/2018,174
01/11/2018,134
01/12/2018,120
01/01/2019,131
01/02/2019,134
01/03/2019,158
01/04/2019,139
01/05/2019,226
01/06/2019,165
01/07/2019,200
01/08/2019,114
01/09/2019,46
01/10/2019,115
01/11/2019,141
01/12/2019,117
