FECHA,TARGET
01/01/2003,4931
01/02/2003,4726
01/03/2003,4708
01/04/2003,5084
01/05/2003,5218
01/06/2003,5054
01/07/2003,5531
01/08/2003,3802
01/09/2003,4924
01/10/2003,4464
01/11/2003,4332
01/12/2003,4841
01/01/2004,5138
01/02/2004,6093
01/03/2004,5672
01/04/2004,4765
01/05/2004,5842
01/06/2004,6304
01/07/2004,5967
01/08/2004,4938
01/09/2004,5396
01/10/2004,5140
01/11/2004,4567
01/12/2004,4870
01/01/2005,6170
01/02/2005,6405
01/03/2005,4965
01/04/2005,5791
01/05/2005,7587
01/06/2005,6915
01/07/2005,6632
01/08/2005,5524
01/09/2005,7328
01/10/2005,5589
01/11/2005,5772
01/12/2005,5541
01/01/2006,8389
01/02/2006,6851
01/03/2006,7554
01/04/2006,5230
01/05/2006,7220
01/06/2006,6916
01/07/2006,6795
01/08/2006,5783
01/09/2006,6932
01/10/2006,6260
01/11/2006,7501
01/12/2006,5233
01/01/2007,8257
01/02/2007,7368
01/03/2007,6560
01/04/2007,5484
01/05/2007,6865
01/06/2007,6764
01/07/2007,6105
01/08/2007,4854
01/09/2007,6126
01/10/2007,4838
01/11/2007,4813
01/12/2007,3556
01/01/2008,5449
01/02/2008,4224
01/03/2008,2896
01/04/2008,4251
01/05/2008,3580
01/06/2008,3128
01/07/2008,3128
01/08/2008,2681
01/09/2008,3409
01/10/2008,3185
01/11/2008,2540
01/12/2008,2141
01/01/2009,2889
01/02/2009,2668
01/03/2009,2607
01/04/2009,2717
01/05/2009,3018
01/06/2009,3096
01/07/2009,2949
01/08/2009,2866
01/09/2009,3063
01/10/2009,2787
01/11/2009,2576
01/12/2009,2265
01/01/2010,2727
01/02/2010,2390
01/03/2010,2280
01/04/2010,2240
01/05/2010,2641
01/06/2010,2293
01/07/2010,2346
01/08/2010,2137
01/09/2010,2453
01/10/2010,1950
01/11/2010,1864
01/12/2010,1598
01/01/2011,1996
01/02/2011,1905
01/03/2011,1499
01/04/2011,1057
01/05/2011,1732
01/06/2011,1583
01/07/2011,1244
01/08/2011,1251
01/09/2011,1647
01/10/2011,922
01/11/2011,970
01/12/2011,778
01/01/2012,1235
01/02/2012,1093
01/03/2012,1000
01/04/2012,864
01/05/2012,1159
01/06/2012,942
01/07/2012,919
01/08/2012,841
01/09/2012,912
01/10/2012,726
01/11/2012,762
01/12/2012,690
01/01/2013,951
01/02/2013,967
01/03/2013,514
01/04/2013,782
01/05/2013,739
01/06/2013,597
01/07/2013,625
01/08/2013,543
01/09/2013,597
01/10/2013,587
01/11/2013,641
01/12/2013,689
01/01/2014,705
01/02/2014,639
01/03/2014,775
01/04/2014,652
01/05/2014,840
01/06/2014,763
01/07/2014,664
01/08/2014,612
01/09/2014,825
01/10/2014,921
01/11/2014,654
01/12/2014,697
01/01/2015,793
01/02/2015,874
01/03/2015,782
01/04/2015,825
01/05/2015,902
01/06/2015,867
01/07/2015,846
01/08/2015,1064
01/09/2015,1088
01/10/2015,815
01/11/2015,738
01/12/2015,690
01/01/2016,943
01/02/2016,951
01/03/2016,959
01/04/2016,1020
01/05/2016,1146
01/06/2016,1044
01/07/2016,808
01/08/2016,783
01/09/2016,1120
01/10/2016,1064
01/11/2016,1124
01/12/2016,946
01/01/2017,1148
01/02/2017,1104
01/03/2017,1248
01/04/2017,860
01/05/2017,1362
01/06/2017,1217
01/07/2017,1046
01/08/2017,1062
01/09/2017,1229
01/10/2017,1035
01/11/2017,1036
01/12/2017,828
01/01/2018,1366
01/02/2018,1229
01/03/2018,1327
01/04/2018,1174
01/05/2018,1495
01/06/2018,1234
01/07/2018,1258
01/08/2018,1174
01/09/2018,1493
01/10/2018,1204
01/11/2018,1302
01/12/2018,866
01/01/2019,1630
01/02/2019,1344
01/03/2019,1158
01/04/2019,1315
01/05/2019,1524
01/06/2019,1658
01/07/2019,1409
01/08/2019,1046
01/09/2019,960
01/10/2019,1333
01/11/2019,1516
01/12/2019,1535
