FECHA,TARGET
01/01/2003,1242
01/02/2003,1227
01/03/2003,1003
01/04/2003,1062
01/05/2003,1104
01/06/2003,912
01/07/2003,1013
01/08/2003,780
01/09/2003,1116
01/10/2003,1036
01/11/2003,973
01/12/2003,916
01/01/2004,1182
01/02/2004,1144
01/03/2004,1176
01/04/2004,960
01/05/2004,1155
01/06/2004,938
01/07/2004,843
01/08/2004,955
01/09/2004,866
01/10/2004,1116
01/11/2004,1002
01/12/2004,1062
01/01/2005,1199
01/02/2005,937
01/03/2005,1001
01/04/2005,977
01/05/2005,1259
01/06/2005,1291
01/07/2005,1118
01/08/2005,1071
01/09/2005,1156
01/10/2005,937
01/11/2005,1209
01/12/2005,1364
01/01/2006,1834
01/02/2006,1602
01/03/2006,1697
01/04/2006,952
01/05/2006,1300
01/06/2006,1366
01/07/2006,1182
01/08/2006,936
01/09/2006,1104
01/10/2006,1301
01/11/2006,1312
01/12/2006,1290
01/01/2007,1418
01/02/2007,1428
01/03/2007,1828
01/04/2007,1479
01/05/2007,1487
01/06/2007,1507
01/07/2007,1151
01/08/2007,1293
01/09/2007,1596
01/10/2007,1272
01/11/2007,1165
01/12/2007,1061
01/01/2008,1242
01/02/2008,1352
01/03/2008,1042
01/04/2008,1397
01/05/2008,957
01/06/2008,1264
01/07/2008,1337
01/08/2008,1033
01/09/2008,1139
01/10/2008,1197
01/11/2008,866
01/12/2008,1067
01/01/2009,856
01/02/2009,1342
01/03/2009,1046
01/04/2009,771
01/05/2009,1113
01/06/2009,1278
01/07/2009,1267
01/08/2009,1052
01/09/2009,935
01/10/2009,722
01/11/2009,898
01/12/2009,741
01/01/2010,790
01/02/2010,850
01/03/2010,895
01/04/2010,660
01/05/2010,969
01/06/2010,875
01/07/2010,789
01/08/2010,677
01/09/2010,776
01/10/2010,661
01/11/2010,608
01/12/2010,927
01/01/2011,660
01/02/2011,802
01/03/2011,639
01/04/2011,390
01/05/2011,437
01/06/2011,581
01/07/2011,401
01/08/2011,315
01/09/2011,369
01/10/2011,230
01/11/2011,401
01/12/2011,352
01/01/2012,448
01/02/2012,243
01/03/2012,318
01/04/2012,346
01/05/2012,321
01/06/2012,383
01/07/2012,334
01/08/2012,212
01/09/2012,214
01/10/2012,210
01/11/2012,208
01/12/2012,220
01/01/2013,460
01/02/2013,367
01/03/2013,172
01/04/2013,197
01/05/2013,179
01/06/2013,128
01/07/2013,125
01/08/2013,136
01/09/2013,160
01/10/2013,160
01/11/2013,190
01/12/2013,205
01/01/2014,188
01/02/2014,176
01/03/2014,142
01/04/2014,148
01/05/2014,206
01/06/2014,158
01/07/2014,215
01/08/2014,229
01/09/2014,176
01/10/2014,202
01/11/2014,182
01/12/2014,225
01/01/2015,240
01/02/2015,221
01/03/2015,263
01/04/2015,150
01/05/2015,214
01/06/2015,241
01/07/2015,307
01/08/2015,255
01/09/2015,234
01/10/2015,225
01/11/2015,227
01/12/2015,274
01/01/2016,250
01/02/2016,262
01/03/2016,218
01/04/2016,247
01/05/2016,282
01/06/2016,244
01/07/2016,230
01/08/2016,319
01/09/2016,309
01/10/2016,263
01/11/2016,280
01/12/2016,256
01/01/2017,330
01/02/2017,370
01/03/2017,320
01/04/2017,252
01/05/2017,284
01/06/2017,286
01/07/2017,254
01/08/2017,280
01/09/2017,295
01/10/2017,318
01/11/2017,311
01/12/2017,232
01/01/2018,357
01/02/2018,387
01/03/2018,305
01/04/2018,282
01/05/2018,326
01/06/2018,309
01/07/2018,340
01/08/2018,326
01/09/2018,356
01/10/2018,360
01/11/2018,309
01/12/2018,251
01/01/2019,410
01/02/2019,351
01/03/2019,327
01/04/2019,290
01/05/2019,380
01/06/2019,321
01/07/2019,367
01/08/2019,254
01/09/2019,184
01/10/2019,331
01/11/2019,376
01/12/2019,387
