FECHA,TARGET
01/01/2003,1942
01/02/2003,1793
01/03/2003,1562
01/04/2003,1411
01/05/2003,1101
01/06/2003,1904
01/07/2003,1167
01/08/2003,865
01/09/2003,1062
01/10/2003,1416
01/11/2003,1084
01/12/2003,1422
01/01/2004,1545
01/02/2004,1271
01/03/2004,1912
01/04/2004,1932
01/05/2004,1868
01/06/2004,2146
01/07/2004,1553
01/08/2004,1821
01/09/2004,1737
01/10/2004,1810
01/11/2004,2184
01/12/2004,2011
01/01/2005,2110
01/02/2005,1597
01/03/2005,2410
01/04/2005,2003
01/05/2005,1981
01/06/2005,2613
01/07/2005,1854
01/08/2005,1542
01/09/2005,2566
01/10/2005,2682
01/11/2005,2383
01/12/2005,2386
01/01/2006,2688
01/02/2006,2595
01/03/2006,2572
01/04/2006,2052
01/05/2006,2442
01/06/2006,3096
01/07/2006,2664
01/08/2006,2113
01/09/2006,2480
01/10/2006,2445
01/11/2006,2635
01/12/2006,2007
01/01/2007,2895
01/02/2007,1844
01/03/2007,2645
01/04/2007,2394
01/05/2007,3078
01/06/2007,2618
01/07/2007,2465
01/08/2007,1939
01/09/2007,2105
01/10/2007,2159
01/11/2007,1984
01/12/2007,1962
01/01/2008,2042
01/02/2008,1574
01/03/2008,1957
01/04/2008,1886
01/05/2008,1655
01/06/2008,1597
01/07/2008,1832
01/08/2008,1392
01/09/2008,1410
01/10/2008,1261
01/11/2008,1446
01/12/2008,1204
01/01/2009,972
01/02/2009,954
01/03/2009,1523
01/04/2009,1234
01/05/2009,1372
01/06/2009,1760
01/07/2009,1594
01/08/2009,1231
01/09/2009,1423
01/10/2009,981
01/11/2009,1172
01/12/2009,845
01/01/2010,1351
01/02/2010,880
01/03/2010,1504
01/04/2010,1053
01/05/2010,883
01/06/2010,1163
01/07/2010,854
01/08/2010,868
01/09/2010,775
01/10/2010,1004
01/11/2010,781
01/12/2010,950
01/01/2011,1060
01/02/2011,894
01/03/2011,682
01/04/2011,646
01/05/2011,681
01/06/2011,454
01/07/2011,379
01/08/2011,549
01/09/2011,540
01/10/2011,478
01/11/2011,377
01/12/2011,329
01/01/2012,501
01/02/2012,294
01/03/2012,372
01/04/2012,332
01/05/2012,531
01/06/2012,376
01/07/2012,352
01/08/2012,693
01/09/2012,296
01/10/2012,403
01/11/2012,306
01/12/2012,378
01/01/2013,525
01/02/2013,426
01/03/2013,365
01/04/2013,340
01/05/2013,269
01/06/2013,234
01/07/2013,216
01/08/2013,184
01/09/2013,303
01/10/2013,284
01/11/2013,370
01/12/2013,274
01/01/2014,567
01/02/2014,245
01/03/2014,263
01/04/2014,301
01/05/2014,320
01/06/2014,274
01/07/2014,363
01/08/2014,307
01/09/2014,299
01/10/2014,284
01/11/2014,289
01/12/2014,340
01/01/2015,493
01/02/2015,257
01/03/2015,335
01/04/2015,357
01/05/2015,314
01/06/2015,390
01/07/2015,448
01/08/2015,361
01/09/2015,413
01/10/2015,343
01/11/2015,283
01/12/2015,341
01/01/2016,495
01/02/2016,393
01/03/2016,456
01/04/2016,569
01/05/2016,393
01/06/2016,462
01/07/2016,471
01/08/2016,403
01/09/2016,731
01/10/2016,373
01/11/2016,516
01/12/2016,514
01/01/2017,570
01/02/2017,388
01/03/2017,463
01/04/2017,583
01/05/2017,430
01/06/2017,598
01/07/2017,468
01/08/2017,590
01/09/2017,552
01/10/2017,413
01/11/2017,466
01/12/2017,924
01/01/2018,497
01/02/2018,431
01/03/2018,553
01/04/2018,407
01/05/2018,1386
01/06/2018,470
01/07/2018,594
01/08/2018,525
01/09/2018,486
01/10/2018,455
01/11/2018,584
01/12/2018,422
01/01/2019,596
01/02/2019,466
01/03/2019,639
01/04/2019,517
01/05/2019,629
01/06/2019,451
01/07/2019,525
01/08/2019,315
01/09/2019,371
01/10/2019,470
01/11/2019,449
01/12/2019,422
