FECHA,TARGET
01/01/2003,244
01/02/2003,232
01/03/2003,265
01/04/2003,180
01/05/2003,268
01/06/2003,273
01/07/2003,307
01/08/2003,165
01/09/2003,309
01/10/2003,412
01/11/2003,287
01/12/2003,269
01/01/2004,213
01/02/2004,358
01/03/2004,285
01/04/2004,317
01/05/2004,310
01/06/2004,324
01/07/2004,244
01/08/2004,378
01/09/2004,290
01/10/2004,323
01/11/2004,290
01/12/2004,319
01/01/2005,314
01/02/2005,279
01/03/2005,280
01/04/2005,228
01/05/2005,273
01/06/2005,319
01/07/2005,274
01/08/2005,305
01/09/2005,385
01/10/2005,307
01/11/2005,510
01/12/2005,356
01/01/2006,500
01/02/2006,390
01/03/2006,375
01/04/2006,260
01/05/2006,348
01/06/2006,324
01/07/2006,324
01/08/2006,261
01/09/2006,417
01/10/2006,398
01/11/2006,516
01/12/2006,353
01/01/2007,305
01/02/2007,245
01/03/2007,394
01/04/2007,382
01/05/2007,459
01/06/2007,340
01/07/2007,331
01/08/2007,305
01/09/2007,399
01/10/2007,499
01/11/2007,381
01/12/2007,380
01/01/2008,477
01/02/2008,227
01/03/2008,197
01/04/2008,351
01/05/2008,227
01/06/2008,285
01/07/2008,222
01/08/2008,212
01/09/2008,297
01/10/2008,244
01/11/2008,179
01/12/2008,167
01/01/2009,216
01/02/2009,112
01/03/2009,228
01/04/2009,126
01/05/2009,157
01/06/2009,222
01/07/2009,151
01/08/2009,226
01/09/2009,226
01/10/2009,122
01/11/2009,121
01/12/2009,170
01/01/2010,160
01/02/2010,180
01/03/2010,166
01/04/2010,125
01/05/2010,248
01/06/2010,140
01/07/2010,218
01/08/2010,186
01/09/2010,230
01/10/2010,111
01/11/2010,140
01/12/2010,199
01/01/2011,263
01/02/2011,217
01/03/2011,133
01/04/2011,120
01/05/2011,116
01/06/2011,115
01/07/2011,47
01/08/2011,78
01/09/2011,70
01/10/2011,65
01/11/2011,111
01/12/2011,71
01/01/2012,98
01/02/2012,86
01/03/2012,93
01/04/2012,54
01/05/2012,83
01/06/2012,153
01/07/2012,80
01/08/2012,131
01/09/2012,67
01/10/2012,45
01/11/2012,56
01/12/2012,51
01/01/2013,162
01/02/2013,170
01/03/2013,39
01/04/2013,43
01/05/2013,54
01/06/2013,41
01/07/2013,164
01/08/2013,64
01/09/2013,54
01/10/2013,50
01/11/2013,35
01/12/2013,49
01/01/2014,43
01/02/2014,53
01/03/2014,48
01/04/2014,40
01/05/2014,59
01/06/2014,32
01/07/2014,74
01/08/2014,98
01/09/2014,67
01/10/2014,77
01/11/2014,45
01/12/2014,44
01/01/2015,55
01/02/2015,53
01/03/2015,73
01/04/2015,68
01/05/2015,48
01/06/2015,66
01/07/2015,63
01/08/2015,95
01/09/2015,72
01/10/2015,57
01/11/2015,74
01/12/2015,50
01/01/2016,78
01/02/2016,93
01/03/2016,86
01/04/2016,78
01/05/2016,82
01/06/2016,73
01/07/2016,63
01/08/2016,50
01/09/2016,66
01/10/2016,47
01/11/2016,71
01/12/2016,49
01/01/2017,68
01/02/2017,73
01/03/2017,80
01/04/2017,59
01/05/2017,72
01/06/2017,56
01/07/2017,64
01/08/2017,80
01/09/2017,64
01/10/2017,51
01/11/2017,48
01/12/2017,55
01/01/2018,77
01/02/2018,76
01/03/2018,64
01/04/2018,78
01/05/2018,92
01/06/2018,81
01/07/2018,78
01/08/2018,65
01/09/2018,116
01/10/2018,69
01/11/2018,77
01/12/2018,67
01/01/2019,66
01/02/2019,87
01/03/2019,73
01/04/2019,64
01/05/2019,100
01/06/2019,83
01/07/2019,110
01/08/2019,54
01/09/2019,61
01/10/2019,96
01/11/2019,71
01/12/2019,84
