FECHA,TARGET
01/01/2003,4065
01/02/2003,3634
01/03/2003,3830
01/04/2003,2962
01/05/2003,2873
01/06/2003,2421
01/07/2003,2840
01/08/2003,2240
01/09/2003,2991
01/10/2003,3503
01/11/2003,3103
01/12/2003,3038
01/01/2004,3839
01/02/2004,3286
01/03/2004,4550
01/04/2004,3199
01/05/2004,3533
01/06/2004,3857
01/07/2004,3656
01/08/2004,3109
01/09/2004,4353
01/10/2004,3817
01/11/2004,4003
01/12/2004,3883
01/01/2005,4773
01/02/2005,4242
01/03/2005,4157
01/04/2005,4450
01/05/2005,4702
01/06/2005,5233
01/07/2005,5145
01/08/2005,3785
01/09/2005,6644
01/10/2005,4706
01/11/2005,4368
01/12/2005,4413
01/01/2006,5310
01/02/2006,4254
01/03/2006,5394
01/04/2006,3484
01/05/2006,5505
01/06/2006,5086
01/07/2006,4061
01/08/2006,4640
01/09/2006,5266
01/10/2006,5756
01/11/2006,4810
01/12/2006,4425
01/01/2007,5790
01/02/2007,4494
01/03/2007,5042
01/04/2007,3351
01/05/2007,4109
01/06/2007,4093
01/07/2007,6157
01/08/2007,4083
01/09/2007,4219
01/10/2007,4512
01/11/2007,3993
01/12/2007,3354
01/01/2008,3839
01/02/2008,3731
01/03/2008,4089
01/04/2008,3534
01/05/2008,2816
01/06/2008,2945
01/07/2008,3014
01/08/2008,1989
01/09/2008,3074
01/10/2008,2702
01/11/2008,2969
01/12/2008,1947
01/01/2009,2023
01/02/2009,1833
01/03/2009,2033
01/04/2009,1889
01/05/2009,2089
01/06/2009,2195
01/07/2009,2115
01/08/2009,2089
01/09/2009,2755
01/10/2009,1886
01/11/2009,2157
01/12/2009,1751
01/01/2010,2098
01/02/2010,2241
01/03/2010,1998
01/04/2010,1907
01/05/2010,1907
01/06/2010,1995
01/07/2010,1668
01/08/2010,1904
01/09/2010,2348
01/10/2010,1382
01/11/2010,1950
01/12/2010,1132
01/01/2011,2053
01/02/2011,1811
01/03/2011,2191
01/04/2011,2148
01/05/2011,1228
01/06/2011,1603
01/07/2011,1381
01/08/2011,1826
01/09/2011,1472
01/10/2011,748
01/11/2011,973
01/12/2011,1121
01/01/2012,1211
01/02/2012,945
01/03/2012,1084
01/04/2012,766
01/05/2012,944
01/06/2012,959
01/07/2012,1229
01/08/2012,821
01/09/2012,814
01/10/2012,692
01/11/2012,700
01/12/2012,613
01/01/2013,954
01/02/2013,985
01/03/2013,711
01/04/2013,845
01/05/2013,831
01/06/2013,590
01/07/2013,474
01/08/2013,451
01/09/2013,579
01/10/2013,598
01/11/2013,488
01/12/2013,483
01/01/2014,721
01/02/2014,590
01/03/2014,613
01/04/2014,602
01/05/2014,752
01/06/2014,616
01/07/2014,762
01/08/2014,555
01/09/2014,848
01/10/2014,846
01/11/2014,750
01/12/2014,672
01/01/2015,806
01/02/2015,877
01/03/2015,760
01/04/2015,699
01/05/2015,888
01/06/2015,918
01/07/2015,748
01/08/2015,734
01/09/2015,983
01/10/2015,690
01/11/2015,819
01/12/2015,777
01/01/2016,932
01/02/2016,993
01/03/2016,843
01/04/2016,842
01/05/2016,975
01/06/2016,964
01/07/2016,454
01/08/2016,814
01/09/2016,999
01/10/2016,1167
01/11/2016,1180
01/12/2016,874
01/01/2017,1080
01/02/2017,863
01/03/2017,1102
01/04/2017,873
01/05/2017,1066
01/06/2017,1086
01/07/2017,977
01/08/2017,940
01/09/2017,1349
01/10/2017,839
01/11/2017,1022
01/12/2017,702
01/01/2018,1224
01/02/2018,1169
01/03/2018,1074
01/04/2018,1026
01/05/2018,1278
01/06/2018,1073
01/07/2018,1152
01/08/2018,1105
01/09/2018,1239
01/10/2018,1239
01/11/2018,1240
01/12/2018,865
01/01/2019,1213
01/02/2019,1072
01/03/2019,1291
01/04/2019,1294
01/05/2019,1378
01/06/2019,1183
01/07/2019,1466
01/08/2019,855
01/09/2019,936
01/10/2019,1070
01/11/2019,1182
01/12/2019,1079
