FECHA,TARGET
01/01/2003,161
01/02/2003,179
01/03/2003,90
01/04/2003,141
01/05/2003,143
01/06/2003,66
01/07/2003,172
01/08/2003,112
01/09/2003,112
01/10/2003,107
01/11/2003,180
01/12/2003,164
01/01/2004,116
01/02/2004,133
01/03/2004,92
01/04/2004,33
01/05/2004,91
01/06/2004,67
01/07/2004,55
01/08/2004,40
01/09/2004,89
01/10/2004,28
01/11/2004,56
01/12/2004,43
01/01/2005,101
01/02/2005,139
01/03/2005,179
01/04/2005,155
01/05/2005,159
01/06/2005,87
01/07/2005,80
01/08/2005,117
01/09/2005,289
01/10/2005,119
01/11/2005,135
01/12/2005,114
01/01/2006,101
01/02/2006,107
01/03/2006,384
01/04/2006,143
01/05/2006,206
01/06/2006,145
01/07/2006,134
01/08/2006,136
01/09/2006,128
01/10/2006,154
01/11/2006,191
01/12/2006,100
01/01/2007,184
01/02/2007,127
01/03/2007,137
01/04/2007,113
01/05/2007,107
01/06/2007,63
01/07/2007,191
01/08/2007,172
01/09/2007,182
01/10/2007,69
01/11/2007,172
01/12/2007,81
01/01/2008,142
01/02/2008,214
01/03/2008,92
01/04/2008,103
01/05/2008,197
01/06/2008,278
01/07/2008,160
01/08/2008,86
01/09/2008,119
01/10/2008,140
01/11/2008,80
01/12/2008,59
01/01/2009,77
01/02/2009,198
01/03/2009,113
01/04/2009,141
01/05/2009,55
01/06/2009,79
01/07/2009,193
01/08/2009,43
01/09/2009,123
01/10/2009,117
01/11/2009,115
01/12/2009,248
01/01/2010,204
01/02/2010,194
01/03/2010,61
01/04/2010,63
01/05/2010,107
01/06/2010,80
01/07/2010,84
01/08/2010,41
01/09/2010,146
01/10/2010,43
01/11/2010,49
01/12/2010,46
01/01/2011,141
01/02/2011,108
01/03/2011,30
01/04/2011,103
01/05/2011,62
01/06/2011,97
01/07/2011,33
01/08/2011,155
01/09/2011,29
01/10/2011,20
01/11/2011,69
01/12/2011,19
01/01/2012,36
01/02/2012,113
01/03/2012,32
01/04/2012,73
01/05/2012,42
01/06/2012,60
01/07/2012,30
01/08/2012,153
01/09/2012,26
01/10/2012,25
01/11/2012,198
01/12/2012,20
01/01/2013,35
01/02/2013,164
01/03/2013,24
01/04/2013,30
01/05/2013,33
01/06/2013,33
01/07/2013,23
01/08/2013,48
01/09/2013,28
01/10/2013,23
01/11/2013,14
01/12/2013,16
01/01/2014,29
01/02/2014,19
01/03/2014,19
01/04/2014,35
01/05/2014,87
01/06/2014,17
01/07/2014,33
01/08/2014,53
01/09/2014,17
01/10/2014,15
01/11/2014,17
01/12/2014,16
01/01/2015,26
01/02/2015,22
01/03/2015,33
01/04/2015,24
01/05/2015,25
01/06/2015,24
01/07/2015,13
01/08/2015,43
01/09/2015,30
01/10/2015,35
01/11/2015,24
01/12/2015,22
01/01/2016,19
01/02/2016,29
01/03/2016,23
01/04/2016,30
01/05/2016,41
01/06/2016,20
01/07/2016,21
01/08/2016,30
01/09/2016,27
01/10/2016,24
01/11/2016,33
01/12/2016,42
01/01/2017,40
01/02/2017,38
01/03/2017,25
01/04/2017,27
01/05/2017,41
01/06/2017,19
01/07/2017,18
01/08/2017,37
01/09/2017,38
01/10/2017,35
01/11/2017,34
01/12/2017,19
01/01/2018,35
01/02/2018,28
01/03/2018,28
01/04/2018,34
01/05/2018,55
01/06/2018,22
01/07/2018,26
01/08/2018,39
01/09/2018,30
01/10/2018,47
01/11/2018,41
01/12/2018,16
01/01/2019,28
01/02/2019,50
01/03/2019,32
01/04/2019,30
01/05/2019,42
01/06/2019,106
01/07/2019,33
01/08/2019,34
01/09/2019,19
01/10/2019,28
01/11/2019,47
01/12/2019,34
