FECHA,TARGET
01/01/2003,2086
01/02/2003,2007
01/03/2003,1772
01/04/2003,1695
01/05/2003,1854
01/06/2003,1700
01/07/2003,2072
01/08/2003,1731
01/09/2003,1890
01/10/2003,1833
01/11/2003,1767
01/12/2003,1715
01/01/2004,1891
01/02/2004,2186
01/03/2004,2501
01/04/2004,2000
01/05/2004,2118
01/06/2004,1865
01/07/2004,2279
01/08/2004,2685
01/09/2004,2703
01/10/2004,2249
01/11/2004,1974
01/12/2004,1795
01/01/2005,2226
01/02/2005,2421
01/03/2005,2405
01/04/2005,2927
01/05/2005,2793
01/06/2005,2467
01/07/2005,2438
01/08/2005,2081
01/09/2005,3218
01/10/2005,2532
01/11/2005,2785
01/12/2005,1978
01/01/2006,3378
01/02/2006,2825
01/03/2006,3069
01/04/2006,2377
01/05/2006,2914
01/06/2006,2627
01/07/2006,2749
01/08/2006,2472
01/09/2006,2531
01/10/2006,3095
01/11/2006,2801
01/12/2006,1946
01/01/2007,2740
01/02/2007,2956
01/03/2007,3111
01/04/2007,2454
01/05/2007,2923
01/06/2007,2657
01/07/2007,2339
01/08/2007,2029
01/09/2007,2083
01/10/2007,2156
01/11/2007,1749
01/12/2007,1770
01/01/2008,2025
01/02/2008,1795
01/03/2008,1221
01/04/2008,1323
01/05/2008,1283
01/06/2008,929
01/07/2008,1161
01/08/2008,1025
01/09/2008,917
01/10/2008,873
01/11/2008,791
01/12/2008,660
01/01/2009,896
01/02/2009,992
01/03/2009,954
01/04/2009,762
01/05/2009,989
01/06/2009,1143
01/07/2009,1081
01/08/2009,1147
01/09/2009,958
01/10/2009,868
01/11/2009,949
01/12/2009,722
01/01/2010,1040
01/02/2010,1150
01/03/2010,1192
01/04/2010,1186
01/05/2010,916
01/06/2010,991
01/07/2010,1003
01/08/2010,1042
01/09/2010,754
01/10/2010,628
01/11/2010,665
01/12/2010,947
01/01/2011,887
01/02/2011,870
01/03/2011,732
01/04/2011,670
01/05/2011,770
01/06/2011,406
01/07/2011,615
01/08/2011,675
01/09/2011,686
01/10/2011,484
01/11/2011,588
01/12/2011,444
01/01/2012,646
01/02/2012,560
01/03/2012,482
01/04/2012,395
01/05/2012,521
01/06/2012,454
01/07/2012,460
01/08/2012,514
01/09/2012,429
01/10/2012,680
01/11/2012,321
01/12/2012,280
01/01/2013,447
01/02/2013,416
01/03/2013,312
01/04/2013,339
01/05/2013,358
01/06/2013,268
01/07/2013,441
01/08/2013,203
01/09/2013,248
01/10/2013,231
01/11/2013,369
01/12/2013,237
01/01/2014,321
01/02/2014,274
01/03/2014,259
01/04/2014,359
01/05/2014,297
01/06/2014,257
01/07/2014,301
01/08/2014,273
01/09/2014,275
01/10/2014,305
01/11/2014,238
01/12/2014,315
01/01/2015,485
01/02/2015,345
01/03/2015,331
01/04/2015,325
01/05/2015,355
01/06/2015,280
01/07/2015,424
01/08/2015,315
01/09/2015,418
01/10/2015,357
01/11/2015,358
01/12/2015,380
01/01/2016,537
01/02/2016,354
01/03/2016,363
01/04/2016,400
01/05/2016,450
01/06/2016,405
01/07/2016,370
01/08/2016,454
01/09/2016,431
01/10/2016,394
01/11/2016,420
01/12/2016,352
01/01/2017,454
01/02/2017,365
01/03/2017,425
01/04/2017,331
01/05/2017,495
01/06/2017,443
01/07/2017,406
01/08/2017,504
01/09/2017,468
01/10/2017,394
01/11/2017,432
01/12/2017,474
01/01/2018,537
01/02/2018,468
01/03/2018,404
01/04/2018,511
01/05/2018,473
01/06/2018,486
01/07/2018,502
01/08/2018,521
01/09/2018,495
01/10/2018,534
01/11/2018,525
01/12/2018,393
01/01/2019,517
01/02/2019,562
01/03/2019,504
01/04/2019,453
01/05/2019,659
01/06/2019,608
01/07/2019,623
01/08/2019,412
01/09/2019,316
01/10/2019,564
01/11/2019,474
01/12/2019,507
