FECHA,TARGET
01/01/2003,96
01/02/2003,131
01/03/2003,96
01/04/2003,101
01/05/2003,83
01/06/2003,88
01/07/2003,145
01/08/2003,73
01/09/2003,88
01/10/2003,131
01/11/2003,130
01/12/2003,78
01/01/2004,153
01/02/2004,67
01/03/2004,83
01/04/2004,116
01/05/2004,91
01/06/2004,103
01/07/2004,81
01/08/2004,86
01/09/2004,101
01/10/2004,105
01/11/2004,141
01/12/2004,109
01/01/2005,170
01/02/2005,109
01/03/2005,107
01/04/2005,171
01/05/2005,176
01/06/2005,210
01/07/2005,113
01/08/2005,116
01/09/2005,192
01/10/2005,214
01/11/2005,182
01/12/2005,118
01/01/2006,173
01/02/2006,199
01/03/2006,211
01/04/2006,150
01/05/2006,153
01/06/2006,188
01/07/2006,167
01/08/2006,213
01/09/2006,232
01/10/2006,237
01/11/2006,307
01/12/2006,197
01/01/2007,273
01/02/2007,172
01/03/2007,268
01/04/2007,301
01/05/2007,259
01/06/2007,209
01/07/2007,140
01/08/2007,256
01/09/2007,176
01/10/2007,157
01/11/2007,214
01/12/2007,227
01/01/2008,218
01/02/2008,225
01/03/2008,171
01/04/2008,204
01/05/2008,180
01/06/2008,185
01/07/2008,133
01/08/2008,136
01/09/2008,206
01/10/2008,216
01/11/2008,160
01/12/2008,88
01/01/2009,160
01/02/2009,110
01/03/2009,214
01/04/2009,102
01/05/2009,129
01/06/2009,120
01/07/2009,101
01/08/2009,177
01/09/2009,65
01/10/2009,130
01/11/2009,139
01/12/2009,106
01/01/2010,66
01/02/2010,93
01/03/2010,110
01/04/2010,138
01/05/2010,95
01/06/2010,234
01/07/2010,84
01/08/2010,104
01/09/2010,116
01/10/2010,65
01/11/2010,156
01/12/2010,91
01/01/2011,68
01/02/2011,91
01/03/2011,128
01/04/2011,44
01/05/2011,54
01/06/2011,82
01/07/2011,50
01/08/2011,53
01/09/2011,71
01/10/2011,64
01/11/2011,58
01/12/2011,39
01/01/2012,61
01/02/2012,76
01/03/2012,110
01/04/2012,19
01/05/2012,48
01/06/2012,56
01/07/2012,37
01/08/2012,40
01/09/2012,21
01/10/2012,37
01/11/2012,40
01/12/2012,100
01/01/2013,105
01/02/2013,65
01/03/2013,91
01/04/2013,34
01/05/2013,37
01/06/2013,31
01/07/2013,19
01/08/2013,29
01/09/2013,57
01/10/2013,30
01/11/2013,65
01/12/2013,33
01/01/2014,40
01/02/2014,28
01/03/2014,58
01/04/2014,23
01/05/2014,26
01/06/2014,25
01/07/2014,43
01/08/2014,47
01/09/2014,28
01/10/2014,36
01/11/2014,65
01/12/2014,14
01/01/2015,45
01/02/2015,139
01/03/2015,28
01/04/2015,20
01/05/2015,36
01/06/2015,37
01/07/2015,53
01/08/2015,38
01/09/2015,39
01/10/2015,60
01/11/2015,40
01/12/2015,18
01/01/2016,41
01/02/2016,67
01/03/2016,46
01/04/2016,42
01/05/2016,39
01/06/2016,40
01/07/2016,16
01/08/2016,46
01/09/2016,25
01/10/2016,58
01/11/2016,48
01/12/2016,31
01/01/2017,59
01/02/2017,81
01/03/2017,49
01/04/2017,44
01/05/2017,52
01/06/2017,35
01/07/2017,33
01/08/2017,40
01/09/2017,42
01/10/2017,35
01/11/2017,59
01/12/2017,56
01/01/2018,66
01/02/2018,62
01/03/2018,57
01/04/2018,36
01/05/2018,65
01/06/2018,41
01/07/2018,54
01/08/2018,51
01/09/2018,43
01/10/2018,50
01/11/2018,43
01/12/2018,29
01/01/2019,58
01/02/2019,101
01/03/2019,52
01/04/2019,78
01/05/2019,58
01/06/2019,57
01/07/2019,76
01/08/2019,25
01/09/2019,20
01/10/2019,65
01/11/2019,39
01/12/2019,37
