FECHA,TARGET
01/01/2003,1003
01/02/2003,863
01/03/2003,870
01/04/2003,951
01/05/2003,886
01/06/2003,1083
01/07/2003,997
01/08/2003,576
01/09/2003,1107
01/10/2003,1148
01/11/2003,846
01/12/2003,909
01/01/2004,1067
01/02/2004,1034
01/03/2004,1054
01/04/2004,987
01/05/2004,1149
01/06/2004,1423
01/07/2004,1156
01/08/2004,881
01/09/2004,1243
01/10/2004,1706
01/11/2004,1001
01/12/2004,995
01/01/2005,1649
01/02/2005,1505
01/03/2005,1392
01/04/2005,1641
01/05/2005,2015
01/06/2005,1601
01/07/2005,1760
01/08/2005,1131
01/09/2005,1959
01/10/2005,1961
01/11/2005,1865
01/12/2005,1181
01/01/2006,2626
01/02/2006,1730
01/03/2006,1876
01/04/2006,1487
01/05/2006,2269
01/06/2006,2465
01/07/2006,2248
01/08/2006,1362
01/09/2006,1668
01/10/2006,2070
01/11/2006,2046
01/12/2006,1580
01/01/2007,2720
01/02/2007,2621
01/03/2007,2934
01/04/2007,2905
01/05/2007,2655
01/06/2007,2756
01/07/2007,2922
01/08/2007,1715
01/09/2007,2296
01/10/2007,2509
01/11/2007,2774
01/12/2007,1556
01/01/2008,2283
01/02/2008,2814
01/03/2008,1400
01/04/2008,1986
01/05/2008,1918
01/06/2008,1414
01/07/2008,1489
01/08/2008,1126
01/09/2008,1419
01/10/2008,2232
01/11/2008,1000
01/12/2008,819
01/01/2009,856
01/02/2009,550
01/03/2009,818
01/04/2009,857
01/05/2009,1147
01/06/2009,977
01/07/2009,996
01/08/2009,798
01/09/2009,1022
01/10/2009,800
01/11/2009,891
01/12/2009,671
01/01/2010,809
01/02/2010,617
01/03/2010,781
01/04/2010,983
01/05/2010,626
01/06/2010,812
01/07/2010,1248
01/08/2010,1026
01/09/2010,652
01/10/2010,520
01/11/2010,572
01/12/2010,416
01/01/2011,687
01/02/2011,521
01/03/2011,772
01/04/2011,434
01/05/2011,438
01/06/2011,394
01/07/2011,334
01/08/2011,363
01/09/2011,312
01/10/2011,259
01/11/2011,447
01/12/2011,490
01/01/2012,511
01/02/2012,348
01/03/2012,313
01/04/2012,329
01/05/2012,612
01/06/2012,294
01/07/2012,368
01/08/2012,364
01/09/2012,260
01/10/2012,247
01/11/2012,221
01/12/2012,214
01/01/2013,334
01/02/2013,287
01/03/2013,187
01/04/2013,269
01/05/2013,309
01/06/2013,211
01/07/2013,176
01/08/2013,148
01/09/2013,175
01/10/2013,175
01/11/2013,182
01/12/2013,177
01/01/2014,212
01/02/2014,180
01/03/2014,318
01/04/2014,191
01/05/2014,243
01/06/2014,215
01/07/2014,242
01/08/2014,241
01/09/2014,233
01/10/2014,214
01/11/2014,201
01/12/2014,238
01/01/2015,192
01/02/2015,235
01/03/2015,240
01/04/2015,239
01/05/2015,250
01/06/2015,245
01/07/2015,267
01/08/2015,247
01/09/2015,299
01/10/2015,272
01/11/2015,291
01/12/2015,203
01/01/2016,323
01/02/2016,358
01/03/2016,288
01/04/2016,349
01/05/2016,357
01/06/2016,471
01/07/2016,306
01/08/2016,311
01/09/2016,347
01/10/2016,302
01/11/2016,285
01/12/2016,251
01/01/2017,405
01/02/2017,336
01/03/2017,312
01/04/2017,286
01/05/2017,349
01/06/2017,329
01/07/2017,341
01/08/2017,403
01/09/2017,297
01/10/2017,307
01/11/2017,292
01/12/2017,282
01/01/2018,453
01/02/2018,374
01/03/2018,386
01/04/2018,397
01/05/2018,412
01/06/2018,386
01/07/2018,420
01/08/2018,424
01/09/2018,413
01/10/2018,409
01/11/2018,358
01/12/2018,309
01/01/2019,479
01/02/2019,637
01/03/2019,491
01/04/2019,468
01/05/2019,533
01/06/2019,414
01/07/2019,597
01/08/2019,240
01/09/2019,386
01/10/2019,413
01/11/2019,384
01/12/2019,1081
