FECHA,TARGET
01/01/2003,5246
01/02/2003,5712
01/03/2003,4902
01/04/2003,4680
01/05/2003,5660
01/06/2003,6010
01/07/2003,5673
01/08/2003,4200
01/09/2003,6285
01/10/2003,6476
01/11/2003,5268
01/12/2003,4773
01/01/2004,6420
01/02/2004,6106
01/03/2004,5777
01/04/2004,5170
01/05/2004,7146
01/06/2004,6944
01/07/2004,6645
01/08/2004,5094
01/09/2004,6770
01/10/2004,6663
01/11/2004,6203
01/12/2004,5493
01/01/2005,6407
01/02/2005,7120
01/03/2005,6122
01/04/2005,7005
01/05/2005,7643
01/06/2005,7494
01/07/2005,7161
01/08/2005,6396
01/09/2005,11179
01/10/2005,8047
01/11/2005,7491
01/12/2005,6459
01/01/2006,7837
01/02/2006,8062
01/03/2006,8585
01/04/2006,6356
01/05/2006,8869
01/06/2006,8924
01/07/2006,7207
01/08/2006,5391
01/09/2006,7704
01/10/2006,7644
01/11/2006,7071
01/12/2006,5179
01/01/2007,7720
01/02/2007,7304
01/03/2007,7699
01/04/2007,6164
01/05/2007,8807
01/06/2007,7852
01/07/2007,6942
01/08/2007,5331
01/09/2007,6416
01/10/2007,6529
01/11/2007,6361
01/12/2007,4437
01/01/2008,5916
01/02/2008,5122
01/03/2008,3543
01/04/2008,5064
01/05/2008,4801
01/06/2008,4629
01/07/2008,3474
01/08/2008,2743
01/09/2008,4182
01/10/2008,3579
01/11/2008,2882
01/12/2008,2804
01/01/2009,2956
01/02/2009,2847
01/03/2009,2813
01/04/2009,2518
01/05/2009,3003
01/06/2009,3602
01/07/2009,3537
01/08/2009,3090
01/09/2009,4378
01/10/2009,3615
01/11/2009,3268
01/12/2009,2697
01/01/2010,2682
01/02/2010,3391
01/03/2010,3188
01/04/2010,2550
01/05/2010,3160
01/06/2010,3590
01/07/2010,3844
01/08/2010,2491
01/09/2010,3221
01/10/2010,2257
01/11/2010,2466
01/12/2010,2206
01/01/2011,2516
01/02/2011,3009
01/03/2011,2366
01/04/2011,1770
01/05/2011,2035
01/06/2011,1845
01/07/2011,1527
01/08/2011,1437
01/09/2011,1580
01/10/2011,1033
01/11/2011,1200
01/12/2011,982
01/01/2012,1424
01/02/2012,1159
01/03/2012,926
01/04/2012,910
01/05/2012,1213
01/06/2012,1079
01/07/2012,1168
01/08/2012,1031
01/09/2012,1237
01/10/2012,1140
01/11/2012,887
01/12/2012,809
01/01/2013,1103
01/02/2013,1116
01/03/2013,699
01/04/2013,849
01/05/2013,783
01/06/2013,687
01/07/2013,612
01/08/2013,536
01/09/2013,732
01/10/2013,676
01/11/2013,677
01/12/2013,591
01/01/2014,874
01/02/2014,849
01/03/2014,773
01/04/2014,749
01/05/2014,1021
01/06/2014,874
01/07/2014,874
01/08/2014,609
01/09/2014,1062
01/10/2014,928
01/11/2014,880
01/12/2014,702
01/01/2015,1025
01/02/2015,1118
01/03/2015,917
01/04/2015,845
01/05/2015,1001
01/06/2015,1030
01/07/2015,1149
01/08/2015,843
01/09/2015,1279
01/10/2015,965
01/11/2015,931
01/12/2015,864
01/01/2016,1084
01/02/2016,1304
01/03/2016,986
01/04/2016,1211
01/05/2016,1326
01/06/2016,1216
01/07/2016,1082
01/08/2016,940
01/09/2016,1408
01/10/2016,1095
01/11/2016,1454
01/12/2016,986
01/01/2017,1436
01/02/2017,1257
01/03/2017,1504
01/04/2017,1122
01/05/2017,1580
01/06/2017,1507
01/07/2017,1215
01/08/2017,1335
01/09/2017,1717
01/10/2017,1185
01/11/2017,1215
01/12/2017,1072
01/01/2018,1578
01/02/2018,1547
01/03/2018,1448
01/04/2018,1556
01/05/2018,1776
01/06/2018,1599
01/07/2018,1679
01/08/2018,1391
01/09/2018,1991
01/10/2018,1499
01/11/2018,1568
01/12/2018,1227
01/01/2019,1716
01/02/2019,1734
01/03/2019,1507
01/04/2019,1504
01/05/2019,1918
01/06/2019,1693
01/07/2019,1997
01/08/2019,1373
01/09/2019,1468
01/10/2019,1567
01/11/2019,1792
01/12/2019,1628
