FECHA,TARGET
01/01/2003,901
01/02/2003,825
01/03/2003,922
01/04/2003,1192
01/05/2003,998
01/06/2003,1222
01/07/2003,838
01/08/2003,789
01/09/2003,910
01/10/2003,1100
01/11/2003,888
01/12/2003,798
01/01/2004,1034
01/02/2004,871
01/03/2004,860
01/04/2004,1032
01/05/2004,937
01/06/2004,1076
01/07/2004,738
01/08/2004,824
01/09/2004,849
01/10/2004,914
01/11/2004,830
01/12/2004,851
01/01/2005,945
01/02/2005,994
01/03/2005,990
01/04/2005,800
01/05/2005,1019
01/06/2005,949
01/07/2005,788
01/08/2005,874
01/09/2005,1024
01/10/2005,791
01/11/2005,1199
01/12/2005,690
01/01/2006,1033
01/02/2006,876
01/03/2006,1027
01/04/2006,939
01/05/2006,1313
01/06/2006,1372
01/07/2006,909
01/08/2006,903
01/09/2006,1235
01/10/2006,954
01/11/2006,1238
01/12/2006,950
01/01/2007,1257
01/02/2007,1178
01/03/2007,1146
01/04/2007,994
01/05/2007,1340
01/06/2007,1292
01/07/2007,810
01/08/2007,1153
01/09/2007,871
01/10/2007,924
01/11/2007,781
01/12/2007,881
01/01/2008,805
01/02/2008,909
01/03/2008,1326
01/04/2008,931
01/05/2008,730
01/06/2008,1006
01/07/2008,913
01/08/2008,645
01/09/2008,720
01/10/2008,1328
01/11/2008,630
01/12/2008,611
01/01/2009,737
01/02/2009,646
01/03/2009,582
01/04/2009,697
01/05/2009,766
01/06/2009,991
01/07/2009,925
01/08/2009,616
01/09/2009,708
01/10/2009,515
01/11/2009,616
01/12/2009,765
01/01/2010,818
01/02/2010,658
01/03/2010,672
01/04/2010,571
01/05/2010,883
01/06/2010,805
01/07/2010,702
01/08/2010,530
01/09/2010,640
01/10/2010,411
01/11/2010,873
01/12/2010,457
01/01/2011,699
01/02/2011,599
01/03/2011,524
01/04/2011,411
01/05/2011,499
01/06/2011,368
01/07/2011,413
01/08/2011,395
01/09/2011,314
01/10/2011,279
01/11/2011,327
01/12/2011,263
01/01/2012,571
01/02/2012,272
01/03/2012,455
01/04/2012,234
01/05/2012,317
01/06/2012,191
01/07/2012,249
01/08/2012,209
01/09/2012,270
01/10/2012,166
01/11/2012,175
01/12/2012,161
01/01/2013,254
01/02/2013,257
01/03/2013,140
01/04/2013,140
01/05/2013,147
01/06/2013,153
01/07/2013,116
01/08/2013,214
01/09/2013,132
01/10/2013,137
01/11/2013,129
01/12/2013,125
01/01/2014,189
01/02/2014,155
01/03/2014,148
01/04/2014,158
01/05/2014,192
01/06/2014,169
01/07/2014,156
01/08/2014,149
01/09/2014,136
01/10/2014,119
01/11/2014,164
01/12/2014,147
01/01/2015,172
01/02/2015,183
01/03/2015,201
01/04/2015,175
01/05/2015,175
01/06/2015,240
01/07/2015,217
01/08/2015,181
01/09/2015,205
01/10/2015,180
01/11/2015,162
01/12/2015,158
01/01/2016,207
01/02/2016,259
01/03/2016,217
01/04/2016,201
01/05/2016,242
01/06/2016,290
01/07/2016,217
01/08/2016,218
01/09/2016,258
01/10/2016,245
01/11/2016,182
01/12/2016,197
01/01/2017,257
01/02/2017,233
01/03/2017,274
01/04/2017,224
01/05/2017,253
01/06/2017,277
01/07/2017,260
01/08/2017,273
01/09/2017,407
01/10/2017,212
01/11/2017,269
01/12/2017,184
01/01/2018,335
01/02/2018,268
01/03/2018,293
01/04/2018,251
01/05/2018,224
01/06/2018,317
01/07/2018,275
01/08/2018,260
01/09/2018,319
01/10/2018,320
01/11/2018,327
01/12/2018,165
01/01/2019,287
01/02/2019,271
01/03/2019,292
01/04/2019,272
01/05/2019,357
01/06/2019,320
01/07/2019,372
01/08/2019,220
01/09/2019,258
01/10/2019,267
01/11/2019,263
01/12/2019,223
