FECHA,TARGET
01/01/2003,2729
01/02/2003,1748
01/03/2003,1927
01/04/2003,1428
01/05/2003,1764
01/06/2003,1441
01/07/2003,1756
01/08/2003,1444
01/09/2003,1789
01/10/2003,2330
01/11/2003,1719
01/12/2003,1087
01/01/2004,2129
01/02/2004,1652
01/03/2004,2879
01/04/2004,2026
01/05/2004,2918
01/06/2004,2213
01/07/2004,1609
01/08/2004,1987
01/09/2004,2041
01/10/2004,2505
01/11/2004,3013
01/12/2004,2429
01/01/2005,2871
01/02/2005,3016
01/03/2005,2269
01/04/2005,3127
01/05/2005,2258
01/06/2005,2478
01/07/2005,3125
01/08/2005,1594
01/09/2005,3479
01/10/2005,2958
01/11/2005,3380
01/12/2005,2331
01/01/2006,2850
01/02/2006,2729
01/03/2006,3723
01/04/2006,3446
01/05/2006,4127
01/06/2006,3227
01/07/2006,2969
01/08/2006,2196
01/09/2006,2782
01/10/2006,3707
01/11/2006,3694
01/12/2006,2309
01/01/2007,3256
01/02/2007,2946
01/03/2007,3808
01/04/2007,3424
01/05/2007,3995
01/06/2007,2748
01/07/2007,2866
01/08/2007,2924
01/09/2007,2416
01/10/2007,2972
01/11/2007,2310
01/12/2007,1754
01/01/2008,2218
01/02/2008,1771
01/03/2008,1704
01/04/2008,2106
01/05/2008,1548
01/06/2008,1303
01/07/2008,1232
01/08/2008,841
01/09/2008,1395
01/10/2008,1646
01/11/2008,1028
01/12/2008,977
01/01/2009,990
01/02/2009,875
01/03/2009,878
01/04/2009,1027
01/05/2009,1045
01/06/2009,1162
01/07/2009,960
01/08/2009,951
01/09/2009,1695
01/10/2009,1184
01/11/2009,1100
01/12/2009,1022
01/01/2010,926
01/02/2010,1415
01/03/2010,958
01/04/2010,1123
01/05/2010,1161
01/06/2010,892
01/07/2010,802
01/08/2010,892
01/09/2010,1156
01/10/2010,812
01/11/2010,859
01/12/2010,801
01/01/2011,1100
01/02/2011,840
01/03/2011,796
01/04/2011,523
01/05/2011,663
01/06/2011,476
01/07/2011,632
01/08/2011,645
01/09/2011,599
01/10/2011,462
01/11/2011,864
01/12/2011,440
01/01/2012,499
01/02/2012,626
01/03/2012,457
01/04/2012,310
01/05/2012,522
01/06/2012,623
01/07/2012,461
01/08/2012,447
01/09/2012,487
01/10/2012,521
01/11/2012,352
01/12/2012,312
01/01/2013,571
01/02/2013,691
01/03/2013,262
01/04/2013,238
01/05/2013,315
01/06/2013,480
01/07/2013,202
01/08/2013,188
01/09/2013,270
01/10/2013,258
01/11/2013,388
01/12/2013,198
01/01/2014,285
01/02/2014,325
01/03/2014,273
01/04/2014,269
01/05/2014,280
01/06/2014,262
01/07/2014,285
01/08/2014,300
01/09/2014,308
01/10/2014,327
01/11/2014,321
01/12/2014,336
01/01/2015,334
01/02/2015,350
01/03/2015,303
01/04/2015,268
01/05/2015,285
01/06/2015,309
01/07/2015,267
01/08/2015,369
01/09/2015,405
01/10/2015,251
01/11/2015,355
01/12/2015,342
01/01/2016,440
01/02/2016,326
01/03/2016,356
01/04/2016,330
01/05/2016,354
01/06/2016,396
01/07/2016,253
01/08/2016,259
01/09/2016,421
01/10/2016,410
01/11/2016,455
01/12/2016,286
01/01/2017,359
01/02/2017,333
01/03/2017,505
01/04/2017,341
01/05/2017,469
01/06/2017,438
01/07/2017,329
01/08/2017,382
01/09/2017,463
01/10/2017,435
01/11/2017,513
01/12/2017,339
01/01/2018,453
01/02/2018,428
01/03/2018,370
01/04/2018,380
01/05/2018,412
01/06/2018,418
01/07/2018,397
01/08/2018,491
01/09/2018,530
01/10/2018,642
01/11/2018,443
01/12/2018,401
01/01/2019,477
01/02/2019,525
01/03/2019,548
01/04/2019,556
01/05/2019,531
01/06/2019,512
01/07/2019,539
01/08/2019,427
01/09/2019,533
01/10/2019,602
01/11/2019,475
01/12/2019,422
