FECHA,TARGET
01/01/2003,1633
01/02/2003,1622
01/03/2003,1454
01/04/2003,1628
01/05/2003,1661
01/06/2003,1640
01/07/2003,1708
01/08/2003,1584
01/09/2003,1847
01/10/2003,1802
01/11/2003,1703
01/12/2003,1463
01/01/2004,1771
01/02/2004,1691
01/03/2004,1804
01/04/2004,1328
01/05/2004,1923
01/06/2004,2062
01/07/2004,1701
01/08/2004,1709
01/09/2004,1932
01/10/2004,1414
01/11/2004,1800
01/12/2004,1416
01/01/2005,1630
01/02/2005,1676
01/03/2005,2114
01/04/2005,1954
01/05/2005,2106
01/06/2005,2365
01/07/2005,1596
01/08/2005,2013
01/09/2005,2076
01/10/2005,1783
01/11/2005,2177
01/12/2005,1645
01/01/2006,2273
01/02/2006,2210
01/03/2006,2300
01/04/2006,1529
01/05/2006,2413
01/06/2006,1986
01/07/2006,1703
01/08/2006,2045
01/09/2006,2072
01/10/2006,1898
01/11/2006,1787
01/12/2006,1530
01/01/2007,2086
01/02/2007,1848
01/03/2007,1737
01/04/2007,1388
01/05/2007,1900
01/06/2007,1569
01/07/2007,1444
01/08/2007,1788
01/09/2007,1514
01/10/2007,1500
01/11/2007,1320
01/12/2007,1132
01/01/2008,1735
01/02/2008,1337
01/03/2008,1060
01/04/2008,1499
01/05/2008,1739
01/06/2008,1491
01/07/2008,1408
01/08/2008,1144
01/09/2008,1375
01/10/2008,1127
01/11/2008,1174
01/12/2008,1240
01/01/2009,1113
01/02/2009,950
01/03/2009,923
01/04/2009,1161
01/05/2009,1099
01/06/2009,1488
01/07/2009,1172
01/08/2009,1188
01/09/2009,1184
01/10/2009,951
01/11/2009,938
01/12/2009,985
01/01/2010,1089
01/02/2010,1419
01/03/2010,1319
01/04/2010,1014
01/05/2010,1338
01/06/2010,1327
01/07/2010,1282
01/08/2010,1353
01/09/2010,1042
01/10/2010,746
01/11/2010,971
01/12/2010,1131
01/01/2011,1098
01/02/2011,1088
01/03/2011,1124
01/04/2011,982
01/05/2011,1337
01/06/2011,888
01/07/2011,675
01/08/2011,715
01/09/2011,629
01/10/2011,499
01/11/2011,708
01/12/2011,788
01/01/2012,792
01/02/2012,588
01/03/2012,455
01/04/2012,431
01/05/2012,582
01/06/2012,525
01/07/2012,531
01/08/2012,483
01/09/2012,582
01/10/2012,399
01/11/2012,594
01/12/2012,467
01/01/2013,782
01/02/2013,538
01/03/2013,334
01/04/2013,417
01/05/2013,418
01/06/2013,247
01/07/2013,493
01/08/2013,311
01/09/2013,400
01/10/2013,370
01/11/2013,360
01/12/2013,320
01/01/2014,520
01/02/2014,543
01/03/2014,472
01/04/2014,492
01/05/2014,485
01/06/2014,450
01/07/2014,618
01/08/2014,424
01/09/2014,553
01/10/2014,444
01/11/2014,434
01/12/2014,402
01/01/2015,571
01/02/2015,552
01/03/2015,486
01/04/2015,563
01/05/2015,466
01/06/2015,805
01/07/2015,625
01/08/2015,598
01/09/2015,744
01/10/2015,822
01/11/2015,626
01/12/2015,501
01/01/2016,639
01/02/2016,816
01/03/2016,828
01/04/2016,730
01/05/2016,757
01/06/2016,889
01/07/2016,414
01/08/2016,651
01/09/2016,888
01/10/2016,544
01/11/2016,762
01/12/2016,678
01/01/2017,764
01/02/2017,732
01/03/2017,887
01/04/2017,538
01/05/2017,772
01/06/2017,865
01/07/2017,598
01/08/2017,778
01/09/2017,893
01/10/2017,632
01/11/2017,687
01/12/2017,477
01/01/2018,760
01/02/2018,856
01/03/2018,716
01/04/2018,781
01/05/2018,894
01/06/2018,844
01/07/2018,690
01/08/2018,918
01/09/2018,1017
01/10/2018,782
01/11/2018,743
01/12/2018,569
01/01/2019,987
01/02/2019,855
01/03/2019,676
01/04/2019,690
01/05/2019,914
01/06/2019,734
01/07/2019,805
01/08/2019,704
01/09/2019,767
01/10/2019,720
01/11/2019,748
01/12/2019,620
