FECHA,TARGET
01/01/2003,370
01/02/2003,375
01/03/2003,222
01/04/2003,205
01/05/2003,268
01/06/2003,221
01/07/2003,338
01/08/2003,250
01/09/2003,201
01/10/2003,264
01/11/2003,189
01/12/2003,244
01/01/2004,220
01/02/2004,219
01/03/2004,304
01/04/2004,228
01/05/2004,293
01/06/2004,212
01/07/2004,213
01/08/2004,303
01/09/2004,248
01/10/2004,301
01/11/2004,256
01/12/2004,283
01/01/2005,269
01/02/2005,235
01/03/2005,323
01/04/2005,231
01/05/2005,245
01/06/2005,316
01/07/2005,296
01/08/2005,247
01/09/2005,366
01/10/2005,260
01/11/2005,309
01/12/2005,314
01/01/2006,295
01/02/2006,235
01/03/2006,203
01/04/2006,202
01/05/2006,331
01/06/2006,215
01/07/2006,158
01/08/2006,175
01/09/2006,329
01/10/2006,224
01/11/2006,304
01/12/2006,306
01/01/2007,301
01/02/2007,341
01/03/2007,289
01/04/2007,202
01/05/2007,225
01/06/2007,270
01/07/2007,278
01/08/2007,313
01/09/2007,228
01/10/2007,228
01/11/2007,222
01/12/2007,166
01/01/2008,356
01/02/2008,238
01/03/2008,167
01/04/2008,222
01/05/2008,243
01/06/2008,194
01/07/2008,420
01/08/2008,206
01/09/2008,389
01/10/2008,412
01/11/2008,223
01/12/2008,175
01/01/2009,259
01/02/2009,228
01/03/2009,246
01/04/2009,244
01/05/2009,147
01/06/2009,285
01/07/2009,136
01/08/2009,124
01/09/2009,101
01/10/2009,166
01/11/2009,188
01/12/2009,200
01/01/2010,123
01/02/2010,119
01/03/2010,172
01/04/2010,145
01/05/2010,145
01/06/2010,182
01/07/2010,243
01/08/2010,121
01/09/2010,102
01/10/2010,118
01/11/2010,157
01/12/2010,172
01/01/2011,196
01/02/2011,150
01/03/2011,216
01/04/2011,72
01/05/2011,96
01/06/2011,86
01/07/2011,79
01/08/2011,76
01/09/2011,68
01/10/2011,75
01/11/2011,78
01/12/2011,144
01/01/2012,83
01/02/2012,122
01/03/2012,99
01/04/2012,65
01/05/2012,80
01/06/2012,58
01/07/2012,92
01/08/2012,53
01/09/2012,103
01/10/2012,50
01/11/2012,45
01/12/2012,82
01/01/2013,86
01/02/2013,91
01/03/2013,73
01/04/2013,89
01/05/2013,53
01/06/2013,35
01/07/2013,27
01/08/2013,31
01/09/2013,32
01/10/2013,59
01/11/2013,50
01/12/2013,23
01/01/2014,85
01/02/2014,45
01/03/2014,60
01/04/2014,40
01/05/2014,39
01/06/2014,51
01/07/2014,49
01/08/2014,52
01/09/2014,38
01/10/2014,36
01/11/2014,50
01/12/2014,40
01/01/2015,58
01/02/2015,52
01/03/2015,44
01/04/2015,37
01/05/2015,96
01/06/2015,38
01/07/2015,70
01/08/2015,46
01/09/2015,47
01/10/2015,53
01/11/2015,47
01/12/2015,35
01/01/2016,50
01/02/2016,58
01/03/2016,40
01/04/2016,63
01/05/2016,65
01/06/2016,65
01/07/2016,38
01/08/2016,54
01/09/2016,49
01/10/2016,48
01/11/2016,41
01/12/2016,45
01/01/2017,69
01/02/2017,51
01/03/2017,64
01/04/2017,35
01/05/2017,64
01/06/2017,50
01/07/2017,55
01/08/2017,64
01/09/2017,46
01/10/2017,55
01/11/2017,66
01/12/2017,39
01/01/2018,50
01/02/2018,41
01/03/2018,60
01/04/2018,68
01/05/2018,48
01/06/2018,63
01/07/2018,56
01/08/2018,70
01/09/2018,46
01/10/2018,63
01/11/2018,38
01/12/2018,38
01/01/2019,52
01/02/2019,57
01/03/2019,52
01/04/2019,49
01/05/2019,68
01/06/2019,65
01/07/2019,69
01/08/2019,18
01/09/2019,31
01/10/2019,44
01/11/2019,44
01/12/2019,32
