FECHA,TARGET
01/01/2003,2283
01/02/2003,1548
01/03/2003,1722
01/04/2003,1680
01/05/2003,1974
01/06/2003,1477
01/07/2003,1519
01/08/2003,1633
01/09/2003,1815
01/10/2003,1740
01/11/2003,1336
01/12/2003,1118
01/01/2004,1500
01/02/2004,1867
01/03/2004,1777
01/04/2004,2002
01/05/2004,1900
01/06/2004,1651
01/07/2004,1489
01/08/2004,1727
01/09/2004,1859
01/10/2004,1616
01/11/2004,1763
01/12/2004,1692
01/01/2005,2194
01/02/2005,1881
01/03/2005,1808
01/04/2005,1879
01/05/2005,2236
01/06/2005,2254
01/07/2005,1974
01/08/2005,1947
01/09/2005,2179
01/10/2005,2042
01/11/2005,2043
01/12/2005,1586
01/01/2006,2382
01/02/2006,1933
01/03/2006,2201
01/04/2006,1902
01/05/2006,2462
01/06/2006,2427
01/07/2006,2382
01/08/2006,2422
01/09/2006,1912
01/10/2006,1869
01/11/2006,1927
01/12/2006,1555
01/01/2007,2392
01/02/2007,2165
01/03/2007,2354
01/04/2007,1627
01/05/2007,2651
01/06/2007,2057
01/07/2007,1982
01/08/2007,2110
01/09/2007,1598
01/10/2007,1744
01/11/2007,1984
01/12/2007,1682
01/01/2008,1531
01/02/2008,1296
01/03/2008,1436
01/04/2008,1888
01/05/2008,1487
01/06/2008,1663
01/07/2008,1561
01/08/2008,1402
01/09/2008,1496
01/10/2008,1008
01/11/2008,1037
01/12/2008,1624
01/01/2009,929
01/02/2009,1351
01/03/2009,1765
01/04/2009,1287
01/05/2009,1672
01/06/2009,1720
01/07/2009,1457
01/08/2009,1140
01/09/2009,1250
01/10/2009,1059
01/11/2009,1233
01/12/2009,1077
01/01/2010,1177
01/02/2010,1027
01/03/2010,1163
01/04/2010,1495
01/05/2010,1226
01/06/2010,1006
01/07/2010,985
01/08/2010,1045
01/09/2010,1574
01/10/2010,944
01/11/2010,767
01/12/2010,624
01/01/2011,1469
01/02/2011,922
01/03/2011,781
01/04/2011,570
01/05/2011,911
01/06/2011,546
01/07/2011,555
01/08/2011,803
01/09/2011,476
01/10/2011,363
01/11/2011,842
01/12/2011,505
01/01/2012,573
01/02/2012,508
01/03/2012,483
01/04/2012,453
01/05/2012,457
01/06/2012,636
01/07/2012,636
01/08/2012,402
01/09/2012,451
01/10/2012,397
01/11/2012,658
01/12/2012,616
01/01/2013,784
01/02/2013,567
01/03/2013,566
01/04/2013,416
01/05/2013,496
01/06/2013,444
01/07/2013,276
01/08/2013,293
01/09/2013,445
01/10/2013,292
01/11/2013,247
01/12/2013,344
01/01/2014,385
01/02/2014,286
01/03/2014,352
01/04/2014,358
01/05/2014,495
01/06/2014,328
01/07/2014,401
01/08/2014,503
01/09/2014,509
01/10/2014,374
01/11/2014,315
01/12/2014,334
01/01/2015,491
01/02/2015,457
01/03/2015,480
01/04/2015,411
01/05/2015,527
01/06/2015,518
01/07/2015,456
01/08/2015,423
01/09/2015,434
01/10/2015,310
01/11/2015,320
01/12/2015,429
01/01/2016,463
01/02/2016,545
01/03/2016,433
01/04/2016,508
01/05/2016,593
01/06/2016,539
01/07/2016,439
01/08/2016,708
01/09/2016,529
01/10/2016,623
01/11/2016,555
01/12/2016,391
01/01/2017,584
01/02/2017,504
01/03/2017,507
01/04/2017,370
01/05/2017,759
01/06/2017,478
01/07/2017,822
01/08/2017,496
01/09/2017,630
01/10/2017,418
01/11/2017,499
01/12/2017,425
01/01/2018,581
01/02/2018,515
01/03/2018,660
01/04/2018,591
01/05/2018,636
01/06/2018,790
01/07/2018,555
01/08/2018,533
01/09/2018,586
01/10/2018,573
01/11/2018,530
01/12/2018,410
01/01/2019,696
01/02/2019,573
01/03/2019,524
01/04/2019,614
01/05/2019,710
01/06/2019,687
01/07/2019,728
01/08/2019,361
01/09/2019,353
01/10/2019,533
01/11/2019,530
01/12/2019,520
