FECHA,TARGET
01/01/2003,180
01/02/2003,129
01/03/2003,131
01/04/2003,177
01/05/2003,147
01/06/2003,131
01/07/2003,248
01/08/2003,139
01/09/2003,162
01/10/2003,198
01/11/2003,163
01/12/2003,130
01/01/2004,309
01/02/2004,157
01/03/2004,236
01/04/2004,182
01/05/2004,279
01/06/2004,152
01/07/2004,154
01/08/2004,110
01/09/2004,90
01/10/2004,138
01/11/2004,139
01/12/2004,76
01/01/2005,498
01/02/2005,233
01/03/2005,250
01/04/2005,248
01/05/2005,270
01/06/2005,240
01/07/2005,289
01/08/2005,186
01/09/2005,153
01/10/2005,364
01/11/2005,287
01/12/2005,243
01/01/2006,473
01/02/2006,166
01/03/2006,403
01/04/2006,348
01/05/2006,409
01/06/2006,234
01/07/2006,265
01/08/2006,343
01/09/2006,321
01/10/2006,292
01/11/2006,249
01/12/2006,296
01/01/2007,384
01/02/2007,322
01/03/2007,325
01/04/2007,280
01/05/2007,305
01/06/2007,327
01/07/2007,335
01/08/2007,325
01/09/2007,323
01/10/2007,350
01/11/2007,348
01/12/2007,300
01/01/2008,273
01/02/2008,522
01/03/2008,244
01/04/2008,411
01/05/2008,475
01/06/2008,374
01/07/2008,440
01/08/2008,398
01/09/2008,379
01/10/2008,284
01/11/2008,280
01/12/2008,169
01/01/2009,316
01/02/2009,408
01/03/2009,195
01/04/2009,237
01/05/2009,171
01/06/2009,317
01/07/2009,221
01/08/2009,102
01/09/2009,324
01/10/2009,166
01/11/2009,199
01/12/2009,166
01/01/2010,233
01/02/2010,279
01/03/2010,175
01/04/2010,162
01/05/2010,341
01/06/2010,196
01/07/2010,181
01/08/2010,114
01/09/2010,149
01/10/2010,197
01/11/2010,149
01/12/2010,185
01/01/2011,235
01/02/2011,204
01/03/2011,124
01/04/2011,192
01/05/2011,178
01/06/2011,132
01/07/2011,98
01/08/2011,67
01/09/2011,91
01/10/2011,106
01/11/2011,113
01/12/2011,141
01/01/2012,72
01/02/2012,79
01/03/2012,82
01/04/2012,93
01/05/2012,114
01/06/2012,132
01/07/2012,83
01/08/2012,69
01/09/2012,66
01/10/2012,102
01/11/2012,91
01/12/2012,50
01/01/2013,122
01/02/2013,103
01/03/2013,81
01/04/2013,49
01/05/2013,59
01/06/2013,54
01/07/2013,40
01/08/2013,41
01/09/2013,50
01/10/2013,52
01/11/2013,32
01/12/2013,32
01/01/2014,53
01/02/2014,58
01/03/2014,31
01/04/2014,23
01/05/2014,37
01/06/2014,44
01/07/2014,46
01/08/2014,21
01/09/2014,32
01/10/2014,28
01/11/2014,22
01/12/2014,38
01/01/2015,52
01/02/2015,44
01/03/2015,44
01/04/2015,32
01/05/2015,42
01/06/2015,43
01/07/2015,37
01/08/2015,38
01/09/2015,53
01/10/2015,32
01/11/2015,44
01/12/2015,47
01/01/2016,37
01/02/2016,60
01/03/2016,41
01/04/2016,48
01/05/2016,47
01/06/2016,45
01/07/2016,33
01/08/2016,34
01/09/2016,58
01/10/2016,50
01/11/2016,57
01/12/2016,40
01/01/2017,49
01/02/2017,65
01/03/2017,48
01/04/2017,32
01/05/2017,45
01/06/2017,47
01/07/2017,55
01/08/2017,32
01/09/2017,68
01/10/2017,52
01/11/2017,41
01/12/2017,45
01/01/2018,61
01/02/2018,59
01/03/2018,56
01/04/2018,53
01/05/2018,44
01/06/2018,64
01/07/2018,55
01/08/2018,44
01/09/2018,65
01/10/2018,50
01/11/2018,45
01/12/2018,51
01/01/2019,67
01/02/2019,45
01/03/2019,61
01/04/2019,66
01/05/2019,65
01/06/2019,71
01/07/2019,74
01/08/2019,47
01/09/2019,17
01/10/2019,55
01/11/2019,65
01/12/2019,67
