FECHA,TARGET
01/01/2003,1304
01/02/2003,1262
01/03/2003,1390
01/04/2003,1478
01/05/2003,1550
01/06/2003,1163
01/07/2003,1512
01/08/2003,1402
01/09/2003,1970
01/10/2003,1920
01/11/2003,1750
01/12/2003,1666
01/01/2004,1552
01/02/2004,1587
01/03/2004,1691
01/04/2004,1710
01/05/2004,1741
01/06/2004,1556
01/07/2004,1462
01/08/2004,1774
01/09/2004,1305
01/10/2004,1207
01/11/2004,1591
01/12/2004,1441
01/01/2005,1885
01/02/2005,1890
01/03/2005,1556
01/04/2005,1680
01/05/2005,1480
01/06/2005,1414
01/07/2005,1163
01/08/2005,1450
01/09/2005,1888
01/10/2005,1442
01/11/2005,1712
01/12/2005,1463
01/01/2006,1737
01/02/2006,1816
01/03/2006,1481
01/04/2006,1554
01/05/2006,1692
01/06/2006,1658
01/07/2006,1199
01/08/2006,1453
01/09/2006,1366
01/10/2006,1497
01/11/2006,1839
01/12/2006,915
01/01/2007,1731
01/02/2007,1331
01/03/2007,1711
01/04/2007,1244
01/05/2007,1410
01/06/2007,1493
01/07/2007,1507
01/08/2007,1339
01/09/2007,1714
01/10/2007,1148
01/11/2007,1497
01/12/2007,1530
01/01/2008,1861
01/02/2008,1480
01/03/2008,1359
01/04/2008,1789
01/05/2008,1322
01/06/2008,1473
01/07/2008,1182
01/08/2008,1174
01/09/2008,1233
01/10/2008,1379
01/11/2008,1059
01/12/2008,1001
01/01/2009,1028
01/02/2009,1201
01/03/2009,1409
01/04/2009,1253
01/05/2009,1103
01/06/2009,1369
01/07/2009,1409
01/08/2009,1099
01/09/2009,1324
01/10/2009,1128
01/11/2009,1189
01/12/2009,1130
01/01/2010,1241
01/02/2010,1101
01/03/2010,1232
01/04/2010,1413
01/05/2010,969
01/06/2010,1426
01/07/2010,1184
01/08/2010,1281
01/09/2010,888
01/10/2010,944
01/11/2010,1022
01/12/2010,1023
01/01/2011,992
01/02/2011,1025
01/03/2011,828
01/04/2011,481
01/05/2011,659
01/06/2011,662
01/07/2011,794
01/08/2011,910
01/09/2011,690
01/10/2011,666
01/11/2011,583
01/12/2011,562
01/01/2012,613
01/02/2012,508
01/03/2012,647
01/04/2012,341
01/05/2012,447
01/06/2012,661
01/07/2012,452
01/08/2012,382
01/09/2012,397
01/10/2012,422
01/11/2012,302
01/12/2012,284
01/01/2013,520
01/02/2013,534
01/03/2013,325
01/04/2013,405
01/05/2013,376
01/06/2013,214
01/07/2013,237
01/08/2013,253
01/09/2013,231
01/10/2013,333
01/11/2013,290
01/12/2013,376
01/01/2014,461
01/02/2014,268
01/03/2014,404
01/04/2014,266
01/05/2014,320
01/06/2014,437
01/07/2014,290
01/08/2014,287
01/09/2014,429
01/10/2014,381
01/11/2014,302
01/12/2014,311
01/01/2015,449
01/02/2015,388
01/03/2015,394
01/04/2015,451
01/05/2015,418
01/06/2015,331
01/07/2015,364
01/08/2015,400
01/09/2015,348
01/10/2015,330
01/11/2015,399
01/12/2015,361
01/01/2016,365
01/02/2016,405
01/03/2016,348
01/04/2016,394
01/05/2016,402
01/06/2016,435
01/07/2016,407
01/08/2016,268
01/09/2016,334
01/10/2016,268
01/11/2016,447
01/12/2016,346
01/01/2017,422
01/02/2017,465
01/03/2017,421
01/04/2017,380
01/05/2017,450
01/06/2017,475
01/07/2017,406
01/08/2017,404
01/09/2017,462
01/10/2017,422
01/11/2017,380
01/12/2017,360
01/01/2018,549
01/02/2018,553
01/03/2018,384
01/04/2018,452
01/05/2018,422
01/06/2018,506
01/07/2018,434
01/08/2018,507
01/09/2018,419
01/10/2018,409
01/11/2018,379
01/12/2018,335
01/01/2019,492
01/02/2019,435
01/03/2019,451
01/04/2019,462
01/05/2019,517
01/06/2019,417
01/07/2019,633
01/08/2019,297
01/09/2019,305
01/10/2019,425
01/11/2019,417
01/12/2019,413
