FECHA,TARGET
01/01/2003,889
01/02/2003,818
01/03/2003,837
01/04/2003,857
01/05/2003,831
01/06/2003,737
01/07/2003,600
01/08/2003,518
01/09/2003,844
01/10/2003,966
01/11/2003,828
01/12/2003,729
01/01/2004,773
01/02/2004,818
01/03/2004,719
01/04/2004,717
01/05/2004,1052
01/06/2004,723
01/07/2004,692
01/08/2004,456
01/09/2004,792
01/10/2004,889
01/11/2004,876
01/12/2004,619
01/01/2005,1124
01/02/2005,917
01/03/2005,939
01/04/2005,1077
01/05/2005,1080
01/06/2005,1089
01/07/2005,929
01/08/2005,775
01/09/2005,1243
01/10/2005,971
01/11/2005,1124
01/12/2005,939
01/01/2006,1291
01/02/2006,1146
01/03/2006,1243
01/04/2006,943
01/05/2006,1222
01/06/2006,1628
01/07/2006,1070
01/08/2006,1052
01/09/2006,1124
01/10/2006,1224
01/11/2006,1227
01/12/2006,979
01/01/2007,1526
01/02/2007,1132
01/03/2007,1043
01/04/2007,985
01/05/2007,1142
01/06/2007,2059
01/07/2007,1361
01/08/2007,1277
01/09/2007,1698
01/10/2007,1743
01/11/2007,1326
01/12/2007,718
01/01/2008,1110
01/02/2008,994
01/03/2008,1030
01/04/2008,1283
01/05/2008,1223
01/06/2008,1198
01/07/2008,1331
01/08/2008,950
01/09/2008,606
01/10/2008,664
01/11/2008,536
01/12/2008,830
01/01/2009,636
01/02/2009,942
01/03/2009,713
01/04/2009,724
01/05/2009,858
01/06/2009,765
01/07/2009,743
01/08/2009,611
01/09/2009,597
01/10/2009,658
01/11/2009,744
01/12/2009,526
01/01/2010,821
01/02/2010,607
01/03/2010,655
01/04/2010,734
01/05/2010,680
01/06/2010,842
01/07/2010,759
01/08/2010,641
01/09/2010,504
01/10/2010,577
01/11/2010,631
01/12/2010,634
01/01/2011,615
01/02/2011,653
01/03/2011,704
01/04/2011,415
01/05/2011,430
01/06/2011,449
01/07/2011,332
01/08/2011,276
01/09/2011,310
01/10/2011,315
01/11/2011,330
01/12/2011,335
01/01/2012,300
01/02/2012,315
01/03/2012,296
01/04/2012,271
01/05/2012,300
01/06/2012,216
01/07/2012,237
01/08/2012,306
01/09/2012,199
01/10/2012,264
01/11/2012,206
01/12/2012,217
01/01/2013,343
01/02/2013,195
01/03/2013,150
01/04/2013,220
01/05/2013,183
01/06/2013,193
01/07/2013,159
01/08/2013,128
01/09/2013,145
01/10/2013,151
01/11/2013,144
01/12/2013,132
01/01/2014,228
01/02/2014,157
01/03/2014,160
01/04/2014,154
01/05/2014,196
01/06/2014,301
01/07/2014,221
01/08/2014,186
01/09/2014,188
01/10/2014,198
01/11/2014,184
01/12/2014,185
01/01/2015,216
01/02/2015,167
01/03/2015,198
01/04/2015,195
01/05/2015,213
01/06/2015,263
01/07/2015,298
01/08/2015,231
01/09/2015,253
01/10/2015,226
01/11/2015,262
01/12/2015,243
01/01/2016,275
01/02/2016,278
01/03/2016,309
01/04/2016,333
01/05/2016,283
01/06/2016,293
01/07/2016,186
01/08/2016,247
01/09/2016,253
01/10/2016,247
01/11/2016,309
01/12/2016,271
01/01/2017,357
01/02/2017,285
01/03/2017,290
01/04/2017,253
01/05/2017,319
01/06/2017,294
01/07/2017,218
01/08/2017,309
01/09/2017,256
01/10/2017,304
01/11/2017,248
01/12/2017,201
01/01/2018,307
01/02/2018,255
01/03/2018,250
01/04/2018,314
01/05/2018,379
01/06/2018,306
01/07/2018,277
01/08/2018,462
01/09/2018,325
01/10/2018,268
01/11/2018,190
01/12/2018,221
01/01/2019,375
01/02/2019,341
01/03/2019,332
01/04/2019,313
01/05/2019,395
01/06/2019,342
01/07/2019,433
01/08/2019,189
01/09/2019,163
01/10/2019,310
01/11/2019,357
01/12/2019,290
