FECHA,TARGET
01/01/2003,1915
01/02/2003,2062
01/03/2003,2231
01/04/2003,1886
01/05/2003,2225
01/06/2003,2074
01/07/2003,2143
01/08/2003,1847
01/09/2003,2269
01/10/2003,2159
01/11/2003,2004
01/12/2003,2101
01/01/2004,2472
01/02/2004,2446
01/03/2004,2544
01/04/2004,2245
01/05/2004,2447
01/06/2004,2580
01/07/2004,2499
01/08/2004,2831
01/09/2004,2798
01/10/2004,2179
01/11/2004,2323
01/12/2004,2520
01/01/2005,2888
01/02/2005,3363
01/03/2005,3379
01/04/2005,3286
01/05/2005,3263
01/06/2005,3211
01/07/2005,2612
01/08/2005,2867
01/09/2005,3461
01/10/2005,2911
01/11/2005,2976
01/12/2005,2337
01/01/2006,3306
01/02/2006,3164
01/03/2006,3786
01/04/2006,2788
01/05/2006,3860
01/06/2006,3378
01/07/2006,3162
01/08/2006,3123
01/09/2006,3134
01/10/2006,3061
01/11/2006,2924
01/12/2006,2407
01/01/2007,3432
01/02/2007,3205
01/03/2007,3351
01/04/2007,2657
01/05/2007,3662
01/06/2007,3288
01/07/2007,3001
01/08/2007,2505
01/09/2007,2647
01/10/2007,2785
01/11/2007,2396
01/12/2007,2096
01/01/2008,2155
01/02/2008,2447
01/03/2008,1656
01/04/2008,2270
01/05/2008,2003
01/06/2008,1714
01/07/2008,1738
01/08/2008,1384
01/09/2008,1789
01/10/2008,1380
01/11/2008,1100
01/12/2008,1333
01/01/2009,1442
01/02/2009,1235
01/03/2009,1505
01/04/2009,1743
01/05/2009,1585
01/06/2009,1731
01/07/2009,1854
01/08/2009,1463
01/09/2009,1429
01/10/2009,1304
01/11/2009,1460
01/12/2009,1498
01/01/2010,1438
01/02/2010,1578
01/03/2010,1406
01/04/2010,1842
01/05/2010,1528
01/06/2010,1500
01/07/2010,1918
01/08/2010,1681
01/09/2010,1434
01/10/2010,902
01/11/2010,1128
01/12/2010,963
01/01/2011,1617
01/02/2011,1193
01/03/2011,1047
01/04/2011,912
01/05/2011,1189
01/06/2011,1010
01/07/2011,880
01/08/2011,1068
01/09/2011,1359
01/10/2011,884
01/11/2011,708
01/12/2011,687
01/01/2012,912
01/02/2012,882
01/03/2012,643
01/04/2012,835
01/05/2012,851
01/06/2012,835
01/07/2012,861
01/08/2012,653
01/09/2012,774
01/10/2012,576
01/11/2012,576
01/12/2012,639
01/01/2013,695
01/02/2013,587
01/03/2013,445
01/04/2013,565
01/05/2013,583
01/06/2013,414
01/07/2013,481
01/08/2013,343
01/09/2013,403
01/10/2013,521
01/11/2013,480
01/12/2013,422
01/01/2014,497
01/02/2014,461
01/03/2014,451
01/04/2014,502
01/05/2014,549
01/06/2014,486
01/07/2014,496
01/08/2014,629
01/09/2014,454
01/10/2014,479
01/11/2014,408
01/12/2014,459
01/01/2015,611
01/02/2015,628
01/03/2015,610
01/04/2015,618
01/05/2015,556
01/06/2015,714
01/07/2015,1241
01/08/2015,616
01/09/2015,790
01/10/2015,775
01/11/2015,558
01/12/2015,617
01/01/2016,641
01/02/2016,678
01/03/2016,595
01/04/2016,776
01/05/2016,928
01/06/2016,1061
01/07/2016,734
01/08/2016,851
01/09/2016,937
01/10/2016,692
01/11/2016,853
01/12/2016,672
01/01/2017,847
01/02/2017,771
01/03/2017,1040
01/04/2017,654
01/05/2017,898
01/06/2017,967
01/07/2017,1026
01/08/2017,889
01/09/2017,857
01/10/2017,802
01/11/2017,749
01/12/2017,628
01/01/2018,1009
01/02/2018,980
01/03/2018,778
01/04/2018,1105
01/05/2018,964
01/06/2018,834
01/07/2018,883
01/08/2018,916
01/09/2018,801
01/10/2018,758
01/11/2018,884
01/12/2018,522
01/01/2019,874
01/02/2019,791
01/03/2019,1159
01/04/2019,857
01/05/2019,1248
01/06/2019,868
01/07/2019,937
01/08/2019,527
01/09/2019,618
01/10/2019,799
01/11/2019,737
01/12/2019,612
