FECHA,TARGET
01/01/2003,11870
01/02/2003,12086
01/03/2003,12006
01/04/2003,10651
01/05/2003,12814
01/06/2003,11112
01/07/2003,12943
01/08/2003,10622
01/09/2003,12025
01/10/2003,11934
01/11/2003,10195
01/12/2003,9807
01/01/2004,11482
01/02/2004,12510
01/03/2004,13475
01/04/2004,12022
01/05/2004,13251
01/06/2004,12537
01/07/2004,13348
01/08/2004,10866
01/09/2004,13977
01/10/2004,11657
01/11/2004,12289
01/12/2004,11089
01/01/2005,12664
01/02/2005,13306
01/03/2005,13170
01/04/2005,13737
01/05/2005,13756
01/06/2005,13813
01/07/2005,12557
01/08/2005,11257
01/09/2005,17175
01/10/2005,12096
01/11/2005,13012
01/12/2005,11107
01/01/2006,15782
01/02/2006,14564
01/03/2006,16643
01/04/2006,12272
01/05/2006,15557
01/06/2006,15018
01/07/2006,13947
01/08/2006,12241
01/09/2006,14296
01/10/2006,12657
01/11/2006,12137
01/12/2006,9350
01/01/2007,13900
01/02/2007,12410
01/03/2007,12509
01/04/2007,9939
01/05/2007,12428
01/06/2007,11202
01/07/2007,10869
01/08/2007,9114
01/09/2007,9710
01/10/2007,8968
01/11/2007,8577
01/12/2007,6662
01/01/2008,9007
01/02/2008,8244
01/03/2008,7064
01/04/2008,8127
01/05/2008,10363
01/06/2008,6183
01/07/2008,7159
01/08/2008,5106
01/09/2008,6028
01/10/2008,5301
01/11/2008,4975
01/12/2008,4226
01/01/2009,4628
01/02/2009,4435
01/03/2009,5021
01/04/2009,4439
01/05/2009,5736
01/06/2009,5984
01/07/2009,6210
01/08/2009,4417
01/09/2009,6773
01/10/2009,5398
01/11/2009,4400
01/12/2009,4748
01/01/2010,5486
01/02/2010,5976
01/03/2010,6200
01/04/2010,5527
01/05/2010,6097
01/06/2010,5725
01/07/2010,6465
01/08/2010,5466
01/09/2010,5679
01/10/2010,3776
01/11/2010,4483
01/12/2010,4191
01/01/2011,5250
01/02/2011,5847
01/03/2011,4601
01/04/2011,3635
01/05/2011,4541
01/06/2011,3412
01/07/2011,3199
01/08/2011,3040
01/09/2011,3210
01/10/2011,2190
01/11/2011,2855
01/12/2011,2069
01/01/2012,3079
01/02/2012,2858
01/03/2012,2616
01/04/2012,2467
01/05/2012,2854
01/06/2012,2680
01/07/2012,2543
01/08/2012,2106
01/09/2012,2398
01/10/2012,1737
01/11/2012,1722
01/12/2012,1808
01/01/2013,2632
01/02/2013,2384
01/03/2013,1838
01/04/2013,1906
01/05/2013,1895
01/06/2013,1524
01/07/2013,1670
01/08/2013,1000
01/09/2013,1665
01/10/2013,1649
01/11/2013,1200
01/12/2013,1005
01/01/2014,1759
01/02/2014,1738
01/03/2014,1709
01/04/2014,1841
01/05/2014,2111
01/06/2014,1777
01/07/2014,2117
01/08/2014,1435
01/09/2014,2110
01/10/2014,2008
01/11/2014,1672
01/12/2014,1679
01/01/2015,2604
01/02/2015,2419
01/03/2015,2338
01/04/2015,2384
01/05/2015,2207
01/06/2015,2012
01/07/2015,2452
01/08/2015,1900
01/09/2015,2634
01/10/2015,2278
01/11/2015,2420
01/12/2015,2392
01/01/2016,2675
01/02/2016,2776
01/03/2016,2674
01/04/2016,2938
01/05/2016,3062
01/06/2016,2942
01/07/2016,2566
01/08/2016,2464
01/09/2016,3492
01/10/2016,2618
01/11/2016,2708
01/12/2016,2255
01/01/2017,3183
01/02/2017,2919
01/03/2017,3474
01/04/2017,2542
01/05/2017,3769
01/06/2017,3371
01/07/2017,3448
01/08/2017,3099
01/09/2017,3965
01/10/2017,3129
01/11/2017,3288
01/12/2017,2124
01/01/2018,3756
01/02/2018,3426
01/03/2018,3435
01/04/2018,3685
01/05/2018,3784
01/06/2018,3737
01/07/2018,3983
01/08/2018,3295
01/09/2018,4016
01/10/2018,4481
01/11/2018,4227
01/12/2018,2566
01/01/2019,3848
01/02/2019,4162
01/03/2019,3962
01/04/2019,3507
01/05/2019,4543
01/06/2019,3509
01/07/2019,4030
01/08/2019,2462
01/09/2019,2780
01/10/2019,3866
01/11/2019,3497
01/12/2019,3095
