COD,NOMBRE
5001,MEDELLIN
5002,ABEJORRAL
5004,ABRIAQUI
5021,ALEJANDRIA
5030,AMAGA
5031,AMALFI
5034,ANDES
5036,ANGELOPOLIS
5038,ANGOSTURA
5040,ANORI
5042,SANTA FE DE ANTIOQUIA
5044,ANZA
5045,APARTADO
5051,ARBOLETES
5055,ARGELIA (ANTIOQUIA)
5059,ARMENIA (ANTIOQUIA)
5079,BARBOSA (ANTIOQUIA)
5086,BELMIRA
5088,BELLO
5091,BETANIA
5093,BETULIA (ANTIOQUIA)
5101,CIUDAD BOLIVAR
5107,BRICEÑO (ANTIOQUIA)
5113,BURITICA
5120,CACERES
5125,CAICEDO
5129,CALDAS (ANTIOQUIA)
5134,CAMPAMENTO
5138,CAÑASGORDAS
5142,CARACOLI
5145,CARAMANTA
5147,CAREPA
5148,EL CARMEN DE VIBORAL
5150,CAROLINA
5154,CAUCASIA
5172,CHIGORODO
5190,CISNEROS
5197,COCORNA
5206,CONCEPCION (ANTIOQUIA)
5209,CONCORDIA (ANTIOQUIA)
5212,COPACABANA
5234,DABEIBA
5237,DON MATIAS
5240,EBEJICO
5250,EL BAGRE
5264,ENTRERRIOS
5266,ENVIGADO
5282,FREDONIA
5284,FRONTINO
5306,GIRALDO
5308,GIRARDOTA
5310,GOMEZ PLATA
5313,GRANADA (ANTIOQUIA)
5315,GUADALUPE (ANTIOQUIA)
5318,GUARNE
5321,GUATAPE
5347,HELICONIA
5353,HISPANIA
5360,ITAGUI
5361,ITUANGO
5364,JARDIN
5368,JERICO (ANTIOQUIA)
5376,LA CEJA
5380,LA ESTRELLA
5390,LA PINTADA
5400,LA UNION (ANTIOQUIA)
5411,LIBORINA
5425,MACEO
5440,MARINILLA
5467,MONTEBELLO
5475,MURINDO
5480,MUTATA
5483,NARIÑO (ANTIOQUIA)
5490,NECOCLI
5495,NECHI
5501,OLAYA
5541,PEÑOL (ANTIOQUIA)
5543,PEQUE
5576,PUEBLORRICO (ANTIOQUIA)
5579,PUERTO BERRIO
5585,PUERTO NARE - LA MAGDALENA
5591,PUERTO TRIUNFO
5604,REMEDIOS
5607,RETIRO
5615,RIONEGRO (ANTIOQUIA)
5628,SABANALARGA (ANTIOQUIA)
5631,SABANETA
5642,SALGAR
5647,SAN ANDRES DE CUERQUIA (ANTIOQUIA)
5649,SAN CARLOS (ANTIOQUIA)
5652,SAN FRANCISCO (ANTIOQUIA)
5656,SAN JERONIMO
5658,SAN JOSE DE LA MONTAÑA (ANTIOQUIA)
5659,SAN JUAN DE URABA
5660,SAN LUIS (ANTIOQUIA)
5664,SAN PEDRO DE LOS MILAGROS
5665,SAN PEDRO DE URABA
5667,SAN RAFAEL
5670,SAN ROQUE
5674,SAN VICENTE (ANTIOQUIA)
5679,SANTA BARBARA (ANTIOQUIA)
5686,SANTA ROSA DE OSOS
5690,SANTO DOMINGO
5697,EL SANTUARIO (ANTIOQUIA)
5736,SEGOVIA
5756,SONSON
5761,SOPETRAN
5789,TAMESIS
5790,TARAZA
5792,TARSO
5809,TITIRIBI
5819,TOLEDO (ANTIOQUIA)
5837,TURBO
5842,URAMITA
5847,URRAO
5854,VALDIVIA
5856,VALPARAISO (ANTIOQUIA)
5858,VEGACHI
5861,VENECIA (ANTIOQUIA)
5873,VIGIA DEL FUERTE
5885,YALI
5887,YARUMAL
5890,YOLOMBO
5893,YONDO
5895,ZARAGOZA
5991,ALTAMIRA (ANTIOQUIA)
5992,SAN CRISTOBAL (ANTIOQUIA)
8001,BARRANQUILLA
8078,BARANOA
8137,CAMPO DE LA CRUZ
8141,CANDELARIA (ATLANTICO)
8296,GALAPA
8372,JUAN DE ACOSTA
8421,LURUACO
8433,MALAMBO
8436,MANATI
8520,PALMAR DE VARELA
8549,PIOJO
8558,POLONUEVO
8560,PONEDERA
8573,PUERTO COLOMBIA (ATLANTICO)
8606,REPELON
8634,SABANAGRANDE
8638,SABANALARGA (ATLANTICO)
8675,SANTA LUCIA
8685,SANTO TOMAS
8758,SOLEDAD
8770,SUAN
8832,TUBARA
8849,USIACURI
11001,BOGOTA D.C.
13001,CARTAGENA
13006,ACHI
13030,ALTOS DEL ROSARIO
13042,ARENAL
13052,ARJONA
13062,ARROYOHONDO
13074,BARRANCO DE LOBA
13140,CALAMAR (BOLIVAR)
13160,CANTAGALLO
13188,CICUCO
13212,CORDOBA (BOLIVAR)
13222,CLEMENCIA
13244,EL CARMEN DE BOLIVAR
13248,EL GUAMO
13268,EL PEÑON (BOLIVAR)
13300,HATILLO DE LOBA
13430,MAGANGUE
13433,MAHATES
13440,MARGARITA
13442,MARIA LA BAJA
13458,MONTECRISTO
13468,MOMPOS
13473,MORALES (BOLIVAR)
13490,NOROSÍ
13549,PINILLOS
13580,REGIDOR
13600,RIO VIEJO
13620,SAN CRISTOBAL
13647,SAN ESTANISLAO
13650,SAN FERNANDO
13654,SAN JACINTO
13655,SAN JACINTO DEL CAUCA
13657,SAN JUAN NEPOMUCENO
13667,SAN MARTIN DE LOBA
13670,SAN PABLO (BOLIVAR)
13673,SANTA CATALINA
13683,SANTA ROSA (BOLIVAR)
13688,SANTA ROSA DEL SUR
13744,SIMITI
13760,SOPLAVIENTO
13780,TALAIGUA NUEVO
13810,TIQUISIO
13836,TURBACO
13838,TURBANA
13873,VILLANUEVA (BOLIVAR)
13894,ZAMBRANO
15001,TUNJA
15022,ALMEIDA
15047,AQUITANIA
15051,ARCABUCO
15087,BELEN (BOYACA)
15090,BERBEO
15092,BETEITIVA
15097,BOAVITA
15104,BOYACA
15106,BRICEÑO (BOYACA)
15109,BUENAVISTA (BOYACA)
15114,BUSBANZA
15131,CALDAS (BOYACA)
15135,CAMPOHERMOSO
15162,CERINZA
15172,CHINAVITA
15176,CHIQUINQUIRA
15180,CHISCAS
15183,CHITA
15185,CHITARAQUE
15187,CHIVATA
15189,CIENEGA (BOYACA)
15204,COMBITA
15212,COPER
15215,CORRALES
15218,COVARACHIA
15223,CUBARA
15224,CUCAITA
15226,CUITIVA
15232,CHIQUIZA
15236,CHIVOR
15238,DUITAMA
15244,EL COCUY
15248,EL ESPINO
15272,FIRAVITOBA
15276,FLORESTA
15293,GACHANTIVA
15296,GAMEZA
15299,GARAGOA
15317,GUACAMAYAS
15322,GUATEQUE
15325,GUAYATA
15332,GUICAN
15362,IZA
15367,JENESANO
15368,JERICO (BOYACA)
15377,LABRANZAGRANDE
15380,LA CAPILLA
15401,LA VICTORIA (BOYACA)
15403,LA UVITA
15407,VILLA DE LEIVA
15422,MARIPI
15425,MACANAL
15455,MIRAFLORES (BOYACA)
15464,MONGUA
15466,MONGUI
