"","COD","NOMBRE","TRIM","codigo"
"1",5001,"MEDELLIN","ME","5001ME"
"2",5002,"ABEJORRAL","AB","5002AB"
"3",5004,"ABRIAQUI","AB","5004AB"
"4",5021,"ALEJANDRIA","AL","5021AL"
"5",5030,"AMAGA","AM","5030AM"
"6",5031,"AMALFI","AM","5031AM"
"7",5034,"ANDES","AN","5034AN"
"8",5036,"ANGELOPOLIS","AN","5036AN"
"9",5038,"ANGOSTURA","AN","5038AN"
"10",5040,"ANORI","AN","5040AN"
"11",5042,"SANTA FE DE ANTIOQUIA","SA","5042SA"
"12",5044,"ANZA","AN","5044AN"
"13",5045,"APARTADO","AP","5045AP"
"14",5051,"ARBOLETES","AR","5051AR"
"15",5055,"ARGELIA (ANTIOQUIA)","AR","5055AR"
"16",5059,"ARMENIA (ANTIOQUIA)","AR","5059AR"
"17",5079,"BARBOSA (ANTIOQUIA)","BA","5079BA"
"18",5086,"BELMIRA","BE","5086BE"
"19",5088,"BELLO","BE","5088BE"
"20",5091,"BETANIA","BE","5091BE"
"21",5093,"BETULIA (ANTIOQUIA)","BE","5093BE"
"22",5101,"CIUDAD BOLIVAR","CI","5101CI"
"23",5107,"BRICEÑO (ANTIOQUIA)","BR","5107BR"
"24",5113,"BURITICA","BU","5113BU"
"25",5120,"CACERES","CA","5120CA"
"26",5125,"CAICEDO","CA","5125CA"
"27",5129,"CALDAS (ANTIOQUIA)","CA","5129CA"
"28",5134,"CAMPAMENTO","CA","5134CA"
"29",5138,"CAÑASGORDAS","CA","5138CA"
"30",5142,"CARACOLI","CA","5142CA"
"31",5145,"CARAMANTA","CA","5145CA"
"32",5147,"CAREPA","CA","5147CA"
"33",5148,"EL CARMEN DE VIBORAL","EL","5148EL"
"34",5150,"CAROLINA","CA","5150CA"
"35",5154,"CAUCASIA","CA","5154CA"
"36",5172,"CHIGORODO","CH","5172CH"
"37",5190,"CISNEROS","CI","5190CI"
"38",5197,"COCORNA","CO","5197CO"
"39",5206,"CONCEPCION (ANTIOQUIA)","CO","5206CO"
"40",5209,"CONCORDIA (ANTIOQUIA)","CO","5209CO"
"41",5212,"COPACABANA","CO","5212CO"
"42",5234,"DABEIBA","DA","5234DA"
"43",5237,"DON MATIAS","DO","5237DO"
"44",5240,"EBEJICO","EB","5240EB"
"45",5250,"EL BAGRE","EL","5250EL"
"46",5264,"ENTRERRIOS","EN","5264EN"
"47",5266,"ENVIGADO","EN","5266EN"
"48",5282,"FREDONIA","FR","5282FR"
"49",5284,"FRONTINO","FR","5284FR"
"50",5306,"GIRALDO","GI","5306GI"
"51",5308,"GIRARDOTA","GI","5308GI"
"52",5310,"GOMEZ PLATA","GO","5310GO"
"53",5313,"GRANADA (ANTIOQUIA)","GR","5313GR"
"54",5315,"GUADALUPE (ANTIOQUIA)","GU","5315GU"
"55",5318,"GUARNE","GU","5318GU"
"56",5321,"GUATAPE","GU","5321GU"
"57",5347,"HELICONIA","HE","5347HE"
"58",5353,"HISPANIA","HI","5353HI"
"59",5360,"ITAGUI","IT","5360IT"
