id,issue_d,loan_status,WOE_Fico_score,WOE_revol_util,WOE_annual_inc,WOE_dti,WOE_ODF_addr_state,WOE_grade,WOE_term,WOE_ODF_purpose,WOE_loan_amnt2,WOE_flag_cliente,PD,Points
1,6/1/2012,0,-0.0549,-0.1342,-0.2703,-0.1607,-0.1101,-0.4851,-0.5711,-0.8081,-0.1737,-0.0368,0.567256962,492
2,6/1/2012,1,-0.2074,-0.1342,0.2194,-0.1607,-0.3157,-0.7594,-0.5711,-0.8081,-0.3342,0.0156,0.515752502,498
3,6/1/2012,1,0.2396,-0.4724,-0.0626,0.1684,-0.1101,-0.7594,-0.5711,-0.8081,-0.3342,0.0156,0.504673877,499
4,6/1/2012,0,-0.2074,-0.4724,-0.0626,-0.0148,-0.1101,-0.7594,-0.5711,-0.8081,0.0874,0.0156,0.501578472,500
5,6/1/2012,0,-0.0549,-0.3062,0.2194,0.1684,-0.3157,-0.7594,-0.5711,-0.8081,-0.3342,0.0156,0.500843333,500
6,6/1/2012,0,-0.5172,-0.3062,-0.2703,0.1684,-0.3157,-0.7594,-0.5711,-0.1045,0.0874,-0.0368,0.500648285,500
7,6/1/2012,1,-0.5172,-0.3062,-0.2703,-0.1607,-0.1101,-0.7594,-0.5711,-0.0379,-0.1737,0.0156,0.4970937,500
8,6/1/2012,1,0.0811,0.4227,-0.0626,0.1684,-0.3157,-0.7594,-0.5711,-0.8081,-0.3342,0.0156,0.494721878,501
9,6/1/2012,1,0.0811,0.1188,-0.0626,-0.1607,-0.3157,-0.1869,-0.5711,-0.8081,-0.1737,0.0156,0.488481248,501
10,6/1/2012,1,0.0811,0.1188,-0.0626,-0.1607,-0.3157,-0.1869,-0.5711,-0.8081,-0.1737,0.0156,0.488481248,501
11,6/1/2012,1,0.0811,0.1188,-0.0626,-0.1607,-0.3157,-0.1869,-0.5711,-0.8081,-0.1737,0.0156,0.488481248,501
12,6/1/2012,1,-0.5172,-0.3062,-0.0626,-0.1607,-0.3157,-0.7594,-0.5711,-0.0379,-0.1737,0.0156,0.473255071,503
13,6/1/2012,1,-0.5172,-0.1342,-0.2703,-0.1607,-0.3157,-0.7594,-0.5711,-0.0379,0.0874,-0.0368,0.466699532,504
14,6/1/2012,0,-0.2074,-0.4724,-0.0626,0.1684,-0.3157,-0.9106,-0.5711,-0.2062,-0.1737,-0.0368,0.465012329,504
15,6/1/2012,0,-0.5172,-0.3062,-0.0626,-0.0148,-0.1101,-0.9106,-0.5711,-0.0379,-0.3342,-0.0368,0.462349048,504
16,6/1/2012,1,-0.5172,-0.1342,-0.0626,-0.1607,-0.3157,-0.7594,-0.5711,-0.0379,-0.1737,-0.0368,0.455561323,505
17,6/1/2012,0,-0.5172,-0.1342,-0.0626,0.1684,-0.3157,-0.7594,-0.5711,-0.0379,-0.1737,-0.0368,0.455561323,505
18,6/1/2012,0,-0.5172,-0.4724,-0.0626,-0.1607,-0.3157,-1.0189,-0.5711,0.274,-0.3342,-0.0368,0.452303,506
19,6/1/2012,1,0.2396,-0.1342,-0.2703,-0.1607,0.115,-0.1869,-0.5711,-0.8081,-0.1737,-0.0368,0.451441219,506
20,6/1/2012,1,-0.355,-0.4724,-0.0626,-0.1607,-0.1101,-0.7594,-0.5711,-0.0379,-0.3342,0.0156,0.444908146,506
21,6/1/2012,1,-0.5172,-0.4724,-0.0626,-0.1607,-0.1101,-0.9106,-0.5711,-0.0379,-0.1737,-0.0368,0.4420577,507
22,6/1/2012,1,-0.5172,-0.4724,-0.0626,0.1684,-0.1101,-0.7594,-0.5711,-0.0379,-0.1737,0.0156,0.4420577,507
23,6/1/2012,0,-0.5172,-0.4724,-0.0626,-0.1607,-0.1101,-0.9106,-0.5711,-0.0379,-0.1737,0.0156,0.4420577,507
24,6/1/2012,1,-0.5172,0.1188,-0.2703,-0.0148,-0.3157,-0.7594,-0.5711,-0.0379,0.0874,0.0156,0.440767985,507
25,6/1/2012,0,-0.5172,0.1188,-0.2703,-0.1607,-0.3157,-0.7594,-0.5711,-0.0379,0.0874,-0.0368,0.440767985,507
26,6/1/2012,0,-0.2074,0.1188,-0.2703,0.1684,0.2178,-0.4851,-0.5711,-0.8081,0.0874,-0.0368,0.435745565,507
27,6/1/2012,0,-0.2074,-0.4724,-0.2703,-0.1607,-0.3157,-0.7594,-0.5711,-0.0379,0.0874,0.0156,0.435552898,507
28,6/1/2012,0,-0.5172,-0.4724,-0.0626,0.1684,-0.3157,-0.9106,-0.5711,-0.0379,0.0874,-0.0368,0.429609123,508
29,6/1/2012,0,-0.0549,-0.4724,-0.0626,-0.0148,-0.3157,-0.4851,-0.5711,-0.0379,-0.3342,0.0156,0.429427603,508
30,6/1/2012,1,-0.5172,0.4227,-0.2703,-0.1607,-0.3157,-1.0189,-0.5711,-0.1045,0.0874,0.0156,0.42582733,509
31,6/1/2012,0,-0.5172,-0.3062,-0.0626,-0.0148,-0.1101,-0.7594,-0.5711,-0.0379,-0.1737,-0.0368,0.425176373,509
32,6/1/2012,0,-0.355,-0.4724,-0.2703,-0.1607,-0.1101,-0.7594,-0.5711,-0.0379,0.0874,-0.0368,0.418944004,509
33,6/1/2012,0,-0.2074,-0.3062,-0.2703,-0.1607,-0.3157,-0.1869,-0.5711,-0.0379,0.0874,0.0156,0.418733549,509
34,6/1/2012,1,-0.0549,-0.3062,0.2194,0.1684,-0.1101,-0.7594,-0.5711,-0.8081,-0.1737,0.0156,0.415378698,510
35,6/1/2012,0,-0.0549,-0.3062,-0.0626,0.1684,-0.3157,-0.4851,-0.5711,-0.0379,-0.3342,0.0156,0.412671857,510
36,6/1/2012,1,-0.355,-0.1342,0.2194,-0.1607,0.115,-0.4851,-0.5711,-0.8081,-0.1737,-0.0368,0.408917869,511
37,6/1/2012,0,-0.0549,0.1188,-0.0626,0.1684,-0.1101,-0.4851,-0.5711,-0.8081,0.0874,0.0156,0.408777786,511
38,6/1/2012,0,-0.5172,-0.1342,-0.0626,-0.1607,-0.1101,-0.7594,-0.5711,-0.0379,-0.1737,0.0156,0.407888228,511
39,6/1/2012,0,-0.355,-0.3062,-0.0626,0.1684,-0.1101,-0.7594,-0.5711,-0.1045,-0.1737,-0.0368,0.407133016,511
40,6/1/2012,1,-0.2074,-0.1342,-0.0626,-0.1607,-0.3157,-0.4851,-0.5711,-0.1045,-0.1737,0.0156,0.4063455,511
41,6/1/2012,0,-0.2074,-0.1342,-0.2703,-0.1607,-0.3157,-0.1869,-0.5711,-0.0379,0.0874,0.0156,0.401524385,512
42,6/1/2012,1,-0.5172,-0.4724,-0.2703,-0.0148,0.115,-0.9106,-0.5711,-0.0379,0.0874,0.0156,0.401093282,512
43,6/1/2012,0,0.2396,0.1188,0.2194,0.1684,-0.3157,-0.1869,-0.5711,-0.8081,-0.3342,0.0156,0.395318186,512
44,6/1/2012,1,-0.0549,-0.4724,-0.0626,-0.1607,-0.3157,-0.4851,-0.5711,-0.0379,-0.1737,0.0156,0.39296721,513
45,6/1/2012,1,0.2396,-0.1342,-0.2703,0.1684,0.115,-0.1869,-0.5711,-0.8081,0.0874,0.0156,0.3917511,513
46,6/1/2012,1,-0.355,-0.3062,-0.0626,-0.1607,-0.1101,-0.7594,-0.5711,-0.0379,-0.1737,-0.0368,0.39157906,513
47,6/1/2012,1,-0.2074,-0.1342,-0.0626,-0.1607,-0.3157,-0.4851,-0.5711,-0.0379,-0.1737,-0.0368,0.390801798,513
48,6/1/2012,0,-0.5172,-0.4724,-0.0626,-0.1607,0.115,-0.9106,-0.5711,-0.0379,-0.1737,-0.0368,0.390374698,513
49,6/1/2012,0,-0.5172,0.4227,-0.0626,-0.1607,-0.1101,-0.9106,-0.5711,-0.0379,-0.3342,-0.0368,0.38879533,513
50,6/1/2012,0,-0.355,-0.1342,-0.2703,0.1684,-0.1101,-0.4851,-0.5711,-0.0379,0.0874,-0.0368,0.385327268,513
51,6/1/2012,1,-0.5172,-0.4724,0.2194,0.1684,-0.1101,-0.9106,-0.5711,-0.0379,-0.3342,0.0156,0.383245197,514
52,6/1/2012,0,-0.5172,-0.4724,0.2194,-0.0148,-0.1101,-1.0189,-0.5711,-0.0379,-0.3342,0.0156,0.383245197,514
53,6/1/2012,1,-0.5172,-0.3062,-0.2703,-0.1607,-0.3157,-0.7594,-0.5711,0.3882,0.0874,-0.0368,0.382923841,514
54,6/1/2012,0,-0.5172,-0.4724,-0.0626,0.1684,-0.1101,-0.9106,-0.5711,-0.0379,0.0874,0.0156,0.382742615,514
55,6/1/2012,1,-0.0549,-0.4724,-0.0626,-0.0148,-0.1101,-0.7594,-0.5711,-0.0379,-0.3342,-0.0368,0.382567615,514
56,6/1/2012,0,-0.0549,-0.1342,-0.2703,-0.0148,-0.1101,-0.1869,-0.5711,-0.0379,-0.1737,-0.0368,0.38242047,514
57,6/1/2012,0,-0.0549,-0.1342,-0.2703,-0.1607,-0.1101,-0.1869,-0.5711,-0.0379,-0.1737,-0.0368,0.38242047,514
58,6/1/2012,1,0.5535,0.4227,-0.2703,0.1684,-0.1101,0.1931,-0.5711,-0.8081,-0.1737,-0.0368,0.381896088,514
59,6/1/2012,0,-0.2074,-0.1342,-0.0626,-0.1607,-0.1101,-0.7594,-0.5711,-0.0379,-0.3342,0.0156,0.380423596,514
